"x"
"abind"
"acepack"
"acs"
"askpass"
"assertthat"
"backports"
"base64enc"
"BH"
"bitops"
"brew"
"broom"
"callr"
"caret"
"caTools"
"cellranger"
"checkmate"
"choroplethr"
"choroplethrMaps"
"classInt"
"cli"
"clipr"
"clisymbols"
"colorspace"
"commonmark"
"covr"
"crayon"
"crosstalk"
"curl"
"data.table"
"DBI"
"dbplyr"
"desc"
"devtools"
"dichromat"
"digest"
"DMwR"
"downloader"
"dplyr"
"DT"
"e1071"
"ellipsis"
"evaluate"
"fansi"
"forcats"
"foreach"
"Formula"
"fs"
"gapminder"
"gbm"
"gdata"
"generics"
"ggmap"
"ggplot2"
"gh"
"git2r"
"glue"
"gower"
"gplots"
"gridExtra"
"gtable"
"gtools"
"haven"
"hexbin"
"highr"
"Hmisc"
"hms"
"htmlTable"
"htmltools"
"htmlwidgets"
"httpuv"
"httr"
"ini"
"installr"
"ipred"
"iterators"
"jpeg"
"jsonlite"
"knitr"
"labeling"
"later"
"latticeExtra"
"lava"
"lazyeval"
"leaflet"
"leafsync"
"lifecycle"
"lubridate"
"lwgeom"
"magrittr"
"mapproj"
"maps"
"maptools"
"markdown"
"memoise"
"Metrics"
"mime"
"ModelMetrics"
"modelr"
"munsell"
"numDeriv"
"openssl"
"pacman"
"PBSmapping"
"pillar"
"pkgbuild"
"pkgconfig"
"pkgload"
"plogr"
"plotly"
"plyr"
"png"
"praise"
"prettyunits"
"processx"
"prodlim"
"progress"
"promises"
"ps"
"purrr"
"quantmod"
"R6"
"randomForest"
"rappdirs"
"raster"
"rasterVis"
"rattle"
"rcmdcheck"
"RColorBrewer"
"Rcpp"
"readr"
"readxl"
"recipes"
"rematch"
"remotes"
"reprex"
"reshape2"
"rex"
"rgdal"
"rgeos"
"RgoogleMaps"
"rjson"
"RJSONIO"
"rlang"
"rmarkdown"
"ROCR"
"roxygen2"
"rpart.plot"
"rprojroot"
"rstudioapi"
"rversions"
"rvest"
"scales"
"selectr"
"sessioninfo"
"sf"
"shiny"
"sourcetools"
"sp"
"SQUAREM"
"stringi"
"stringr"
"sys"
"testthat"
"tibble"
"tidyr"
"tidyselect"
"tidyverse"
"tigris"
"timeDate"
"tinytex"
"tmap"
"tmaptools"
"TTR"
"units"
"usethis"
"utf8"
"uuid"
"vctrs"
"viridis"
"viridisLite"
"WDI"
"whisker"
"withr"
"xfun"
"XML"
"xml2"
"xopen"
"xtable"
"xts"
"yaml"
"zeallot"
"zoo"
"base"
"boot"
"class"
"cluster"
"codetools"
"compiler"
"datasets"
"foreign"
"graphics"
"grDevices"
"grid"
"KernSmooth"
"lattice"
"MASS"
"Matrix"
"methods"
"mgcv"
"nlme"
"nnet"
"parallel"
"rpart"
"spatial"
"splines"
"stats"
"stats4"
"survival"
"tcltk"
"tools"
"translations"
"utils"
