GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,AdjEM,Overtime,Winner,Result,Score.D,,
7,18-Mar-04,2004,1,WN,U,15,Valparaiso,MCon,49,0.53,,Gonzaga,F,27,,
8,19-Mar-04,2004,1,WN,F,3,Georgia Tech,ACC,65,24.69,,Georgia Tech,F,5,,
8,19-Mar-04,2004,1,WN,U,14,Northern Iowa,MVC,60,8.78,,Georgia Tech,F,5,,
9,18-Mar-04,2004,1,WS,F,1,Saint Joseph's,A10,82,27.66,,Saint Joseph's,F,19,,
9,18-Mar-04,2004,1,WS,U,16,Liberty,BSth,63,-2.5,,Saint Joseph's,F,19,,
10,18-Mar-04,2004,1,WS,F,8,Texas Tech,B12,76,17.11,,Texas Tech,F,3,,
10,18-Mar-04,2004,1,WS,U,9,Charlotte,CUSA,73,14.25,,Texas Tech,F,3,,
11,18-Mar-04,2004,1,WS,F,5,Florida,SEC,60,18.26,,Manhattan,U,-15,,
11,18-Mar-04,2004,1,WS,U,12,Manhattan,MAAC,75,13.38,,Manhattan,U,-15,,
12,18-Mar-04,2004,1,WS,F,4,Wake Forest,ACC,79,21.69,,Wake Forest,F,1,,
12,18-Mar-04,2004,1,WS,U,13,VCU,CAA,78,9.09,,Wake Forest,F,1,,
13,19-Mar-04,2004,1,WS,F,6,Wisconsin,B10,76,25.74,,Wisconsin,F,12,,
13,19-Mar-04,2004,1,WS,U,11,Richmond,A10,64,15.07,,Wisconsin,F,12,,
14,19-Mar-04,2004,1,WS,F,3,Pittsburgh,BE,53,25.91,,Pittsburgh,F,9,,
14,19-Mar-04,2004,1,WS,U,14,UCF,ASun,44,5.91,,Pittsburgh,F,9,,
15,19-Mar-04,2004,1,WS,F,7,Memphis,CUSA,59,16.17,,Memphis,F,16,,
15,19-Mar-04,2004,1,WS,U,10,South Carolina,SEC,43,15.02,,Memphis,F,16,,
16,19-Mar-04,2004,1,WS,F,2,Oklahoma St.,B12,75,27.37,,Oklahoma St.,F,19,,
16,19-Mar-04,2004,1,WS,U,15,Eastern Washington,BSky,56,3.09,,Oklahoma St.,F,19,,
17,18-Mar-04,2004,1,EN,F,1,Duke,ACC,96,32.33,,Duke,F,35,,
17,18-Mar-04,2004,1,EN,U,16,Alabama St.,SWAC,61,-10.72,,Duke,F,35,,
18,18-Mar-04,2004,1,EN,F,8,Seton Hall,BE,80,17.35,,Seton Hall,F,4,,
18,18-Mar-04,2004,1,EN,U,9,Arizona,P10,76,16.18,,Seton Hall,F,4,,
19,19-Mar-04,2004,1,EN,F,5,Illinois,B10,72,22.11,,Illinois,F,19,,
19,19-Mar-04,2004,1,EN,U,12,Murray St.,OVC,53,10.62,,Illinois,F,19,,
20,19-Mar-04,2004,1,EN,F,4,Cincinnati,CUSA,80,21.56,,Cincinnati,F,3,,
20,19-Mar-04,2004,1,EN,U,13,East Tennessee St.,SC,77,8.6,,Cincinnati,F,3,,
21,18-Mar-04,2004,1,EN,F,6,North Carolina,ACC,63,23.23,,North Carolina,F,11,,
21,18-Mar-04,2004,1,EN,U,11,Air Force,MWC,52,15.42,,North Carolina,F,11,,
22,18-Mar-04,2004,1,EN,F,3,Texas,B12,66,21.54,,Texas,F,17,,
22,18-Mar-04,2004,1,EN,U,14,Princeton,Ivy,49,4.86,,Texas,F,17,,
23,19-Mar-04,2004,1,EN,F,10,Louisville,CUSA,70,20.44,,Xavier,U,-10,,
23,19-Mar-04,2004,1,EN,U,7,Xavier,A10,80,20.16,,Xavier,U,-10,,
24,19-Mar-04,2004,1,EN,F,2,Mississippi St.,SEC,85,21.74,,Mississippi St.,F,33,,
24,19-Mar-04,2004,1,EN,U,15,Monmouth,NEC,52,-3.99,,Mississippi St.,F,33,,
25,18-Mar-04,2004,1,ES,F,1,Stanford,P10,71,22.52,,Stanford,F,26,,
25,18-Mar-04,2004,1,ES,U,16,UTSA,Slnd,45,-7.69,,Stanford,F,26,,
26,18-Mar-04,2004,1,ES,F,8,Alabama,SEC,65,16.5,,Alabama,F,1,,
26,18-Mar-04,2004,1,ES,U,9,Southern Illinois,MVC,64,14.33,,Alabama,F,1,,
27,18-Mar-04,2004,1,ES,F,5,Syracuse,BE,80,16.34,,Syracuse,F,5,,
27,18-Mar-04,2004,1,ES,U,12,BYU,MWC,75,15.64,,Syracuse,F,5,,
28,18-Mar-04,2004,1,ES,F,4,Maryland,ACC,86,19.81,,Maryland,F,3,,
28,18-Mar-04,2004,1,ES,U,13,UTEP,WAC,83,14.69,,Maryland,F,3,,
29,19-Mar-04,2004,1,ES,F,6,Vanderbilt,SEC,71,18.64,,Vanderbilt,F,13,,
29,19-Mar-04,2004,1,ES,U,11,Western Michigan,MAC,58,16.29,,Vanderbilt,F,13,,
30,19-Mar-04,2004,1,ES,F,3,North Carolina St.,ACC,61,23.98,,North Carolina St.,F,9,,
30,19-Mar-04,2004,1,ES,U,14,Lafayette,Pat,52,-5.28,,North Carolina St.,F,9,,
31,18-Mar-04,2004,1,ES,F,7,DePaul,CUSA,76,11.36,2 OT,DePaul,F,7,,
31,18-Mar-04,2004,1,ES,U,10,Dayton,A10,69,9.75,2 OT,DePaul,F,7,,
32,18-Mar-04,2004,1,ES,F,2,Connecticut,BE,70,28.3,,Connecticut,F,17,,
32,18-Mar-04,2004,1,ES,U,15,Vermont,AE,53,-1.37,,Connecticut,F,17,,
33,21-Mar-04,2004,2,WN,F,1,Kentucky,SEC,75,23.35,,UAB,U,-1,,
33,21-Mar-04,2004,2,WN,U,9,UAB,CUSA,76,13.63,,UAB,U,-1,,
34,21-Mar-04,2004,2,WN,F,4,Kansas,B12,78,20.89,,Kansas,F,15,,
34,21-Mar-04,2004,2,WN,U,12,Pacific,BW,63,8.93,,Kansas,F,15,,
35,21-Mar-04,2004,2,WN,F,3,Georgia Tech,ACC,57,24.69,,Georgia Tech,F,3,,
35,21-Mar-04,2004,2,WN,U,6,Boston College,BE,54,15.42,,Georgia Tech,F,3,,
36,20-Mar-04,2004,2,WN,F,2,Gonzaga,WCC,72,25.34,,Nevada,U,-19,,
36,20-Mar-04,2004,2,WN,U,10,Nevada,WAC,91,20.27,,Nevada,U,-19,,
37,20-Mar-04,2004,2,WS,F,1,Saint Joseph's,A10,70,27.66,,Saint Joseph's,F,5,,
37,20-Mar-04,2004,2,WS,U,8,Texas Tech,B12,65,17.11,,Saint Joseph's,F,5,,
38,20-Mar-04,2004,2,WS,F,4,Wake Forest,ACC,84,21.69,,Wake Forest,F,4,,
38,20-Mar-04,2004,2,WS,U,12,Manhattan,MAAC,80,13.38,,Wake Forest,F,4,,
39,21-Mar-04,2004,2,WS,F,3,Pittsburgh,BE,59,25.91,,Pittsburgh,F,4,,
39,21-Mar-04,2004,2,WS,U,6,Wisconsin,B10,55,25.74,,Pittsburgh,F,4,,
40,21-Mar-04,2004,2,WS,F,2,Oklahoma St.,B12,70,27.37,,Oklahoma St.,F,17,,
40,21-Mar-04,2004,2,WS,U,7,Memphis,CUSA,53,16.17,,Oklahoma St.,F,17,,
41,20-Mar-04,2004,2,EN,F,1,Duke,ACC,90,32.33,,Duke,F,28,,
41,20-Mar-04,2004,2,EN,U,8,Seton Hall,BE,62,17.35,,Duke,F,28,,
42,21-Mar-04,2004,2,EN,F,5,Illinois,B10,92,22.11,,Illinois,F,24,,
42,21-Mar-04,2004,2,EN,U,4,Cincinnati,CUSA,68,21.56,,Illinois,F,24,,
43,20-Mar-04,2004,2,EN,F,6,North Carolina,ACC,75,23.23,,Texas,U,-3,,
43,20-Mar-04,2004,2,EN,U,3,Texas,B12,78,21.54,,Texas,U,-3,,
44,21-Mar-04,2004,2,EN,F,2,Mississippi St.,SEC,74,21.74,,Xavier,U,-15,,
44,21-Mar-04,2004,2,EN,U,7,Xavier,A10,89,20.16,,Xavier,U,-15,,
45,20-Mar-04,2004,2,ES,F,1,Stanford,P10,67,22.52,,Alabama,U,-3,,
45,20-Mar-04,2004,2,ES,U,8,Alabama,SEC,70,16.5,,Alabama,U,-3,,
46,20-Mar-04,2004,2,ES,F,4,Maryland,ACC,70,19.81,,Syracuse,U,-2,,
46,20-Mar-04,2004,2,ES,U,5,Syracuse,BE,72,16.34,,Syracuse,U,-2,,
47,21-Mar-04,2004,2,ES,F,3,North Carolina St.,ACC,73,23.98,,Vanderbilt,U,-2,,
47,21-Mar-04,2004,2,ES,U,6,Vanderbilt,SEC,75,18.64,,Vanderbilt,U,-2,,
48,20-Mar-04,2004,2,ES,F,2,Connecticut,BE,72,28.3,,Connecticut,F,17,,
48,20-Mar-04,2004,2,ES,U,7,DePaul,CUSA,55,11.36,,Connecticut,F,17,,
49,25-Mar-04,2004,3,WN,F,1,Saint Joseph's,A10,84,27.66,,Saint Joseph's,F,4,,
49,25-Mar-04,2004,3,WN,U,4,Wake Forest,ACC,80,21.69,,Saint Joseph's,F,4,,
50,25-Mar-04,2004,3,WN,F,2,Oklahoma St.,B12,63,27.37,,Oklahoma St.,F,12,,
50,25-Mar-04,2004,3,WN,U,3,Pittsburgh,BE,51,25.91,,Oklahoma St.,F,12,,
51,25-Mar-04,2004,3,WS,F,2,Connecticut,BE,73,28.3,,Connecticut,F,20,,
51,25-Mar-04,2004,3,WS,U,6,Vanderbilt,SEC,53,18.64,,Connecticut,F,20,,
52,25-Mar-04,2004,3,WS,F,8,Alabama,SEC,80,16.5,,Alabama,F,9,,
52,25-Mar-04,2004,3,WS,U,5,Syracuse,BE,71,16.34,,Alabama,F,9,,
53,26-Mar-04,2004,3,EN,F,1,Duke,ACC,72,32.33,,Duke,F,10,,
53,26-Mar-04,2004,3,EN,U,5,Illinois,B10,62,22.11,,Duke,F,10,,
54,26-Mar-04,2004,3,EN,F,3,Texas,B12,71,21.54,,Xavier,U,-8,,
54,26-Mar-04,2004,3,EN,U,7,Xavier,A10,79,20.16,,Xavier,U,-8,,
55,26-Mar-04,2004,3,ES,F,3,Georgia Tech,ACC,72,24.69,,Georgia Tech,F,5,,
55,26-Mar-04,2004,3,ES,U,10,Nevada,WAC,67,20.27,,Georgia Tech,F,5,,
56,26-Mar-04,2004,3,ES,F,4,Kansas,B12,100,20.89,,Kansas,F,26,,
56,26-Mar-04,2004,3,ES,U,9,UAB,CUSA,74,13.63,,Kansas,F,26,,
57,28-Mar-04,2004,4,WN,F,3,Georgia Tech,ACC,79,24.69,1 OT,Georgia Tech,F,8,,
57,28-Mar-04,2004,4,WN,U,4,Kansas,B12,71,20.89,1 OT,Georgia Tech,F,8,,
58,27-Mar-04,2004,4,WS,F,1,Saint Joseph's,A10,62,27.66,,Oklahoma St.,U,-2,,
58,27-Mar-04,2004,4,WS,U,2,Oklahoma St.,B12,64,27.37,,Oklahoma St.,U,-2,,
59,28-Mar-04,2004,4,EN,F,1,Duke,ACC,66,32.33,,Duke,F,3,,
59,28-Mar-04,2004,4,EN,U,7,Xavier,A10,63,20.16,,Duke,F,3,,
60,27-Mar-04,2004,4,ES,F,2,Connecticut,BE,87,28.3,,Connecticut,F,16,,
60,27-Mar-04,2004,4,ES,U,8,Alabama,SEC,71,16.5,,Connecticut,F,16,,
61,3-Apr-04,2004,5,W4,F,2,Oklahoma St.,B12,65,27.37,,Georgia Tech,U,-2,,
61,3-Apr-04,2004,5,W4,U,3,Georgia Tech,ACC,67,24.69,,Georgia Tech,U,-2,,
62,3-Apr-04,2004,5,E4,F,1,Duke,ACC,78,32.33,,Connecticut,U,-1,,
62,3-Apr-04,2004,5,E4,U,2,Connecticut,BE,79,28.3,,Connecticut,U,-1,,
63,5-Apr-04,2004,6,Championship,F,2,Connecticut,BE,82,28.3,,Connecticut,F,9,,
63,5-Apr-04,2004,6,Championship,U,3,Georgia Tech,ACC,73,24.69,,Connecticut,F,9,,
-1,15-Mar-05,2005,PI,EN,F,16,Oakland,MCon,79,-1.2,,Oakland,F,10,,
-1,15-Mar-05,2005,PI,EN,U,16,Alabama A&M,SWAC,69,-12.49,,Oakland,F,10,,
1,17-Mar-05,2005,1,WN,F,1,Illinois,B10,67,32.68,,Illinois,F,12,,https://www.allbrackets.com/bracket.php?year=2005
1,17-Mar-05,2005,1,WN,U,16,Fairleigh Dickinson,NEC,55,-2.52,,Illinois,F,12,,
2,17-Mar-05,2005,1,WN,F,8,Texas,B12,57,17.01,,Nevada,U,-4,,
2,17-Mar-05,2005,1,WN,U,9,Nevada,WAC,61,12.11,,Nevada,U,-4,,
3,17-Mar-05,2005,1,WN,F,5,Alabama,SEC,73,20.51,,Milwaukee,U,-10,,
3,17-Mar-05,2005,1,WN,U,12,Milwaukee,Horz,83,14.69,,Milwaukee,U,-10,,
4,17-Mar-05,2005,1,WN,F,4,Boston College,BE,85,18.3,,Boston College,F,20,,
4,17-Mar-05,2005,1,WN,U,13,Penn,Ivy,65,9.6,,Boston College,F,20,,
5,17-Mar-05,2005,1,WN,F,6,LSU,SEC,68,13.8,,UAB,U,-14,,
5,17-Mar-05,2005,1,WN,U,11,UAB,CUSA,82,12.51,,UAB,U,-14,,
6,17-Mar-05,2005,1,WN,F,3,Arizona,P10,66,22.22,,Arizona,F,13,,
6,17-Mar-05,2005,1,WN,U,14,Utah St.,BW,53,19.62,,Arizona,F,13,,
7,18-Mar-05,2005,1,WN,F,7,Southern Illinois,MVC,65,16.75,,Southern Illinois,F,9,,
7,18-Mar-05,2005,1,WN,U,10,Saint Mary's,WCC,56,9.41,,Southern Illinois,F,9,,
8,18-Mar-05,2005,1,WN,F,2,Oklahoma St.,B12,63,25.02,,Oklahoma St.,F,13,,
8,18-Mar-05,2005,1,WN,U,15,Southeastern Louisiana,Slnd,50,3.2,,Oklahoma St.,F,13,,
9,17-Mar-05,2005,1,WS,F,1,Washington,P10,88,22.18,,Washington,F,11,,
9,17-Mar-05,2005,1,WS,U,16,Montana,BSky,77,-2.73,,Washington,F,11,,
10,17-Mar-05,2005,1,WS,F,9,Pittsburgh,BE,71,18.41,,Pacific,U,-8,,
10,17-Mar-05,2005,1,WS,U,8,Pacific,BW,79,14.08,,Pacific,U,-8,,
11,18-Mar-05,2005,1,WS,F,5,Georgia Tech,ACC,80,19.23,,Georgia Tech,F,12,,
11,18-Mar-05,2005,1,WS,U,12,George Washington,A10,68,14.41,,Georgia Tech,F,12,,
12,18-Mar-05,2005,1,WS,F,4,Louisville,CUSA,68,25.78,,Louisville,F,6,,
12,18-Mar-05,2005,1,WS,U,13,Lafayette,Pat,62,-12.19,,Louisville,F,6,,
13,17-Mar-05,2005,1,WS,F,6,Texas Tech,B12,78,15.47,,Texas Tech,F,12,,
13,17-Mar-05,2005,1,WS,U,11,UCLA,P10,66,10.74,,Texas Tech,F,12,,
14,17-Mar-05,2005,1,WS,F,3,Gonzaga,WCC,74,17.88,,Gonzaga,F,10,,
14,17-Mar-05,2005,1,WS,U,14,Winthrop,BSth,64,4.97,,Gonzaga,F,10,,
15,17-Mar-05,2005,1,WS,F,7,West Virginia,BE,63,15,,West Virginia,F,2,,
15,17-Mar-05,2005,1,WS,U,10,Creighton,MVC,61,14.33,,West Virginia,F,2,,
16,17-Mar-05,2005,1,WS,F,2,Wake Forest,ACC,70,24.86,,Wake Forest,F,16,,
16,17-Mar-05,2005,1,WS,U,15,Chattanooga,SC,54,0.03,,Wake Forest,F,16,,
17,18-Mar-05,2005,1,EN,F,1,North Carolina,ACC,96,32.77,,North Carolina,F,28,,
17,18-Mar-05,2005,1,EN,U,16,Oakland,MCon,68,-1.2,,North Carolina,F,28,,
18,18-Mar-05,2005,1,EN,F,8,Minnesota,B10,53,14.06,,Iowa St.,U,-11,,
18,18-Mar-05,2005,1,EN,U,9,Iowa St.,B12,64,13.02,,Iowa St.,U,-11,,
19,18-Mar-05,2005,1,EN,F,5,Villanova,BE,55,25.02,,Villanova,F,8,,
19,18-Mar-05,2005,1,EN,U,12,New Mexico,MWC,47,15.54,,Villanova,F,8,,
20,18-Mar-05,2005,1,EN,F,4,Florida,SEC,67,23.93,,Florida,F,5,,
20,18-Mar-05,2005,1,EN,U,13,Ohio,MAC,62,8.29,,Florida,F,5,,
21,18-Mar-05,2005,1,EN,F,6,Wisconsin,B10,57,20.81,,Wisconsin,F,5,,
21,18-Mar-05,2005,1,EN,U,11,Northern Iowa,MVC,52,13.36,,Wisconsin,F,5,,
22,18-Mar-05,2005,1,EN,F,3,Kansas,B12,63,23.08,,Bucknell,U,-1,,
22,18-Mar-05,2005,1,EN,U,14,Bucknell,Pat,64,6.69,,Bucknell,U,-1,,
23,18-Mar-05,2005,1,EN,F,10,North Carolina St.,ACC,75,18.93,,North Carolina St.,F,12,,
23,18-Mar-05,2005,1,EN,U,7,Charlotte,CUSA,63,12.15,,North Carolina St.,F,12,,
24,18-Mar-05,2005,1,EN,F,2,Connecticut,BE,77,21.94,,Connecticut,F,6,,
24,18-Mar-05,2005,1,EN,U,15,UCF,ASun,71,-2.56,,Connecticut,F,6,,
25,18-Mar-05,2005,1,ES,F,1,Duke,ACC,57,27.41,,Duke,F,11,,
25,18-Mar-05,2005,1,ES,U,16,Delaware St.,MEAC,46,-4.95,,Duke,F,11,,
26,18-Mar-05,2005,1,ES,F,9,Mississippi St.,SEC,93,15.25,,Mississippi St.,F,23,,
26,18-Mar-05,2005,1,ES,U,8,Stanford,P10,70,10.63,,Mississippi St.,F,23,,
27,18-Mar-05,2005,1,ES,F,5,Michigan St.,B10,89,25.67,,Michigan St.,F,8,,
27,18-Mar-05,2005,1,ES,U,12,Old Dominion,CAA,81,10.04,,Michigan St.,F,8,,
28,18-Mar-05,2005,1,ES,F,4,Syracuse,BE,57,20.98,1 OT,Vermont,U,-3,,
28,18-Mar-05,2005,1,ES,U,13,Vermont,AE,60,13.53,1 OT,Vermont,U,-3,,
29,17-Mar-05,2005,1,ES,F,6,Utah,MWC,60,20.33,,Utah,F,6,,
29,17-Mar-05,2005,1,ES,U,11,UTEP,WAC,54,11.62,,Utah,F,6,,
30,17-Mar-05,2005,1,ES,F,3,Oklahoma,B12,84,22.55,,Oklahoma,F,17,,
30,17-Mar-05,2005,1,ES,U,14,Niagara,MAAC,67,5.43,,Oklahoma,F,17,,
31,17-Mar-05,2005,1,ES,F,7,Cincinnati,CUSA,76,20.43,,Cincinnati,F,12,,
31,17-Mar-05,2005,1,ES,U,10,Iowa,B10,64,17.17,,Cincinnati,F,12,,
32,17-Mar-05,2005,1,ES,F,2,Kentucky,SEC,72,24.1,,Kentucky,F,8,,
32,17-Mar-05,2005,1,ES,U,15,Eastern Kentucky,OVC,64,1.98,,Kentucky,F,8,,
33,19-Mar-05,2005,2,WN,F,1,Illinois,B10,71,32.68,,Illinois,F,12,,
33,19-Mar-05,2005,2,WN,U,9,Nevada,WAC,59,12.11,,Illinois,F,12,,
34,19-Mar-05,2005,2,WN,F,4,Boston College,BE,75,18.3,,Milwaukee,U,-8,,
34,19-Mar-05,2005,2,WN,U,12,Milwaukee,Horz,83,14.69,,Milwaukee,U,-8,,
35,19-Mar-05,2005,2,WN,F,3,Arizona,P10,85,22.22,,Arizona,F,22,,
35,19-Mar-05,2005,2,WN,U,11,UAB,CUSA,63,12.51,,Arizona,F,22,,
36,20-Mar-05,2005,2,WN,F,2,Oklahoma St.,B12,85,25.02,,Oklahoma St.,F,8,,
36,20-Mar-05,2005,2,WN,U,7,Southern Illinois,MVC,77,16.75,,Oklahoma St.,F,8,,
37,19-Mar-05,2005,2,WS,F,1,Washington,P10,97,22.18,,Washington,F,18,,
37,19-Mar-05,2005,2,WS,U,8,Pacific,BW,79,14.08,,Washington,F,18,,
38,20-Mar-05,2005,2,WS,F,4,Louisville,CUSA,76,25.78,,Louisville,F,22,,
38,20-Mar-05,2005,2,WS,U,5,Georgia Tech,ACC,54,19.23,,Louisville,F,22,,
39,19-Mar-05,2005,2,WS,F,3,Gonzaga,WCC,69,17.88,,Texas Tech,U,-2,,
39,19-Mar-05,2005,2,WS,U,6,Texas Tech,B12,71,15.47,,Texas Tech,U,-2,,
40,19-Mar-05,2005,2,WS,F,2,Wake Forest,ACC,105,24.86,2 OT,West Virginia,U,-6,,
40,19-Mar-05,2005,2,WS,U,7,West Virginia,BE,111,15,2 OT,West Virginia,U,-6,,
41,20-Mar-05,2005,2,EN,F,1,North Carolina,ACC,92,32.77,,North Carolina,F,27,,
41,20-Mar-05,2005,2,EN,U,9,Iowa St.,B12,65,13.02,,North Carolina,F,27,,
42,20-Mar-05,2005,2,EN,F,6,Wisconsin,B10,71,20.81,,Wisconsin,F,9,,
42,20-Mar-05,2005,2,EN,U,14,Bucknell,Pat,62,6.69,,Wisconsin,F,9,,
43,20-Mar-05,2005,2,EN,F,5,Villanova,BE,76,25.02,,Villanova,F,11,,
43,20-Mar-05,2005,2,EN,U,4,Florida,SEC,65,23.93,,Villanova,F,11,,
44,20-Mar-05,2005,2,EN,F,2,Connecticut,BE,62,21.94,,North Carolina St.,U,-3,,
44,20-Mar-05,2005,2,EN,U,10,North Carolina St.,ACC,65,18.93,,North Carolina St.,U,-3,,
45,20-Mar-05,2005,2,ES,F,1,Duke,ACC,63,27.41,,Duke,F,8,,
45,20-Mar-05,2005,2,ES,U,9,Mississippi St.,SEC,55,15.25,,Duke,F,8,,
46,20-Mar-05,2005,2,ES,F,5,Michigan St.,B10,72,25.67,,Michigan St.,F,11,,
46,20-Mar-05,2005,2,ES,U,13,Vermont,AE,61,13.53,,Michigan St.,F,11,,
47,19-Mar-05,2005,2,ES,F,3,Oklahoma,B12,58,22.55,,Utah,U,-9,,
47,19-Mar-05,2005,2,ES,U,6,Utah,MWC,67,20.33,,Utah,U,-9,,
48,19-Mar-05,2005,2,ES,F,2,Kentucky,SEC,69,24.1,,Kentucky,F,9,,
48,19-Mar-05,2005,2,ES,U,7,Cincinnati,CUSA,60,20.43,,Kentucky,F,9,,
49,24-Mar-05,2005,3,WN,F,1,Illinois,B10,77,32.68,,Illinois,F,14,,
49,24-Mar-05,2005,3,WN,U,12,Milwaukee,Horz,63,14.69,,Illinois,F,14,,
50,24-Mar-05,2005,3,WN,F,2,Oklahoma St.,B12,78,25.02,,Arizona,U,-1,,
50,24-Mar-05,2005,3,WN,U,3,Arizona,P10,79,22.22,,Arizona,U,-1,,
51,24-Mar-05,2005,3,WS,F,4,Louisville,CUSA,93,25.78,,Louisville,F,14,,
51,24-Mar-05,2005,3,WS,U,1,Washington,P10,79,22.18,,Louisville,F,14,,
52,24-Mar-05,2005,3,WS,F,6,Texas Tech,B12,60,15.47,,West Virginia,U,-5,,
52,24-Mar-05,2005,3,WS,U,7,West Virginia,BE,65,15,,West Virginia,U,-5,,
53,25-Mar-05,2005,3,EN,F,1,North Carolina,ACC,67,32.77,,North Carolina,F,1,,
53,25-Mar-05,2005,3,EN,U,5,Villanova,BE,66,25.02,,North Carolina,F,1,,
54,25-Mar-05,2005,3,EN,F,6,Wisconsin,B10,65,20.81,,Wisconsin,F,9,,
54,25-Mar-05,2005,3,EN,U,10,North Carolina St.,ACC,56,18.93,,Wisconsin,F,9,,
55,25-Mar-05,2005,3,ES,F,1,Duke,ACC,68,27.41,,Michigan St.,U,-10,,
55,25-Mar-05,2005,3,ES,U,5,Michigan St.,B10,78,25.67,,Michigan St.,U,-10,,
56,25-Mar-05,2005,3,ES,F,2,Kentucky,SEC,62,24.1,,Kentucky,F,10,,
56,25-Mar-05,2005,3,ES,U,6,Utah,MWC,52,20.33,,Kentucky,F,10,,
57,26-Mar-05,2005,4,WN,F,1,Illinois,B10,90,32.68,1 OT,Illinois,F,1,,
57,26-Mar-05,2005,4,WN,U,3,Arizona,P10,89,22.22,1 OT,Illinois,F,1,,
58,26-Mar-05,2005,4,WS,F,4,Louisville,CUSA,93,25.78,1 OT,Louisville,F,8,,
58,26-Mar-05,2005,4,WS,U,7,West Virginia,BE,85,15,1 OT,Louisville,F,8,,
59,27-Mar-05,2005,4,EN,F,1,North Carolina,ACC,88,32.77,,North Carolina,F,6,,
59,27-Mar-05,2005,4,EN,U,6,Wisconsin,B10,82,20.81,,North Carolina,F,6,,
60,27-Mar-05,2005,4,ES,F,5,Michigan St.,B10,94,25.67,2 OT,Michigan St.,F,6,,
60,27-Mar-05,2005,4,ES,U,2,Kentucky,SEC,88,24.1,2 OT,Michigan St.,F,6,,
61,2-Apr-05,2005,5,W4,F,1,Illinois,B10,72,32.68,,Illinois,F,15,,
61,2-Apr-05,2005,5,W4,U,4,Louisville,CUSA,57,25.78,,Illinois,F,15,,
62,2-Apr-05,2005,5,E4,F,1,North Carolina,ACC,87,32.77,,North Carolina,F,16,,
62,2-Apr-05,2005,5,E4,U,5,Michigan St.,B10,71,25.67,,North Carolina,F,16,,
63,4-Apr-05,2005,6,Championship,F,1,North Carolina,ACC,75,32.77,,North Carolina,F,5,,
63,4-Apr-05,2005,6,Championship,U,1,Illinois,B10,70,32.68,,North Carolina,F,5,,
-1,14-Mar-06,2006,PI,WS,F,16,Monmouth,NEC,71,-0.68,,Monmouth,F,22,,
-1,14-Mar-06,2006,PI,WS,U,16,Hampton,MEAC,49,-10.4,,Monmouth,F,22,,
1,16-Mar-06,2006,1,WN,F,1,Duke,ACC,70,27.54,,Duke,F,16,,
1,16-Mar-06,2006,1,WN,U,16,Southern,SWAC,54,-3.4,,Duke,F,16,,
2,16-Mar-06,2006,1,WN,F,9,UNC Wilmington,CAA,85,14.77,1 OT,George Washington,U,-3,,
2,16-Mar-06,2006,1,WN,U,8,George Washington,A10,88,14.67,1 OT,George Washington,U,-3,,
3,16-Mar-06,2006,1,WN,F,12,Texas A&M,B12,66,15.9,,Texas A&M,F,8,,
3,16-Mar-06,2006,1,WN,U,5,Syracuse,BE,58,13.15,,Texas A&M,F,8,,
4,16-Mar-06,2006,1,WN,F,4,LSU,SEC,80,22,,LSU,F,16,,
4,16-Mar-06,2006,1,WN,U,13,Iona,MAAC,64,11.33,,LSU,F,16,,
5,17-Mar-06,2006,1,WN,F,6,West Virginia,BE,64,19.49,,West Virginia,F,18,,
5,17-Mar-06,2006,1,WN,U,11,Southern Illinois,MVC,46,13.6,,West Virginia,F,18,,
6,17-Mar-06,2006,1,WN,F,3,Iowa,B10,63,18.22,,Northwestern St.,U,-1,,
6,17-Mar-06,2006,1,WN,U,14,Northwestern St.,Slnd,64,7.51,,Northwestern St.,U,-1,,
7,17-Mar-06,2006,1,WN,F,10,North Carolina St.,ACC,58,15.92,,North Carolina St.,F,6,,
7,17-Mar-06,2006,1,WN,U,7,California,P10,52,13.68,,North Carolina St.,F,6,,
8,17-Mar-06,2006,1,WN,F,2,Texas,B12,60,25.79,,Texas,F,8,,
8,17-Mar-06,2006,1,WN,U,15,Penn,Ivy,52,7.3,,Texas,F,8,,
9,17-Mar-06,2006,1,WS,F,1,Memphis,CUSA,94,23.54,,Memphis,F,16,,
9,17-Mar-06,2006,1,WS,U,16,Oral Roberts,MCon,78,5.7,,Memphis,F,16,,
10,17-Mar-06,2006,1,WS,F,8,Arkansas,SEC,55,18.47,,Bucknell,U,-4,,
10,17-Mar-06,2006,1,WS,U,9,Bucknell,Pat,59,12.56,,Bucknell,U,-4,,
11,17-Mar-06,2006,1,WS,F,5,Pittsburgh,BE,79,21.72,,Pittsburgh,F,15,,
11,17-Mar-06,2006,1,WS,U,12,Kent St.,MAC,64,10.54,,Pittsburgh,F,15,,
12,17-Mar-06,2006,1,WS,F,4,Kansas,B12,73,23.22,,Bradley,U,-4,,
12,17-Mar-06,2006,1,WS,U,13,Bradley,MVC,77,16.5,,Bradley,U,-4,,
13,16-Mar-06,2006,1,WS,F,6,Indiana,B10,87,15.53,,Indiana,F,4,,
13,16-Mar-06,2006,1,WS,U,11,San Diego St.,MWC,83,12.78,,Indiana,F,4,,
14,16-Mar-06,2006,1,WS,F,3,Gonzaga,WCC,79,15.64,,Gonzaga,F,4,,
