GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,AdjEM,Overtime,Winner,Result,Score.D,,
30,15-Mar-02,2002,1,ES,U,14,McNeese St.,Slnd,58,5.39,,Mississippi St.,F,12,,
31,14-Mar-02,2002,1,ES,F,7,Wake Forest,ACC,83,17.35,,Wake Forest,F,9,,
31,14-Mar-02,2002,1,ES,U,10,Pepperdine,WCC,74,11.72,,Wake Forest,F,9,,
32,14-Mar-02,2002,1,ES,F,2,Oregon,P10,81,22.97,,Oregon,F,19,,
32,14-Mar-02,2002,1,ES,U,15,Montana,BSky,62,-4.51,,Oregon,F,19,,
33,16-Mar-02,2002,2,WN,F,1,Duke,ACC,84,34.19,,Duke,F,7,,
33,16-Mar-02,2002,2,WN,U,8,Notre Dame,BE,77,19.27,,Duke,F,7,,
34,16-Mar-02,2002,2,WN,F,5,Indiana,B10,76,24.8,,Indiana,F,9,,
34,16-Mar-02,2002,2,WN,U,13,UNC Wilmington,CAA,67,11.32,,Indiana,F,9,,
35,17-Mar-02,2002,2,WN,F,3,Pittsburgh,BE,63,19.94,,Pittsburgh,F,13,,
35,17-Mar-02,2002,2,WN,U,6,California,P10,50,16.03,,Pittsburgh,F,13,,
36,16-Mar-02,2002,2,WN,F,10,Kent St.,MAC,71,20.39,,Kent St.,F,13,,
36,16-Mar-02,2002,2,WN,U,2,Alabama,SEC,58,18.73,,Kent St.,F,13,,
37,17-Mar-02,2002,2,WS,F,1,Cincinnati,CUSA,101,30.19,2 OT,UCLA,U,-4,,
37,17-Mar-02,2002,2,WS,U,8,UCLA,P10,105,16.34,2 OT,UCLA,U,-4,,
38,16-Mar-02,2002,2,WS,F,4,Ohio St.,B10,67,19.76,,Missouri,U,-16,,
38,16-Mar-02,2002,2,WS,U,12,Missouri,B12,83,17.49,,Missouri,U,-16,,
39,16-Mar-02,2002,2,WS,F,3,Arizona,P10,68,20.54,,Arizona,F,8,,
39,16-Mar-02,2002,2,WS,U,11,Wyoming,MWC,60,11.01,,Arizona,F,8,,
40,17-Mar-02,2002,2,WS,F,2,Oklahoma,B12,78,26.04,,Oklahoma,F,13,,
40,17-Mar-02,2002,2,WS,U,7,Xavier,A10,65,18.6,,Oklahoma,F,13,,
41,17-Mar-02,2002,2,EN,F,1,Maryland,ACC,87,29.25,,Maryland,F,30,,
41,17-Mar-02,2002,2,EN,U,8,Wisconsin,B10,57,13.22,,Maryland,F,30,,
42,16-Mar-02,2002,2,EN,F,4,Kentucky,SEC,87,22.21,,Kentucky,F,5,,
42,16-Mar-02,2002,2,EN,U,12,Tulsa,WAC,82,15.59,,Kentucky,F,5,,
43,17-Mar-02,2002,2,EN,F,3,Georgia,SEC,75,18.44,,Southern Illinois,U,-2,,
43,17-Mar-02,2002,2,EN,U,11,Southern Illinois,MVC,77,13.45,,Southern Illinois,U,-2,,
44,17-Mar-02,2002,2,EN,F,2,Connecticut,BE,77,19.36,,Connecticut,F,3,,
44,17-Mar-02,2002,2,EN,U,7,North Carolina St.,ACC,74,19.15,,Connecticut,F,3,,
45,16-Mar-02,2002,2,ES,F,1,Kansas,B12,86,28.99,,Kansas,F,23,,
45,16-Mar-02,2002,2,ES,U,8,Stanford,P10,63,20.32,,Kansas,F,23,,
46,17-Mar-02,2002,2,ES,F,4,Illinois,B10,72,23.21,,Illinois,F,12,,
46,17-Mar-02,2002,2,ES,U,12,Creighton,MVC,60,11.82,,Illinois,F,12,,
47,17-Mar-02,2002,2,ES,F,3,Mississippi St.,SEC,64,18.25,,Texas,U,-4,,
47,17-Mar-02,2002,2,ES,U,6,Texas,B12,68,17.69,,Texas,U,-4,,
48,16-Mar-02,2002,2,ES,F,2,Oregon,P10,92,22.97,,Oregon,F,5,,
48,16-Mar-02,2002,2,ES,U,7,Wake Forest,ACC,87,17.35,,Oregon,F,5,,
49,21-Mar-02,2002,3,WN,F,1,Duke,ACC,73,34.19,,Indiana,U,-1,,
49,21-Mar-02,2002,3,WN,U,5,Indiana,B10,74,24.8,,Indiana,U,-1,,
50,21-Mar-02,2002,3,WN,F,10,Kent St.,MAC,78,20.39,,Kent St.,F,5,,
50,21-Mar-02,2002,3,WN,U,3,Pittsburgh,BE,73,19.94,,Kent St.,F,5,,
51,21-Mar-02,2002,3,WS,F,12,Missouri,B12,82,17.49,,Missouri,F,9,,
51,21-Mar-02,2002,3,WS,U,8,UCLA,P10,73,16.34,,Missouri,F,9,,
52,21-Mar-02,2002,3,WS,F,2,Oklahoma,B12,88,26.04,,Oklahoma,F,21,,
52,21-Mar-02,2002,3,WS,U,3,Arizona,P10,67,20.54,,Oklahoma,F,21,,
53,22-Mar-02,2002,3,EN,F,1,Maryland,ACC,78,29.25,,Maryland,F,10,,
53,22-Mar-02,2002,3,EN,U,4,Kentucky,SEC,68,22.21,,Maryland,F,10,,
54,22-Mar-02,2002,3,EN,F,2,Connecticut,BE,71,19.36,,Connecticut,F,12,,
54,22-Mar-02,2002,3,EN,U,11,Southern Illinois,MVC,59,13.45,,Connecticut,F,12,,
55,22-Mar-02,2002,3,ES,F,1,Kansas,B12,73,28.99,,Kansas,F,4,,
55,22-Mar-02,2002,3,ES,U,4,Illinois,B10,69,23.21,,Kansas,F,4,,
56,22-Mar-02,2002,3,ES,F,2,Oregon,P10,72,22.97,,Oregon,F,2,,
56,22-Mar-02,2002,3,ES,U,6,Texas,B12,70,17.69,,Oregon,F,2,,
57,23-Mar-02,2002,4,WN,F,5,Indiana,B10,81,24.8,,Indiana,F,12,,
57,23-Mar-02,2002,4,WN,U,10,Kent St.,MAC,69,20.39,,Indiana,F,12,,
58,23-Mar-02,2002,4,WS,F,2,Oklahoma,B12,81,26.04,,Oklahoma,F,6,,
58,23-Mar-02,2002,4,WS,U,12,Missouri,B12,75,17.49,,Oklahoma,F,6,,
59,24-Mar-02,2002,4,EN,F,1,Maryland,ACC,90,29.25,,Maryland,F,8,,
59,24-Mar-02,2002,4,EN,U,2,Connecticut,BE,82,19.36,,Maryland,F,8,,
60,24-Mar-02,2002,4,ES,F,1,Kansas,B12,104,28.99,,Kansas,F,18,,
60,24-Mar-02,2002,4,ES,U,2,Oregon,P10,86,22.97,,Kansas,F,18,,
61,30-Mar-02,2002,5,W4,F,2,Oklahoma,B12,64,26.04,,Indiana,U,-9,,
61,30-Mar-02,2002,5,W4,U,5,Indiana,B10,73,24.8,,Indiana,U,-9,,
62,30-Mar-02,2002,5,E4,F,1,Maryland,ACC,97,29.25,,Maryland,F,9,,
62,30-Mar-02,2002,5,E4,U,1,Kansas,B12,88,28.99,,Maryland,F,9,,
63,1-Apr-02,2002,6,Championship,F,1,Maryland,ACC,64,29.25,,Maryland,F,12,,
63,1-Apr-02,2002,6,Championship,U,5,Indiana,B10,52,24.8,,Maryland,F,12,,
-1,18-Mar-03,2003,PI,ES,F,16,Texas Southern,SWAC,84,-10.45,1 OT,UNC Asheville,U,-8,,
-1,18-Mar-03,2003,PI,ES,U,16,UNC Asheville,BSth,92,-12.35,1 OT,UNC Asheville,U,-8,,
1,21-Mar-03,2003,1,WN,F,1,Kentucky,SEC,95,29.18,,Kentucky,F,31,,https://www.allbrackets.com/bracket.php?year=2003
1,21-Mar-03,2003,1,WN,U,16,IUPUI,MCon,64,0.46,,Kentucky,F,31,,
2,21-Mar-03,2003,1,WN,F,8,Oregon,P10,58,14.25,,Utah,U,-2,,
2,21-Mar-03,2003,1,WN,U,9,Utah,MWC,60,14.04,,Utah,U,-2,,
3,20-Mar-03,2003,1,WN,F,5,Wisconsin,B10,81,22.07,,Wisconsin,F,7,,
3,20-Mar-03,2003,1,WN,U,12,Weber St.,BSky,74,8.88,,Wisconsin,F,7,,
4,20-Mar-03,2003,1,WN,F,4,Dayton,A10,71,14.53,,Tulsa,U,-13,,
4,20-Mar-03,2003,1,WN,U,13,Tulsa,WAC,84,13.04,,Tulsa,U,-13,,
