"longv","latv","UTME","UTMN","gz","hem","mgrs"
-4.66588888888889,-28.461979160878,"336897","6850490","30","S","30JUP3689750490"
-3.33277777777778,-28.4164115031953,"467407","6856623","30","S","30JVP6740756623"
-1.99966666666667,-28.3708438455126,"598019","6861310","30","S","30JWP9801961310"
-0.666555555555555,-28.32527618783,"728773","6864553","30","S","30JYP2877364553"
0.666555555555556,-28.2797085301473,"271130","6869603","31","S","31JBJ7113069603"
1.99966666666667,-28.2341408724646,"401855","6876455","31","S","31JDJ0185576455"
3.33277777777778,-28.1885732147819,"532663","6881863","31","S","31JEJ3266381863"
4.66588888888889,-28.1430055570992,"663591","6885834","31","S","31JFJ6359185834"
5.999,-28.0974378994165,"794679","6888369","31","S","31JGJ9467988369"
-5.999,-28.0518702417338,"205196","6893421","30","S","30JTP0519693421"
-4.66588888888889,-28.0063025840511,"336202","6900981","30","S","30JUQ3620200981"
-3.33277777777778,-27.9607349263684,"467268","6907103","30","S","30JVQ6726807103"
-1.99966666666667,-27.9151672686857,"598435","6911793","30","S","30JWQ9843511793"
-0.666555555555555,-27.8695996110031,"729742","6915055","30","S","30JYQ2974215055"
0.666555555555556,-27.8240319533204,"270162","6920105","31","S","31JBK7016220105"
1.99966666666667,-27.7784642956377,"401441","6926937","31","S","31JDK0144126937"
3.33277777777778,-27.732896637955,"532800","6932341","31","S","31JEK3280032341"
4.66588888888889,-27.6873289802723,"664278","6936323","31","S","31JFK6427836323"
5.999,-27.6417613225896,"795916","6938885","31","S","31JGK9591638885"
-5.999,-27.5961936649069,"203961","6943937","30","S","30JTQ0396143937"
-4.66588888888889,-27.5506260072242,"335518","6951469","30","S","30JUQ3551851469"
-3.33277777777778,-27.5050583495415,"467132","6957579","30","S","30JVQ6713257579"
-1.99966666666667,-27.4594906918589,"598845","6962272","30","S","30JWQ9884562272"
-0.666555555555555,-27.4139230341762,"730696","6965554","30","S","30JYQ3069665554"
0.666555555555556,-27.3683553764935,"269209","6970604","31","S","31JBK6920970604"
1.99966666666667,-27.3227877188108,"401034","6977416","31","S","31JDK0103477416"
3.33277777777778,-27.2772200611281,"532935","6982816","31","S","31JEK3293582816"
4.66588888888889,-27.2316524034454,"664955","6986809","31","S","31JFK6495586809"
5.999,-27.1860847457627,"797135","6989399","31","S","31JGK9713589399"
-5.999,-27.14051708808,"202745","6994450","30","S","30JTQ0274594450"
-4.66588888888889,-27.0949494303973,"334844","7001954","30","S","30JUR3484401954"
-3.33277777777778,-27.0493817727146,"466998","7008052","30","S","30JVR6699808052"
-1.99966666666667,-27.003814115032,"599248","7012749","30","S","30JWR9924812749"
-0.666555555555555,-26.9582464573493,"731637","7016050","30","S","30JYR3163716050"
0.666555555555556,-26.9126787996666,"268270","7021100","31","S","31JBL6827021100"
1.99966666666667,-26.8671111419839,"400632","7027891","31","S","31JDL0063227891"
3.33277777777778,-26.8215434843012,"533069","7033287","31","S","31JEL3306933287"
4.66588888888889,-26.7759758266185,"665622","7037292","31","S","31JFL6562237292"
5.999,-26.7304081689358,"798334","7039910","31","S","31JGL9833439910"
-5.999,-26.6848405112531,"201547","7044961","30","S","30JTR0154744961"
-4.66588888888889,-26.6392728535704,"334180","7052436","30","S","30JUR3418052436"
-3.33277777777778,-26.5937051958878,"466865","7058521","30","S","30JVR6686558521"
-1.99966666666667,-26.5481375382051,"599645","7063222","30","S","30JWR9964563222"
-0.666555555555555,-26.5025698805224,"732562","7066544","30","S","30JYR3256266544"
0.666555555555556,-26.4570022228397,"267346","7071593","31","S","31JBL6734671593"
1.99966666666667,-26.411434565157,"400237","7078364","31","S","31JDL0023778364"
3.33277777777778,-26.3658669074743,"533200","7083755","31","S","31JEL3320083755"
4.66588888888889,-26.3202992497916,"666278","7087772","31","S","31JFL6627887772"
5.999,-26.2747315921089,"799515","7090419","31","S","31JGL9951590419"
-5.999,-26.2291639344262,"200368","7095469","30","S","30JTR0036895469"
-4.66588888888889,-26.1835962767435,"333527","7102916","30","S","30JUS3352702916"
-3.33277777777778,-26.1380286190608,"466735","7108988","30","S","30JVS6673508988"
-1.99966666666667,-26.0924609613782,"600036","7113692","30","S","30JXS0003613692"
-0.666555555555555,-26.0468933036955,"733473","7117035","30","S","30JYS3347317035"
0.666555555555556,-26.0013256460128,"266437","7122084","31","S","31JBM6643722084"
1.99966666666667,-25.9557579883301,"399848","7128833","31","S","31JCM9984828833"
3.33277777777778,-25.9101903306474,"533329","7134220","31","S","31JEM3332934220"
4.66588888888889,-25.8646226729647,"666924","7138249","31","S","31JFM6692438249"
5.999,-25.819055015282,"800677","7140925","31","S","31JHM0067740925"
-5.999,-25.7734873575993,"199208","7145976","30","S","30JSS9920845976"
-4.66588888888889,-25.7279196999166,"332885","7153392","30","S","30JUS3288553392"
-3.33277777777778,-25.682352042234,"466607","7159451","30","S","30JVS6660759451"
-1.99966666666667,-25.6367843845513,"600420","7164160","30","S","30JXS0042064160"
-0.666555555555555,-25.5912167268686,"734369","7167523","30","S","30JYS3436967523"
0.666555555555556,-25.5456490691859,"265542","7172571","31","S","31JBM6554272571"
1.99966666666667,-25.5000814115032,"399466","7179299","31","S","31JCM9946679299"
3.33277777777778,-25.4545137538205,"533456","7184681","31","S","31JEM3345684681"
4.66588888888889,-25.4089460961378,"667559","7188724","31","S","31JFM6755988724"
5.999,-25.3633784384551,"801820","7191429","31","S","31JHM0182091429"
-5.999,-25.3178107807724,"198067","7196479","30","S","30JSS9806796479"
-4.66588888888889,-25.2722431230898,"332253","7203865","30","S","30JUT3225303865"
-3.33277777777778,-25.2266754654071,"466481","7209911","30","S","30JVT6648109911"
-1.99966666666667,-25.1811078077244,"600798","7214624","30","S","30JXT0079814624"
-0.666555555555555,-25.1355401500417,"735250","7218008","30","S","30JYT3525018008"
0.666555555555556,-25.089972492359,"264663","7223057","31","S","31JBN6466323057"
1.99966666666667,-25.0444048346763,"399090","7229762","31","S","31JCN9909029762"
3.33277777777778,-24.9988371769936,"533581","7235140","31","S","31JEN3358135140"
4.66588888888889,-24.9532695193109,"668183","7239195","31","S","31JFN6818339195"
5.999,-24.9077018616282,"802944","7241931","31","S","31JHN0294441931"
-5.999,-24.8621342039455,"196945","7246981","30","S","30JST9694546981"
-4.66588888888889,-24.8165665462628,"331631","7254336","30","S","30JUT3163154336"
-3.33277777777778,-24.7709988885802,"466357","7260368","30","S","30JVT6635760368"
-1.99966666666667,-24.7254312308975,"601170","7265085","30","S","30JXT0117065085"
-0.666555555555555,-24.6798635732148,"736116","7268491","30","S","30JYT3611668491"
0.666555555555556,-24.6342959155321,"263798","7273540","31","S","31JBN6379873540"
1.99966666666667,-24.5887282578494,"398720","7280223","31","S","31JCN9872080223"
3.33277777777778,-24.5431606001667,"533704","7285595","31","S","31JEN3370485595"
4.66588888888889,-24.497592942484,"668797","7289663","31","S","31JFN6879789663"
5.999,-24.4520252848013,"804048","7292431","31","S","31JHN0404892431"
-5.999,-24.4064576271186,"195842","7297480","30","S","30JST9584297480"
-4.66588888888889,-24.360889969436,"331021","7304803","30","S","30JUU3102104803"
-3.33277777777778,-24.3153223117533,"466236","7310822","30","S","30JVU6623610822"
-1.99966666666667,-24.2697546540706,"601535","7315543","30","S","30JXU0153515543"
-0.666555555555555,-24.2241869963879,"736968","7318972","30","S","30JYU3696818972"
0.666555555555556,-24.1786193387052,"262948","7324020","31","S","31JBP6294824020"
1.99966666666667,-24.1330516810225,"398356","7330680","31","S","31JCP9835630680"
3.33277777777778,-24.0874840233398,"533824","7336048","31","S","31JEP3382436048"
4.66588888888889,-24.0419163656571,"669400","7340129","31","S","31JFP6940040129"
5.999,-23.9963487079744,"805134","7342928","31","S","31KHP0513442928"
-5.999,-23.9507810502917,"194759","7347978","30","S","30KSU9475947978"
-4.66588888888889,-23.9052133926091,"330421","7355268","30","S","30KUU3042155268"
-3.33277777777778,-23.8596457349264,"466116","7361273","30","S","30KVU6611661273"
-1.99966666666667,-23.8140780772437,"601894","7365998","30","S","30KXU0189465998"
-0.666555555555555,-23.768510419561,"737804","7369450","30","S","30KYU3780469450"
0.666555555555556,-23.7229427618783,"262113","7374497","31","S","31KBP6211374497"
1.99966666666667,-23.6773751041956,"397999","7381134","31","S","31KCP9799981134"
3.33277777777778,-23.6318074465129,"533943","7386497","31","S","31KEP3394386497"
4.66588888888889,-23.5862397888302,"669993","7390592","31","S","31KFP6999390592"
5.999,-23.5406721311475,"806200","7393423","31","S","31KHP0620093423"
-5.999,-23.4951044734648,"193694","7398473","30","S","30KSU9369498473"
-4.66588888888889,-23.4495368157822,"329831","7405731","30","S","30KUV2983105731"
-3.33277777777778,-23.4039691580995,"465999","7411721","30","S","30KVV6599911721"
-1.99966666666667,-23.3584015004168,"602247","7416450","30","S","30KXV0224716450"
-0.666555555555555,-23.3128338427341,"738626","7419925","30","S","30KYV3862619925"
0.666555555555556,-23.2672661850514,"261293","7424973","31","S","31KBQ6129324973"
1.99966666666667,-23.2216985273687,"397649","7431586","31","S","31KCQ9764931586"
3.33277777777778,-23.176130869686,"534059","7436943","31","S","31KEQ3405936943"
4.66588888888889,-23.1305632120033,"670575","7441052","31","S","31KFQ7057541052"
5.999,-23.0849955543206,"807247","7443916","31","S","31KHQ0724743916"
-5.999,-23.039427896638,"192649","7448966","30","S","30KSV9264948966"
-4.66588888888889,-22.9938602389553,"329253","7456190","30","S","30KUV2925356190"
-3.33277777777778,-22.9482925812726,"465883","7462166","30","S","30KVV6588362166"
