,From,To
265,San Francisco,San Francisco
266,San Jose St.,San Jose St.
267,Santa Clara,Santa Clara
268,Savannah St.,Savannah St.
269,Seattle,Seattle
270,Seton Hall,Seton Hall
271,Siena,Siena
272,SIU Edwardsville,SIU Edwardsville
273,SMU,SMU
274,South Alabama,South Alabama
275,South Carolina,South Carolina
276,South Carolina St.,South Carolina St.
277,South Dakota,South Dakota
278,South Dakota St.,South Dakota St.
279,South Florida,South Florida
280,Southeast Missouri St.,Southeast Missouri St.
281,Southeastern Louisiana,Southeastern Louisiana
282,Southern,Southern
283,Southern Illinois,Southern Illinois
284,Southern Miss,Southern Miss
285,Southern Utah,Southern Utah
286,St. Bonaventure,St. Bonaventure
287,St. Francis NY,St. Francis NY
288,St. Francis PA,St. Francis PA
289,St. John's,St. John's
290,Stanford,Stanford
291,Stephen F. Austin,Stephen F. Austin
292,Stetson,Stetson
293,Stony Brook,Stony Brook
294,Syracuse,Syracuse
295,Tarleton St.,Tarleton St.
296,TCU,TCU
297,Temple,Temple
298,Tennessee,Tennessee
299,Tennessee Martin,Tennessee Martin
300,Tennessee St.,Tennessee St.
301,Tennessee Tech,Tennessee Tech
302,Texas,Texas
303,Texas A&M,Texas A&M
304,Texas A&M Corpus Chris,Texas A&M Corpus Chris
305,Texas Pan American,Texas Pan American
306,Texas Southern,Texas Southern
307,Texas St.,Texas St.
308,Texas Tech,Texas Tech
309,The Citadel,The Citadel
310,Toledo,Toledo
311,Towson,Towson
312,Troy,Troy
313,Tulane,Tulane
314,Tulsa,Tulsa
315,UAB,UAB
316,UC Davis,UC Davis
317,UC Irvine,UC Irvine
318,UC Riverside,UC Riverside
319,UC San Diego,UC San Diego
320,UC Santa Barbara,UC Santa Barbara
321,UCF,UCF
322,UCLA,UCLA
323,UMass Lowell,UMass Lowell
324,UMBC,UMBC
325,UMKC,UMKC
326,UNC Asheville,UNC Asheville
327,UNC Greensboro,UNC Greensboro
328,UNC Wilmington,UNC Wilmington
329,UNLV,UNLV
330,USC,USC
331,USC Upstate,USC Upstate
332,UT Arlington,UT Arlington
333,UT Rio Grande Valley,UT Rio Grande Valley
334,Utah,Utah
335,Utah St.,Utah St.
336,Utah Valley,Utah Valley
337,Utah Valley St.,Utah Valley St.
338,UTEP,UTEP
339,UTSA,UTSA
340,Valparaiso,Valparaiso
341,Vanderbilt,Vanderbilt
342,VCU,VCU
343,Vermont,Vermont
344,Villanova,Villanova
345,Virginia,Virginia
346,Virginia Tech,Virginia Tech
347,VMI,VMI
348,Wagner,Wagner
349,Wake Forest,Wake Forest
350,Washington,Washington
351,Washington St.,Washington St.
352,Weber St.,Weber St.
353,West Virginia,West Virginia
354,Western Carolina,Western Carolina
355,Western Illinois,Western Illinois
356,Western Kentucky,Western Kentucky
357,Western Michigan,Western Michigan
358,Wichita St.,Wichita St.
359,William & Mary,William & Mary
360,Winston Salem St.,Winston Salem St.
361,Winthrop,Winthrop
362,Wisconsin,Wisconsin
363,Wofford,Wofford
364,Wright St.,Wright St.
365,Wyoming,Wyoming
366,Xavier,Xavier
367,Yale,Yale
368,Youngstown St.,Youngstown St.
