"","team_names"
"310","Tulane"
"311","Tulsa"
"312","UAB"
"313","UC Davis"
"314","UC Irvine"
"315","UC Riverside"
"316","UC San Diego"
"317","UC Santa Barbara"
"318","UCF"
"319","UCLA"
"320","UMass Lowell"
"321","UMBC"
"322","UMKC"
"323","UNC Asheville"
"324","UNC Greensboro"
"325","UNC Wilmington"
"326","UNLV"
"327","USC"
"328","USC Upstate"
"329","UT Arlington"
"330","UT Rio Grande Valley"
"331","Utah"
"332","Utah St."
"333","Utah Valley"
"334","Utah Valley St."
"335","UTEP"
"336","UTSA"
"337","Valparaiso"
"338","Vanderbilt"
"339","VCU"
"340","Vermont"
"341","Villanova"
"342","Virginia"
"343","Virginia Tech"
"344","VMI"
"345","Wagner"
"346","Wake Forest"
"347","Washington"
"348","Washington St."
"349","Weber St."
"350","West Virginia"
"351","Western Carolina"
"352","Western Illinois"
"353","Western Kentucky"
"354","Western Michigan"
"355","Wichita St."
"356","William & Mary"
"357","Winston Salem St."
"358","Winthrop"
"359","Wisconsin"
"360","Wofford"
"361","Wright St."
"362","Wyoming"
"363","Xavier"
"364","Yale"
"365","Youngstown St."
