GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,Winner,Result
1,18-Mar-2011,2011,1,A,F,1,Ohio State,Big Ten,75,Ohio State,F
1,18-Mar-2011,2011,1,A,U,16,Texas-San Antonio,CUSA,46,Ohio State,F
2,18-Mar-2011,2011,1,A,F,8,George Mason,A-10,61,George Mason,F
2,18-Mar-2011,2011,1,A,U,9,Villanova,Big East,57,George Mason,F
3,17-Mar-2011,2011,1,A,F,5,West Virginia,Big 12,84,West Virginia,F
3,17-Mar-2011,2011,1,A,U,12,Clemson,ACC,76,West Virginia,F
4,17-Mar-2011,2011,1,A,F,4,Kentucky,SEC,59,Kentucky,F
4,17-Mar-2011,2011,1,A,U,13,Princeton,Ivy,57,Kentucky,F
5,18-Mar-2011,2011,1,A,F,6,Xavier,Big East,66,Marquette,U
5,18-Mar-2011,2011,1,A,U,11,Marquette,Big East,55,Marquette,U
6,18-Mar-2011,2011,1,A,F,3,Syracuse,ACC,77,Syracuse,F
6,18-Mar-2011,2011,1,A,U,14,Indiana State,MVC,60,Syracuse,F
7,18-Mar-2011,2011,1,A,F,7,Washington,Pac-12,68,Washington,F
7,18-Mar-2011,2011,1,A,U,10,Georgia,SEC,65,Washington,F
8,18-Mar-2011,2011,1,A,F,2,North Carolina,ACC,102,North Carolina,F
8,18-Mar-2011,2011,1,A,U,15,Long Island University,NEC,87,North Carolina,F
9,18-Mar-2011,2011,1,B,F,1,Duke,ACC,87,Duke,F
9,18-Mar-2011,2011,1,B,U,16,Hampton,Big South,45,Duke,F
10,18-Mar-2011,2011,1,B,F,8,Michigan,Big Ten,75,Michigan,F
10,18-Mar-2011,2011,1,B,U,9,Tennessee,SEC,45,Michigan,F
11,18-Mar-2011,2011,1,B,F,5,Arizona,Pac-12,77,Arizona,F
11,18-Mar-2011,2011,1,B,U,12,Memphis,AAC,75,Arizona,F
12,18-Mar-2011,2011,1,B,F,4,Texas,Big 12,85,Texas,F
12,18-Mar-2011,2011,1,B,U,13,Oakland,Horizon,81,Texas,F
13,17-Mar-2011,2011,1,B,F,6,Cincinnati,AAC,78,Cincinnati,F
13,17-Mar-2011,2011,1,B,U,11,Missouri,SEC,63,Cincinnati,F
14,17-Mar-2011,2011,1,B,F,3,Connecticut,AAC,81,Connecticut,F
14,17-Mar-2011,2011,1,B,U,14,Bucknell,Patriot,52,Connecticut,F
15,17-Mar-2011,2011,1,B,F,7,Temple,AAC,66,Temple,F
15,17-Mar-2011,2011,1,B,U,10,Penn State,Big Ten,64,Temple,F
16,17-Mar-2011,2011,1,B,F,2,San Diego State,MWC,68,San Diego State,F
16,17-Mar-2011,2011,1,B,U,15,Northern Colorado,Big Sky,50,San Diego State,F
17,18-Mar-2011,2011,1,C,F,1,Kansas,Big 12,72,Kansas,F
17,18-Mar-2011,2011,1,C,U,16,Boston University,Patriot,53,Kansas,F
18,18-Mar-2011,2011,1,C,F,8,Nevada-Las Vegas,MWC,62,Illinois,U
18,18-Mar-2011,2011,1,C,U,9,Illinois,Big Ten,73,Illinois,U
19,17-Mar-2011,2011,1,C,F,5,Vanderbilt,SEC,66,Richmond,U
19,17-Mar-2011,2011,1,C,U,12,Richmond,A-10,69,Richmond,U
20,17-Mar-2011,2011,1,C,F,4,Louisville,ACC,61,Morehead State,U
20,17-Mar-2011,2011,1,C,U,13,Morehead State,OVC,62,Morehead State,U
21,18-Mar-2011,2011,1,C,F,6,Georgetown,Big East,56,Virginia Commonwealth,U
21,18-Mar-2011,2011,1,C,U,11,Virginia Commonwealth,A-10,74,Virginia Commonwealth,U
22,18-Mar-2011,2011,1,C,F,3,Purdue,Big Ten,65,Purdue,F
22,18-Mar-2011,2011,1,C,U,14,Saint Peter's,MAAC,43,Purdue,F
23,18-Mar-2011,2011,1,C,F,7,Texas A&M,SEC,50,Florida State,U
23,18-Mar-2011,2011,1,C,U,10,Florida State,ACC,57,Florida State,U
24,18-Mar-2011,2011,1,C,F,2,Notre Dame,ACC,69,Notre Dame,F
24,18-Mar-2011,2011,1,C,U,15,Akron,MAC (East),56,Notre Dame,F
25,17-Mar-2011,2011,1,D,F,1,Pittsburgh,ACC,74,Pittsburgh,F
25,17-Mar-2011,2011,1,D,U,16,North Carolina-Asheville,Big South,51,Pittsburgh,F
26,17-Mar-2011,2011,1,D,F,8,Butler,Big East,60,Butler,F
26,17-Mar-2011,2011,1,D,U,9,Old Dominion,CUSA,58,Butler,F
27,17-Mar-2011,2011,1,D,F,5,Kansas State,Big 12,73,Kansas State,F
27,17-Mar-2011,2011,1,D,U,12,Utah State,MWC,68,Kansas State,F
28,17-Mar-2011,2011,1,D,F,4,Wisconsin,Big Ten,72,Wisconsin,F
28,17-Mar-2011,2011,1,D,U,13,Belmont,OVC,58,Wisconsin,F
29,17-Mar-2011,2011,1,D,F,6,St. John's (NY),Big East,71,Gonzaga,U
29,17-Mar-2011,2011,1,D,U,11,Gonzaga,WCC,86,Gonzaga,U
30,17-Mar-2011,2011,1,D,F,3,Brigham Young,WCC,74,Brigham Young,F
30,17-Mar-2011,2011,1,D,U,14,Wofford,Southern,66,Brigham Young,F
31,17-Mar-2011,2011,1,D,F,7,UCLA,Pac-12,78,UCLA,F
31,17-Mar-2011,2011,1,D,U,10,Michigan State,Big Ten,76,UCLA,F
32,17-Mar-2011,2011,1,D,F,2,Florida,SEC,79,Florida,F
32,17-Mar-2011,2011,1,D,U,15,UC-Santa Barbara,Big West,51,Florida,F
33,20-Mar-2011,2011,2,A,F,1,Ohio State,Big Ten,98,Ohio State,F
33,20-Mar-2011,2011,2,A,U,8,George Mason,A-10,66,Ohio State,F
34,19-Mar-2011,2011,2,A,F,4,Kentucky,SEC,71,Kentucky,F
34,19-Mar-2011,2011,2,A,U,5,West Virginia,Big 12,63,Kentucky,F
35,20-Mar-2011,2011,2,A,F,3,Syracuse,ACC,62,Marquette,U
35,20-Mar-2011,2011,2,A,U,11,Marquette,Big East,66,Marquette,U
36,20-Mar-2011,2011,2,A,F,2,North Carolina,ACC,86,North Carolina,F
36,20-Mar-2011,2011,2,A,U,7,Washington,Pac-12,83,North Carolina,F
37,20-Mar-2011,2011,2,B,F,1,Duke,ACC,73,Duke,F
37,20-Mar-2011,2011,2,B,U,8,Michigan,Big Ten,71,Duke,F
38,20-Mar-2011,2011,2,B,F,4,Texas,Big 12,69,Arizona,U
38,20-Mar-2011,2011,2,B,U,5,Arizona,Pac-12,70,Arizona,U
39,19-Mar-2011,2011,2,B,F,3,Connecticut,AAC,69,Connecticut,F
39,19-Mar-2011,2011,2,B,U,6,Cincinnati,AAC,58,Connecticut,F
40,19-Mar-2011,2011,2,B,F,2,San Diego State,MWC,71,San Diego State,F
40,19-Mar-2011,2011,2,B,U,7,Temple,AAC,64,San Diego State,F
41,20-Mar-2011,2011,2,C,F,1,Kansas,Big 12,73,Kansas,F
41,20-Mar-2011,2011,2,C,U,9,Illinois,Big Ten,59,Kansas,F
42,19-Mar-2011,2011,2,C,F,12,Richmond,A-10,65,Richmond,F
42,19-Mar-2011,2011,2,C,U,13,Morehead State,OVC,48,Richmond,F
43,20-Mar-2011,2011,2,C,F,3,Purdue,Big Ten,76,Virginia Commonwealth,U
43,20-Mar-2011,2011,2,C,U,11,Virginia Commonwealth,A-10,94,Virginia Commonwealth,U
44,20-Mar-2011,2011,2,C,F,2,Notre Dame,ACC,57,Florida State,U
44,20-Mar-2011,2011,2,C,U,10,Florida State,ACC,71,Florida State,U
45,19-Mar-2011,2011,2,D,F,1,Pittsburgh,ACC,70,Butler,U
45,19-Mar-2011,2011,2,D,U,8,Butler,Big East,71,Butler,U
46,19-Mar-2011,2011,2,D,F,4,Wisconsin,Big Ten,70,Wisconsin,F
46,19-Mar-2011,2011,2,D,U,5,Kansas State,Big 12,65,Wisconsin,F
47,19-Mar-2011,2011,2,D,F,3,Brigham Young,WCC,89,Brigham Young,F
47,19-Mar-2011,2011,2,D,U,11,Gonzaga,WCC,67,Brigham Young,F
48,19-Mar-2011,2011,2,D,F,2,Florida,SEC,73,Florida,F
48,19-Mar-2011,2011,2,D,U,7,UCLA,Pac-12,65,Florida,F
49,25-Mar-2011,2011,3,A,F,1,Ohio State,Big Ten,60,Kentucky,U
49,25-Mar-2011,2011,3,A,U,4,Kentucky,SEC,62,Kentucky,U
50,25-Mar-2011,2011,3,A,F,2,North Carolina,ACC,81,North Carolina,F
50,25-Mar-2011,2011,3,A,U,11,Marquette,Big East,63,North Carolina,F
51,24-Mar-2011,2011,3,B,F,1,Duke,ACC,77,Arizona,U
51,24-Mar-2011,2011,3,B,U,5,Arizona,Pac-12,93,Arizona,U
52,24-Mar-2011,2011,3,B,F,2,San Diego State,MWC,67,Connecticut,U
52,24-Mar-2011,2011,3,B,U,3,Connecticut,AAC,74,Connecticut,U
53,25-Mar-2011,2011,3,C,F,1,Kansas,Big 12,77,Kansas,F
53,25-Mar-2011,2011,3,C,U,12,Richmond,A-10,57,Kansas,F
54,25-Mar-2011,2011,3,C,F,10,Florida State,ACC,71,Virginia Commonwealth,U
54,25-Mar-2011,2011,3,C,U,11,Virginia Commonwealth,A-10,72,Virginia Commonwealth,U
55,24-Mar-2011,2011,3,D,F,4,Wisconsin,Big Ten,54,Butler,U
55,24-Mar-2011,2011,3,D,U,8,Butler,Big East,61,Butler,U
56,24-Mar-2011,2011,3,D,F,2,Florida,SEC,83,Florida,F
56,24-Mar-2011,2011,3,D,U,3,Brigham Young,WCC,74,Florida,F
57,27-Mar-2011,2011,4,A,F,2,North Carolina,ACC,69,Kentucky,U
57,27-Mar-2011,2011,4,A,U,4,Kentucky,SEC,76,Kentucky,U
58,26-Mar-2011,2011,4,B,F,3,Connecticut,AAC,65,Connecticut,F
58,26-Mar-2011,2011,4,B,U,5,Arizona,Pac-12,63,Connecticut,F
59,27-Mar-2011,2011,4,C,F,1,Kansas,Big 12,61,Virginia Commonwealth,U
59,27-Mar-2011,2011,4,C,U,11,Virginia Commonwealth,A-10,71,Virginia Commonwealth,U
60,26-Mar-2011,2011,4,D,F,2,Florida,SEC,71,Butler,U
60,26-Mar-2011,2011,4,D,U,8,Butler,Big East,74,Butler,U
61,02-Apr-2011,2011,5,E,F,8,Butler,Big East,70,Butler,F
61,02-Apr-2011,2011,5,E,U,11,Virginia Commonwealth,A-10,62,Butler,F
62,02-Apr-2011,2011,5,F,F,3,Connecticut,AAC,56,Connecticut,F
62,02-Apr-2011,2011,5,F,U,4,Kentucky,SEC,55,Connecticut,F
63,04-Apr-2011,2011,6,G,F,3,Connecticut,AAC,53,Connecticut,F
63,04-Apr-2011,2011,6,G,U,8,Butler,Big East,41,Connecticut,F
-1,16-Mar-2011,2011,PI,B,F,11,Virginia Commonwealth,A-10,59,Virginia Commonwealth,F
-1,16-Mar-2011,2011,PI,B,U,11,Southern California,Pac-12,46,Virginia Commonwealth,F
-4,15-Mar-2011,2011,PI,C,F,12,Clemson,ACC,70,Clemson,F
-4,15-Mar-2011,2011,PI,C,U,12,Alabama-Birmingham,CUSA,52,Clemson,F
-3,16-Mar-2011,2011,PI,C,F,16,Texas-San Antonio,CUSA,70,Texas-San Antonio,F
-3,16-Mar-2011,2011,PI,C,U,16,Alabama State,SWAC,61,Texas-San Antonio,F
-2,15-Mar-2011,2011,PI,D,F,16,North Carolina-Asheville,Big South,81,North Carolina-Asheville,F
-2,15-Mar-2011,2011,PI,D,U,16,Little Rock,Sun Belt,77,North Carolina-Asheville,F
1,15-Mar-2012,2012,1,A,F,1,Kentucky,SEC,81,Kentucky,F
1,15-Mar-2012,2012,1,A,U,16,Western Kentucky,CUSA,66,Kentucky,F
2,15-Mar-2012,2012,1,A,F,8,Iowa State,Big 12,77,Iowa State,F
2,15-Mar-2012,2012,1,A,U,9,Connecticut,AAC,64,Iowa State,F
3,15-Mar-2012,2012,1,A,F,5,Wichita State,AAC,59,Virginia Commonwealth,U
3,15-Mar-2012,2012,1,A,U,12,Virginia Commonwealth,A-10,62,Virginia Commonwealth,U
4,15-Mar-2012,2012,1,A,F,4,Indiana,Big Ten,79,Indiana,F
4,15-Mar-2012,2012,1,A,U,13,New Mexico State,WAC,66,Indiana,F
5,15-Mar-2012,2012,1,A,F,6,Nevada-Las Vegas,MWC,64,Colorado,U
5,15-Mar-2012,2012,1,A,U,11,Colorado,Pac-12,68,Colorado,U
6,15-Mar-2012,2012,1,A,F,3,Baylor,Big 12,68,Baylor,F
6,15-Mar-2012,2012,1,A,U,14,South Dakota State,Summit,60,Baylor,F
7,16-Mar-2012,2012,1,A,F,7,Notre Dame,ACC,63,Xavier,U
7,16-Mar-2012,2012,1,A,U,10,Xavier,Big East,67,Xavier,U
8,16-Mar-2012,2012,1,A,F,2,Duke,ACC,70,Lehigh,U
8,16-Mar-2012,2012,1,A,U,15,Lehigh,Patriot,75,Lehigh,U
9,16-Mar-2012,2012,1,B,F,1,Michigan State,Big Ten,89,Michigan State,F
9,16-Mar-2012,2012,1,B,U,16,Long Island University,NEC,67,Michigan State,F
10,16-Mar-2012,2012,1,B,F,8,Memphis,AAC,54,Saint Louis,U
10,16-Mar-2012,2012,1,B,U,9,Saint Louis,A-10,61,Saint Louis,U
11,15-Mar-2012,2012,1,B,F,5,New Mexico,MWC,75,New Mexico,F
11,15-Mar-2012,2012,1,B,U,12,Cal State Long Beach,Big West,68,New Mexico,F
12,15-Mar-2012,2012,1,B,F,4,Louisville,ACC,69,Louisville,F
12,15-Mar-2012,2012,1,B,U,13,Davidson,A-10,62,Louisville,F
13,15-Mar-2012,2012,1,B,F,6,Murray State,OVC,58,Murray State,F
13,15-Mar-2012,2012,1,B,U,11,Colorado State,MWC,41,Murray State,F
14,15-Mar-2012,2012,1,B,F,3,Marquette,Big East,88,Marquette,F
14,15-Mar-2012,2012,1,B,U,14,Brigham Young,WCC,68,Marquette,F
15,16-Mar-2012,2012,1,B,F,7,Florida,SEC,71,Florida,F
15,16-Mar-2012,2012,1,B,U,10,Virginia,ACC,45,Florida,F
16,16-Mar-2012,2012,1,B,F,2,Missouri,SEC,84,Norfolk State,U
16,16-Mar-2012,2012,1,B,U,15,Norfolk State,MEAC,86,Norfolk State,U
17,15-Mar-2012,2012,1,C,F,1,Syracuse,ACC,72,Syracuse,F
17,15-Mar-2012,2012,1,C,U,16,North Carolina-Asheville,Big South,65,Syracuse,F
18,15-Mar-2012,2012,1,C,F,8,Kansas State,Big 12,70,Kansas State,F
18,15-Mar-2012,2012,1,C,U,9,Southern Mississippi,CUSA,64,Kansas State,F
19,15-Mar-2012,2012,1,C,F,5,Vanderbilt,SEC,79,Vanderbilt,F
19,15-Mar-2012,2012,1,C,U,12,Harvard,Ivy,70,Vanderbilt,F
20,15-Mar-2012,2012,1,C,F,4,Wisconsin,Big Ten,73,Wisconsin,F
20,15-Mar-2012,2012,1,C,U,13,Montana,Big Sky,49,Wisconsin,F
21,16-Mar-2012,2012,1,C,F,6,Cincinnati,AAC,65,Cincinnati,F
21,16-Mar-2012,2012,1,C,U,11,Texas,Big 12,59,Cincinnati,F
22,16-Mar-2012,2012,1,C,F,3,Florida State,ACC,66,Florida State,F
22,16-Mar-2012,2012,1,C,U,14,St. Bonaventure,A-10,63,Florida State,F
23,15-Mar-2012,2012,1,C,F,7,Gonzaga,WCC,77,Gonzaga,F
23,15-Mar-2012,2012,1,C,U,10,West Virginia,Big 12,54,Gonzaga,F
24,15-Mar-2012,2012,1,C,F,2,Ohio State,Big Ten,78,Ohio State,F
24,15-Mar-2012,2012,1,C,U,15,Loyola (MD),Patriot,59,Ohio State,F
25,16-Mar-2012,2012,1,D,F,1,North Carolina,ACC,77,North Carolina,F
25,16-Mar-2012,2012,1,D,U,16,Vermont,AEC,58,North Carolina,F
26,16-Mar-2012,2012,1,D,F,8,Creighton,Big East,58,Creighton,F
26,16-Mar-2012,2012,1,D,U,9,Alabama,SEC,57,Creighton,F
27,16-Mar-2012,2012,1,D,F,5,Temple,AAC,44,South Florida,U
27,16-Mar-2012,2012,1,D,U,12,South Florida,AAC,58,South Florida,U
28,16-Mar-2012,2012,1,D,F,4,Michigan,Big Ten,60,Ohio,U
28,16-Mar-2012,2012,1,D,U,13,Ohio,MAC (East),65,Ohio,U
29,16-Mar-2012,2012,1,D,F,6,San Diego State,MWC,65,North Carolina State,U
29,16-Mar-2012,2012,1,D,U,11,North Carolina State,ACC,79,North Carolina State,U
30,16-Mar-2012,2012,1,D,F,3,Georgetown,Big East,74,Georgetown,F
30,16-Mar-2012,2012,1,D,U,14,Belmont,OVC,59,Georgetown,F
31,16-Mar-2012,2012,1,D,F,7,Saint Mary's (CA),WCC,69,Purdue,U
31,16-Mar-2012,2012,1,D,U,10,Purdue,Big Ten,72,Purdue,U
32,16-Mar-2012,2012,1,D,F,2,Kansas,Big 12,65,Kansas,F
32,16-Mar-2012,2012,1,D,U,15,Detroit Mercy,Horizon,50,Kansas,F
33,17-Mar-2012,2012,2,A,F,1,Kentucky,SEC,87,Kentucky,F
33,17-Mar-2012,2012,2,A,U,8,Iowa State,Big 12,71,Kentucky,F
34,17-Mar-2012,2012,2,A,F,4,Indiana,Big Ten,63,Indiana,F
34,17-Mar-2012,2012,2,A,U,12,Virginia Commonwealth,A-10,61,Indiana,F
35,17-Mar-2012,2012,2,A,F,3,Baylor,Big 12,80,Baylor,F
35,17-Mar-2012,2012,2,A,U,11,Colorado,Pac-12,63,Baylor,F
36,18-Mar-2012,2012,2,A,F,10,Xavier,Big East,70,Xavier,F
36,18-Mar-2012,2012,2,A,U,15,Lehigh,Patriot,58,Xavier,F
37,18-Mar-2012,2012,2,B,F,1,Michigan State,Big Ten,65,Michigan State,F
37,18-Mar-2012,2012,2,B,U,9,Saint Louis,A-10,61,Michigan State,F
38,17-Mar-2012,2012,2,B,F,4,Louisville,ACC,59,Louisville,F
38,17-Mar-2012,2012,2,B,U,5,New Mexico,MWC,56,Louisville,F
39,17-Mar-2012,2012,2,B,F,3,Marquette,Big East,62,Marquette,F
39,17-Mar-2012,2012,2,B,U,6,Murray State,OVC,53,Marquette,F
40,18-Mar-2012,2012,2,B,F,7,Florida,SEC,84,Florida,F
40,18-Mar-2012,2012,2,B,U,15,Norfolk State,MEAC,50,Florida,F
41,17-Mar-2012,2012,2,C,F,1,Syracuse,ACC,75,Syracuse,F
41,17-Mar-2012,2012,2,C,U,8,Kansas State,Big 12,59,Syracuse,F
42,17-Mar-2012,2012,2,C,F,4,Wisconsin,Big Ten,60,Wisconsin,F
42,17-Mar-2012,2012,2,C,U,5,Vanderbilt,SEC,57,Wisconsin,F
43,18-Mar-2012,2012,2,C,F,3,Florida State,ACC,56,Cincinnati,U
43,18-Mar-2012,2012,2,C,U,6,Cincinnati,AAC,62,Cincinnati,U
44,17-Mar-2012,2012,2,C,F,2,Ohio State,Big Ten,73,Ohio State,F
44,17-Mar-2012,2012,2,C,U,7,Gonzaga,WCC,66,Ohio State,F
45,18-Mar-2012,2012,2,D,F,1,North Carolina,ACC,87,North Carolina,F
45,18-Mar-2012,2012,2,D,U,8,Creighton,Big East,73,North Carolina,F
46,18-Mar-2012,2012,2,D,F,12,South Florida,AAC,56,Ohio,U
46,18-Mar-2012,2012,2,D,U,13,Ohio,MAC (East),62,Ohio,U
47,18-Mar-2012,2012,2,D,F,3,Georgetown,Big East,63,North Carolina State,U
47,18-Mar-2012,2012,2,D,U,11,North Carolina State,ACC,66,North Carolina State,U
48,18-Mar-2012,2012,2,D,F,2,Kansas,Big 12,63,Kansas,F
48,18-Mar-2012,2012,2,D,U,10,Purdue,Big Ten,60,Kansas,F
49,23-Mar-2012,2012,3,A,F,1,Kentucky,SEC,102,Kentucky,F
49,23-Mar-2012,2012,3,A,U,4,Indiana,Big Ten,90,Kentucky,F
50,23-Mar-2012,2012,3,A,F,3,Baylor,Big 12,75,Baylor,F
50,23-Mar-2012,2012,3,A,U,10,Xavier,Big East,70,Baylor,F
51,22-Mar-2012,2012,3,B,F,1,Michigan State,Big Ten,44,Louisville,U
51,22-Mar-2012,2012,3,B,U,4,Louisville,ACC,57,Louisville,U
52,22-Mar-2012,2012,3,B,F,3,Marquette,Big East,58,Florida,U
52,22-Mar-2012,2012,3,B,U,7,Florida,SEC,68,Florida,U
53,22-Mar-2012,2012,3,C,F,1,Syracuse,ACC,64,Syracuse,F
53,22-Mar-2012,2012,3,C,U,4,Wisconsin,Big Ten,63,Syracuse,F
54,22-Mar-2012,2012,3,C,F,2,Ohio State,Big Ten,81,Ohio State,F
54,22-Mar-2012,2012,3,C,U,6,Cincinnati,AAC,66,Ohio State,F
55,23-Mar-2012,2012,3,D,F,1,North Carolina,ACC,73,North Carolina,F
55,23-Mar-2012,2012,3,D,U,13,Ohio,MAC (East),65,North Carolina,F
56,23-Mar-2012,2012,3,D,F,2,Kansas,Big 12,60,Kansas,F
56,23-Mar-2012,2012,3,D,U,11,North Carolina State,ACC,57,Kansas,F
57,25-Mar-2012,2012,4,A,F,1,Kentucky,SEC,82,Kentucky,F
57,25-Mar-2012,2012,4,A,U,3,Baylor,Big 12,70,Kentucky,F
58,24-Mar-2012,2012,4,B,F,4,Louisville,ACC,72,Louisville,F
58,24-Mar-2012,2012,4,B,U,7,Florida,SEC,68,Louisville,F
59,24-Mar-2012,2012,4,C,F,1,Syracuse,ACC,70,Ohio State,U
