TEAM,PAKE,PASE
Iona,-1.3,-1.1
St. Bonaventure,-1.3,-1.3
Old Dominion,-1.3,-1.4
George Washington,-1.3,-1.4
Drake,-1.3,-1.1
Vanderbilt,-1.5,-3.1
Utah,-1.5,-1.6
Iowa,-1.5,-1.8
UNLV,-1.5,-2.8
Valparaiso,-1.5,-0.7
UNC Wilmington,-1.6,-1.3
UTEP,-1.6,-1.4
Colorado,-1.6,-2.2
Saint Joseph's,-1.7,-1.8
Duke,-1.8,-5.1
Illinois,-2,-0.1
St. John's,-2,-3.6
Minnesota,-2.1,-2.3
Penn,-2.3,-1.9
San Diego St.,-2.3,-2.7
Temple,-2.5,-2.5
Georgia,-2.5,-3
Oklahoma St.,-2.6,-2.7
SMU,-2.6,-2.2
California,-2.6,-3
Belmont,-2.6,-1.9
Georgetown,-2.7,-4
Saint Mary's,-2.7,-1.9
Iowa St.,-2.7,-3.1
New Mexico St.,-2.7,-2.8
New Mexico,-3.1,-4.3
Ohio St.,-3.2,-2.8
Stanford,-3.4,-5.1
Wake Forest,-3.5,-4.2
Clemson,-3.6,-2.6
Arkansas,-3.6,-3
Providence,-3.7,-3.6
Mississippi St.,-3.9,-4
Texas,-4.1,-3.4
Utah St.,-4.1,-3.1
Creighton,-5,-5.3
BYU,-5.2,-4.2
Virginia,-5.9,-6.2
Pittsburgh,-6.7,-5.7
Cincinnati,-7.4,-7.5
