ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
216,18-Mar-05,2005,2004-05,1,East,20.81,17,6,Wisconsin,57,13.36,45,11,Northern Iowa,52,,5,5,
217,18-Mar-05,2005,2004-05,1,Midwest,25.02,6,2,Oklahoma St.,63,3.2,134,15,Southeastern Louisiana,50,,13,13,
218,18-Mar-05,2005,2004-05,1,Midwest,16.75,29,7,Southern Illinois,65,9.41,78,10,Saint Mary's,56,,9,3,
219,18-Mar-05,2005,2004-05,1,South,27.41,3,1,Duke,57,-4.95,209,16,Delaware St.,46,,11,15,
220,18-Mar-05,2005,2004-05,1,South,25.67,5,5,Michigan St.,89,10.04,73,12,Old Dominion,81,,8,7,
221,18-Mar-05,2005,2004-05,1,West,25.78,4,4,Louisville,68,-12.19,275,13,Lafayette,62,,6,9,
222,18-Mar-05,2005,2004-05,1,West,19.23,22,5,Georgia Tech,80,14.41,38,12,George Washington,68,,12,7,
223,18-Mar-05,2005,2004-05,1,East,18.93,23,10,North Carolina St.,75,12.15,54,7,Charlotte,63,,12,-3,10 over 7
224,18-Mar-05,2005,2004-05,1,East,14.06,41,8,Minnesota,53,13.02,48,9,Iowa St.,64,,11,-1,
225,18-Mar-05,2005,2004-05,1,South,15.25,34,9,Mississippi St.,93,10.63,69,8,Stanford,70,,23,-1,
226,19-Mar-05,2005,2004-05,2,Midwest,18.3,25,4,Boston College,75,14.69,36,12,Milwaukee,83,,8,-8,12 over 4
227,19-Mar-05,2005,2004-05,2,West,24.86,8,2,Wake Forest,105,15,35,7,West Virginia,111,2 OT,6,-5,7 over 2
228,19-Mar-05,2005,2004-05,2,Midwest,32.68,2,1,Illinois,71,12.11,55,9,Nevada,59,,12,8,
229,19-Mar-05,2005,2004-05,2,Midwest,22.22,13,3,Arizona,85,12.51,51,11,UAB,63,,22,8,
230,19-Mar-05,2005,2004-05,2,South,24.1,9,2,Kentucky,69,20.43,19,7,Cincinnati,60,,9,5,
231,19-Mar-05,2005,2004-05,2,West,22.18,14,1,Washington,97,14.08,40,8,Pacific,79,,18,7,
232,19-Mar-05,2005,2004-05,2,South,22.55,12,3,Oklahoma,58,20.33,20,6,Utah,67,,9,-3,6 over 3
233,19-Mar-05,2005,2004-05,2,West,17.88,26,3,Gonzaga,69,15.47,32,6,Texas Tech,71,,2,-3,6 over 3
234,20-Mar-05,2005,2004-05,2,East,21.94,15,2,Connecticut,62,18.93,23,10,North Carolina St.,65,,3,-8,10 over 2
235,20-Mar-05,2005,2004-05,2,East,32.77,1,1,North Carolina,92,13.02,48,9,Iowa St.,65,,27,8,
236,20-Mar-05,2005,2004-05,2,East,20.81,17,6,Wisconsin,71,6.69,95,14,Bucknell,62,,9,8,
237,20-Mar-05,2005,2004-05,2,Midwest,25.02,6,2,Oklahoma St.,85,16.75,29,7,Southern Illinois,77,,8,5,
238,20-Mar-05,2005,2004-05,2,South,27.41,3,1,Duke,63,15.25,34,9,Mississippi St.,55,,8,8,
239,20-Mar-05,2005,2004-05,2,South,25.67,5,5,Michigan St.,72,13.53,43,13,Vermont,61,,11,8,
240,20-Mar-05,2005,2004-05,2,West,25.78,4,4,Louisville,76,19.23,22,5,Georgia Tech,54,,22,1,
241,20-Mar-05,2005,2004-05,2,East,25.02,7,5,Villanova,76,23.93,10,4,Florida,65,,11,-1,
242,24-Mar-05,2005,2004-05,3,Midwest,32.68,2,1,Illinois,77,14.69,36,12,Milwaukee,63,,14,11,
243,24-Mar-05,2005,2004-05,3,West,25.78,4,4,Louisville,93,22.18,14,1,Washington,79,,14,-3,4 over 1
244,24-Mar-05,2005,2004-05,3,Midwest,25.02,6,2,Oklahoma St.,78,22.22,13,3,Arizona,79,,1,-1,
245,24-Mar-05,2005,2004-05,3,West,15.47,32,6,Texas Tech,60,15,35,7,West Virginia,65,,5,-1,
246,25-Mar-05,2005,2004-05,3,South,27.41,3,1,Duke,68,25.67,5,5,Michigan St.,78,,10,-4,5 over 1
247,25-Mar-05,2005,2004-05,3,East,32.77,1,1,North Carolina,67,25.02,7,5,Villanova,66,,1,4,
248,25-Mar-05,2005,2004-05,3,East,20.81,17,6,Wisconsin,65,18.93,23,10,North Carolina St.,56,,9,4,
249,25-Mar-05,2005,2004-05,3,South,24.1,9,2,Kentucky,62,20.33,20,6,Utah,52,,10,4,
250,26-Mar-05,2005,2004-05,4,Midwest,32.68,2,1,Illinois,90,22.22,13,3,Arizona,89,1 OT,1,2,
251,26-Mar-05,2005,2004-05,4,West,25.78,4,4,Louisville,93,15,35,7,West Virginia,85,1 OT,8,3,
252,27-Mar-05,2005,2004-05,4,South,25.67,5,5,Michigan St.,94,24.1,9,2,Kentucky,88,2 OT,6,-3,5 over 2
253,27-Mar-05,2005,2004-05,4,East,32.77,1,1,North Carolina,88,20.81,17,6,Wisconsin,82,,6,5,
254,2-Apr-05,2005,2004-05,5,Final Four,32.77,1,1,North Carolina,87,25.67,5,5,Michigan St.,71,,16,4,
255,2-Apr-05,2005,2004-05,5,Final Four,32.68,2,1,Illinois,72,25.78,4,4,Louisville,57,,15,3,
256,4-Apr-05,2005,2004-05,6,Championship,32.77,1,1,North Carolina,75,32.68,2,1,Illinois,70,,5,0,
257,14-Mar-06,2006,2005-06,PI,Midwest,-0.68,164,16,Monmouth,71,-10.4,271,16,Hampton,49,,22,0,
258,16-Mar-06,2006,2005-06,1,Midwest,15.22,37,5,Nevada,79,8.95,87,12,Montana,87,,8,-7,12 over 5
259,16-Mar-06,2006,2005-06,1,South,15.9,31,12,Texas A&M,66,13.15,50,5,Syracuse,58,,8,-7,12 over 5
260,16-Mar-06,2006,2005-06,1,Midwest,13.99,45,6,Oklahoma,74,11.86,62,11,Milwaukee,82,,8,-5,11 over 6
261,16-Mar-06,2006,2005-06,1,West,15.36,36,7,Marquette,85,12.48,60,10,Alabama,90,,5,-3,10 over 7
262,16-Mar-06,2006,2005-06,1,East,19.44,17,2,Tennessee,63,10.27,73,15,Winthrop,61,,2,13,
263,16-Mar-06,2006,2005-06,1,East,23.2,9,4,Illinois,78,14.87,40,13,Air Force,69,,9,9,
264,16-Mar-06,2006,2005-06,1,East,20.09,15,5,Washington,75,10.86,69,12,Utah St.,61,,14,7,
265,16-Mar-06,2006,2005-06,1,East,16.06,26,7,Wichita St.,86,9.06,86,10,Seton Hall,66,,20,3,
266,16-Mar-06,2006,2005-06,1,Midwest,28.28,1,3,Florida,76,9.28,84,14,South Alabama,50,,26,11,
267,16-Mar-06,2006,2005-06,1,Midwest,18.65,18,4,Boston College,88,10.87,68,13,Pacific,76,2 OT,12,9,
268,16-Mar-06,2006,2005-06,1,South,27.54,2,1,Duke,70,-3.4,197,16,Southern,54,,16,15,
269,16-Mar-06,2006,2005-06,1,South,22,11,4,LSU,80,11.33,65,13,Iona,64,,16,9,
270,16-Mar-06,2006,2005-06,1,South,14.77,42,9,UNC Wilmington,85,14.67,43,8,George Washington,88,1 OT,3,1,
271,16-Mar-06,2006,2005-06,1,West,23.4,7,2,UCLA,78,-0.73,165,15,Belmont,44,,34,13,
272,16-Mar-06,2006,2005-06,1,West,15.64,33,3,Gonzaga,79,12.73,54,14,Xavier,75,,4,11,
273,16-Mar-06,2006,2005-06,1,West,15.53,34,6,Indiana,87,12.78,52,11,San Diego St.,83,,4,5,
274,17-Mar-06,2006,2005-06,1,South,18.22,21,3,Iowa,63,7.51,93,14,Northwestern St.,64,,1,-11,14 over 3
275,17-Mar-06,2006,2005-06,1,West,23.22,8,4,Kansas,73,16.5,25,13,Bradley,77,,4,-9,13 over 4
276,17-Mar-06,2006,2005-06,1,East,18.16,22,11,George Mason,75,16.02,27,6,Michigan St.,65,,10,-5,11 over 6
277,17-Mar-06,2006,2005-06,1,South,15.92,30,10,North Carolina St.,58,13.68,47,7,California,52,,6,-3,10 over 7
278,17-Mar-06,2006,2005-06,1,East,25.44,4,1,Connecticut,72,2.63,138,16,Albany,59,,13,15,
279,17-Mar-06,2006,2005-06,1,East,22.16,10,3,North Carolina,69,8.56,89,14,Murray St.,65,,4,11,
280,17-Mar-06,2006,2005-06,1,East,17.13,24,8,Kentucky,69,12.65,56,9,UAB,64,,5,1,
281,17-Mar-06,2006,2005-06,1,Midwest,24.59,5,1,Villanova,58,-0.68,164,16,Monmouth,45,,13,15,
282,17-Mar-06,2006,2005-06,1,Midwest,20.68,14,2,Ohio St.,70,4.86,122,15,Davidson,62,,8,13,
283,17-Mar-06,2006,2005-06,1,Midwest,21.29,13,7,Georgetown,54,15.84,32,10,Northern Iowa,49,,5,3,
284,17-Mar-06,2006,2005-06,1,Midwest,17.23,23,8,Arizona,94,14.94,39,9,Wisconsin,75,,19,1,
285,17-Mar-06,2006,2005-06,1,South,25.79,3,2,Texas,60,7.3,97,15,Penn,52,,8,13,
286,17-Mar-06,2006,2005-06,1,South,19.49,16,6,West Virginia,64,13.6,48,11,Southern Illinois,46,,18,5,
287,17-Mar-06,2006,2005-06,1,West,23.54,6,1,Memphis,94,5.7,112,16,Oral Roberts,78,,16,15,
288,17-Mar-06,2006,2005-06,1,West,21.72,12,5,Pittsburgh,79,10.54,70,12,Kent St.,64,,15,7,
289,17-Mar-06,2006,2005-06,1,West,18.47,20,8,Arkansas,55,12.56,58,9,Bucknell,59,,4,-1,
290,18-Mar-06,2006,2005-06,2,East,19.44,17,2,Tennessee,73,16.06,26,7,Wichita St.,80,,7,-5,7 over 2
291,18-Mar-06,2006,2005-06,2,Midwest,28.28,1,3,Florida,82,11.86,62,11,Milwaukee,60,,22,8,
292,18-Mar-06,2006,2005-06,2,Midwest,18.65,18,4,Boston College,69,8.95,87,12,Montana,56,,13,8,
293,18-Mar-06,2006,2005-06,2,South,27.54,2,1,Duke,74,14.67,43,8,George Washington,61,,13,7,
294,18-Mar-06,2006,2005-06,2,South,22,11,4,LSU,58,15.9,31,12,Texas A&M,57,,1,8,
295,18-Mar-06,2006,2005-06,2,West,23.4,7,2,UCLA,62,12.48,60,10,Alabama,59,,3,8,
296,18-Mar-06,2006,2005-06,2,West,15.64,33,3,Gonzaga,90,15.53,34,6,Indiana,80,,10,3,
297,18-Mar-06,2006,2005-06,2,East,23.2,9,4,Illinois,64,20.09,15,5,Washington,67,,3,-1,
298,19-Mar-06,2006,2005-06,2,East,22.16,10,3,North Carolina,60,18.16,22,11,George Mason,65,,5,-8,11 over 3
299,19-Mar-06,2006,2005-06,2,West,21.72,12,5,Pittsburgh,66,16.5,25,13,Bradley,72,,6,-8,13 over 5
300,19-Mar-06,2006,2005-06,2,Midwest,21.29,13,7,Georgetown,70,20.68,14,2,Ohio St.,52,,18,-5,7 over 2
301,19-Mar-06,2006,2005-06,2,East,25.44,4,1,Connecticut,87,17.13,24,8,Kentucky,83,,4,7,
302,19-Mar-06,2006,2005-06,2,Midwest,24.59,5,1,Villanova,82,17.23,23,8,Arizona,78,,4,7,
303,19-Mar-06,2006,2005-06,2,South,25.79,3,2,Texas,75,15.92,30,10,North Carolina St.,54,,21,8,
304,19-Mar-06,2006,2005-06,2,South,19.49,16,6,West Virginia,67,7.51,93,14,Northwestern St.,54,,13,8,
305,19-Mar-06,2006,2005-06,2,West,23.54,6,1,Memphis,72,12.56,58,9,Bucknell,56,,16,8,
306,23-Mar-06,2006,2005-06,3,South,27.54,2,1,Duke,54,22,11,4,LSU,62,,8,-3,4 over 1
307,23-Mar-06,2006,2005-06,3,South,25.79,3,2,Texas,74,19.49,16,6,West Virginia,71,,3,4,
308,23-Mar-06,2006,2005-06,3,West,23.54,6,1,Memphis,80,16.5,25,13,Bradley,64,,16,12,
309,23-Mar-06,2006,2005-06,3,West,23.4,7,2,UCLA,73,15.64,33,3,Gonzaga,71,,2,1,
310,24-Mar-06,2006,2005-06,3,East,18.16,22,11,George Mason,63,16.06,26,7,Wichita St.,55,,8,-4,11 over 7
311,24-Mar-06,2006,2005-06,3,East,25.44,4,1,Connecticut,98,20.09,15,5,Washington,92,1 OT,6,4,
312,24-Mar-06,2006,2005-06,3,Midwest,24.59,5,1,Villanova,60,18.65,18,4,Boston College,59,1 OT,1,3,
313,24-Mar-06,2006,2005-06,3,Midwest,28.28,1,3,Florida,57,21.29,13,7,Georgetown,53,,4,4,
314,25-Mar-06,2006,2005-06,4,South,25.79,3,2,Texas,60,22,11,4,LSU,70,1 OT,10,-2,
315,25-Mar-06,2006,2005-06,4,West,23.54,6,1,Memphis,45,23.4,7,2,UCLA,50,,5,-1,
316,26-Mar-06,2006,2005-06,4,East,25.44,4,1,Connecticut,84,18.16,22,11,George Mason,86,1 OT,2,-10,11 over 1
317,26-Mar-06,2006,2005-06,4,Midwest,28.28,1,3,Florida,75,24.59,5,1,Villanova,62,,13,-2,
318,1-Apr-06,2006,2005-06,5,Final Four,23.4,7,2,UCLA,59,22,11,4,LSU,45,,14,2,
319,1-Apr-06,2006,2005-06,5,Final Four,28.28,1,3,Florida,73,18.16,22,11,George Mason,58,,15,8,
320,3-Apr-06,2006,2005-06,6,Championship,28.28,1,3,Florida,73,23.4,7,2,UCLA,57,,16,-1,
321,13-Mar-07,2007,2006-07,PI,West,-2.76,186,16,Niagara,77,-9.57,254,16,Florida A&M,69,,8,0,
322,15-Mar-07,2007,2006-07,1,West,23.3,10,6,Duke,77,14.55,52,11,VCU,79,,2,-5,11 over 6
323,15-Mar-07,2007,2006-07,1,East,31.37,1,1,North Carolina,86,-2.58,182,16,Eastern Kentucky,65,,21,15,
324,15-Mar-07,2007,2006-07,1,East,28.48,4,2,Georgetown,80,4.38,121,15,Belmont,55,,25,13,
325,15-Mar-07,2007,2006-07,1,East,18.87,27,3,Washington St.,70,8.36,88,14,Oral Roberts,54,,16,11,
326,15-Mar-07,2007,2006-07,1,East,16.23,43,6,Vanderbilt,77,7.28,95,11,George Washington,44,,33,5,
327,15-Mar-07,2007,2006-07,1,East,16.18,44,7,Boston College,84,10.98,71,10,Texas Tech,75,,9,3,
328,15-Mar-07,2007,2006-07,1,Midwest,22.42,12,4,Maryland,82,13.32,61,13,Davidson,70,,12,9,
329,15-Mar-07,2007,2006-07,1,Midwest,21.45,15,5,Butler,57,12.7,64,12,Old Dominion,46,,11,7,
330,15-Mar-07,2007,2006-07,1,South,29.33,3,1,Ohio St.,78,-2.24,177,16,Central Connecticut,57,,21,15,
331,15-Mar-07,2007,2006-07,1,South,26.97,7,3,Texas A&M,68,7.69,92,14,Penn,52,,16,11,
332,15-Mar-07,2007,2006-07,1,South,20.35,19,6,Louisville,78,12.37,66,11,Stanford,58,,20,5,
333,15-Mar-07,2007,2006-07,1,West,27.15,6,2,UCLA,70,-2.71,184,15,Weber St.,42,,28,13,
334,15-Mar-07,2007,2006-07,1,West,22.9,11,3,Pittsburgh,79,6.66,100,14,Wright St.,58,,21,11,
335,15-Mar-07,2007,2006-07,1,West,21.58,14,7,Indiana,70,15.31,49,10,Gonzaga,57,,13,3,
336,15-Mar-07,2007,2006-07,1,East,20.97,17,9,Michigan St.,61,17.18,38,8,Marquette,49,,12,-1,
337,15-Mar-07,2007,2006-07,1,South,18.13,32,9,Xavier,79,16.11,46,8,BYU,77,,2,-1,
338,16-Mar-07,2007,2006-07,1,Midwest,20.02,22,6,Notre Dame,64,14.81,51,11,Winthrop,74,,10,-5,11 over 6
339,16-Mar-07,2007,2006-07,1,East,19.24,25,4,Texas,79,7.27,96,13,New Mexico St.,67,,12,9,
340,16-Mar-07,2007,2006-07,1,East,16.86,39,5,USC,77,16.62,42,12,Arkansas,60,,17,7,
341,16-Mar-07,2007,2006-07,1,Midwest,30.81,2,1,Florida,112,-9.48,251,16,Jackson St.,69,,43,15,
342,16-Mar-07,2007,2006-07,1,Midwest,25.45,8,2,Wisconsin,76,7.76,91,15,Texas A&M Corpus Chris,63,,13,13,
343,16-Mar-07,2007,2006-07,1,Midwest,20.76,18,3,Oregon,58,8.38,87,14,Miami OH,56,,2,11,
344,16-Mar-07,2007,2006-07,1,Midwest,19.61,23,10,Georgia Tech,63,16.83,41,7,UNLV,67,,4,3,
345,16-Mar-07,2007,2006-07,1,South,24.81,9,2,Memphis,73,-0.98,162,15,North Texas,58,,15,13,
346,16-Mar-07,2007,2006-07,1,South,15.43,48,4,Virginia,84,2.25,138,13,Albany,57,,27,9,
347,16-Mar-07,2007,2006-07,1,South,18.29,31,5,Tennessee,121,5.44,113,12,Long Beach St.,86,,35,7,
348,16-Mar-07,2007,2006-07,1,South,18.53,28,10,Creighton,71,16.09,47,7,Nevada,77,1 OT,6,3,
349,16-Mar-07,2007,2006-07,1,West,27.81,5,1,Kansas,107,-2.76,186,16,Niagara,67,,40,15,
350,16-Mar-07,2007,2006-07,1,West,21.03,16,4,Southern Illinois,61,7.4,93,13,Holy Cross,51,,10,9,
351,16-Mar-07,2007,2006-07,1,West,17.5,36,12,Illinois,52,17.38,37,5,Virginia Tech,54,,2,7,
352,16-Mar-07,2007,2006-07,1,West,21.73,13,8,Kentucky,67,20.11,21,9,Villanova,58,,9,1,
353,16-Mar-07,2007,2006-07,1,Midwest,19.43,24,8,Arizona,63,18.31,30,9,Purdue,72,,9,-1,
354,17-Mar-07,2007,2006-07,2,East,18.87,27,3,Washington St.,74,16.23,43,6,Vanderbilt,78,2 OT,4,-3,6 over 3
355,17-Mar-07,2007,2006-07,2,East,31.37,1,1,North Carolina,81,20.97,17,9,Michigan St.,67,,14,8,
356,17-Mar-07,2007,2006-07,2,East,28.48,4,2,Georgetown,62,16.18,44,7,Boston College,55,,7,5,
357,17-Mar-07,2007,2006-07,2,South,29.33,3,1,Ohio St.,78,18.13,32,9,Xavier,71,1 OT,7,8,
358,17-Mar-07,2007,2006-07,2,South,26.97,7,3,Texas A&M,72,20.35,19,6,Louisville,69,,3,3,
359,17-Mar-07,2007,2006-07,2,West,27.15,6,2,UCLA,54,21.58,14,7,Indiana,49,,5,5,
360,17-Mar-07,2007,2006-07,2,West,22.9,11,3,Pittsburgh,84,14.55,52,11,VCU,79,1 OT,5,8,
361,17-Mar-07,2007,2006-07,2,Midwest,22.42,12,4,Maryland,59,21.45,15,5,Butler,62,,3,-1,
362,18-Mar-07,2007,2006-07,2,Midwest,25.45,8,2,Wisconsin,68,16.83,41,7,UNLV,74,,6,-5,7 over 2
363,18-Mar-07,2007,2006-07,2,Midwest,30.81,2,1,Florida,74,18.31,30,9,Purdue,67,,7,8,
364,18-Mar-07,2007,2006-07,2,Midwest,20.76,18,3,Oregon,75,14.81,51,11,Winthrop,61,,14,8,
365,18-Mar-07,2007,2006-07,2,South,24.81,9,2,Memphis,78,16.09,47,7,Nevada,62,,16,5,
366,18-Mar-07,2007,2006-07,2,West,27.81,5,1,Kansas,88,21.73,13,8,Kentucky,76,,12,7,
367,18-Mar-07,2007,2006-07,2,West,21.03,16,4,Southern Illinois,63,17.38,37,5,Virginia Tech,48,,15,1,
368,18-Mar-07,2007,2006-07,2,East,19.24,25,4,Texas,68,16.86,39,5,USC,87,,19,-1,
369,18-Mar-07,2007,2006-07,2,South,18.29,31,5,Tennessee,77,15.43,48,4,Virginia,74,,3,-1,
370,22-Mar-07,2007,2006-07,3,South,29.33,3,1,Ohio St.,85,18.29,31,5,Tennessee,84,,1,4,
371,22-Mar-07,2007,2006-07,3,South,26.97,7,3,Texas A&M,64,24.81,9,2,Memphis,65,,1,1,
372,22-Mar-07,2007,2006-07,3,West,27.81,5,1,Kansas,61,21.03,16,4,Southern Illinois,58,,3,3,
373,22-Mar-07,2007,2006-07,3,West,27.15,6,2,UCLA,64,22.9,11,3,Pittsburgh,55,,9,1,
374,23-Mar-07,2007,2006-07,3,East,31.37,1,1,North Carolina,74,16.86,39,5,USC,64,,10,4,
375,23-Mar-07,2007,2006-07,3,East,28.48,4,2,Georgetown,66,16.23,43,6,Vanderbilt,65,,1,4,
376,23-Mar-07,2007,2006-07,3,Midwest,30.81,2,1,Florida,65,21.45,15,5,Butler,57,,8,4,
377,23-Mar-07,2007,2006-07,3,Midwest,20.76,18,3,Oregon,76,16.83,41,7,UNLV,72,,4,4,
378,24-Mar-07,2007,2006-07,4,South,29.33,3,1,Ohio St.,92,24.81,9,2,Memphis,76,,16,1,
379,24-Mar-07,2007,2006-07,4,West,27.81,5,1,Kansas,55,27.15,6,2,UCLA,68,,13,-1,
380,25-Mar-07,2007,2006-07,4,Midwest,30.81,2,1,Florida,85,20.76,18,3,Oregon,77,,8,2,
381,25-Mar-07,2007,2006-07,4,East,31.37,1,1,North Carolina,84,28.48,4,2,Georgetown,96,1 OT,12,-1,
382,31-Mar-07,2007,2006-07,5,Final Four,30.81,2,1,Florida,76,27.15,6,2,UCLA,66,,10,1,
383,31-Mar-07,2007,2006-07,5,Final Four,29.33,3,1,Ohio St.,67,28.48,4,2,Georgetown,60,,7,1,
384,2-Apr-07,2007,2006-07,6,Championship,30.81,2,1,Florida,84,29.33,3,1,Ohio St.,75,,9,0,
385,18-Mar-08,2008,2007-08,PI,East,-1.32,173,16,Mount St. Mary's,69,-14.41,298,16,Coppin St.,60,,9,0,
386,20-Mar-08,2008,2007-08,1,Midwest,18.9,26,11,Kansas St.,80,18.67,28,6,USC,67,,13,-5,11 over 6
387,20-Mar-08,2008,2007-08,1,East,24.32,10,4,Washington St.,71,6.38,104,13,Winthrop,40,,31,9,
388,20-Mar-08,2008,2007-08,1,East,19.07,24,5,Notre Dame,68,9.68,80,12,George Mason,50,,18,7,
389,20-Mar-08,2008,2007-08,1,Midwest,35.21,1,1,Kansas,85,5.4,112,16,Portland St.,61,,24,15,
390,20-Mar-08,2008,2007-08,1,Midwest,26.68,5,3,Wisconsin,71,8.47,88,14,Cal St. Fullerton,56,,15,11,
391,20-Mar-08,2008,2007-08,1,Midwest,13.71,48,8,UNLV,71,13.04,55,9,Kent St.,58,,13,1,
392,20-Mar-08,2008,2007-08,1,South,22.75,12,3,Stanford,77,4.41,123,14,Cornell,53,,24,11,
393,20-Mar-08,2008,2007-08,1,South,19.91,22,4,Pittsburgh,82,10.27,77,13,Oral Roberts,63,,19,9,
394,20-Mar-08,2008,2007-08,1,South,21.15,19,5,Michigan St.,72,12.37,57,12,Temple,61,,11,7,
395,20-Mar-08,2008,2007-08,1,South,22.16,14,6,Marquette,74,10.01,78,11,Kentucky,66,,8,5,
396,20-Mar-08,2008,2007-08,1,West,29.94,4,1,UCLA,70,-15.21,306,16,Mississippi Valley St.,29,,41,15,
397,20-Mar-08,2008,2007-08,1,West,26.4,6,2,Duke,71,3.53,129,15,Belmont,70,,1,13,
398,20-Mar-08,2008,2007-08,1,West,22.05,15,3,Xavier,73,8.08,91,14,Georgia,61,,12,11,
399,20-Mar-08,2008,2007-08,1,West,18.3,30,6,Purdue,90,14.82,41,11,Baylor,79,,11,5,
400,20-Mar-08,2008,2007-08,1,West,21.29,18,7,West Virginia,75,19.14,23,10,Arizona,65,,10,3,
401,20-Mar-08,2008,2007-08,1,West,19.93,21,9,Texas A&M,67,15.76,35,8,BYU,62,,5,-1,
402,21-Mar-08,2008,2007-08,1,Midwest,12.65,56,4,Vanderbilt,62,7.99,93,13,Siena,83,,21,-9,13 over 4
403,21-Mar-08,2008,2007-08,1,West,18.9,27,4,Connecticut,69,4.64,120,13,San Diego,70,1 OT,1,-9,13 over 4
404,21-Mar-08,2008,2007-08,1,Midwest,22.03,16,5,Clemson,69,14.21,46,12,Villanova,75,,6,-7,12 over 5
405,21-Mar-08,2008,2007-08,1,West,21.46,17,5,Drake,99,14.6,43,12,Western Kentucky,101,1 OT,2,-7,12 over 5
406,21-Mar-08,2008,2007-08,1,Midwest,23.61,11,10,Davidson,82,19.05,25,7,Gonzaga,76,,6,-3,10 over 7
407,21-Mar-08,2008,2007-08,1,East,30.22,3,1,North Carolina,113,-1.32,173,16,Mount St. Mary's,74,,39,15,
408,21-Mar-08,2008,2007-08,1,East,22.17,13,2,Tennessee,72,1.67,150,15,American,57,,15,13,
409,21-Mar-08,2008,2007-08,1,East,25.41,8,3,Louisville,79,3.89,126,14,Boise St.,61,,18,11,
410,21-Mar-08,2008,2007-08,1,East,14.47,44,6,Oklahoma,72,14.32,45,11,Saint Joseph's,64,,8,5,
411,21-Mar-08,2008,2007-08,1,East,19.97,20,7,Butler,81,11.8,65,10,South Alabama,61,,20,3,
412,21-Mar-08,2008,2007-08,1,Midwest,25.56,7,2,Georgetown,66,3.86,127,15,UMBC,47,,19,13,
413,21-Mar-08,2008,2007-08,1,South,31.51,2,1,Memphis,87,-2.31,180,16,UT Arlington,63,,24,15,
414,21-Mar-08,2008,2007-08,1,South,25.09,9,2,Texas,74,-0.3,168,15,Austin Peay,54,,20,13,
415,21-Mar-08,2008,2007-08,1,South,15.38,37,7,Miami FL,78,14.66,42,10,Saint Mary's,64,,14,3,
416,21-Mar-08,2008,2007-08,1,South,16.77,33,8,Mississippi St.,76,15.66,36,9,Oregon,69,,7,1,
417,21-Mar-08,2008,2007-08,1,East,18.43,29,8,Indiana,72,15.19,40,9,Arkansas,86,,14,-1,
418,22-Mar-08,2008,2007-08,2,West,26.4,6,2,Duke,67,21.29,18,7,West Virginia,73,,6,-5,7 over 2
419,22-Mar-08,2008,2007-08,2,East,24.32,10,4,Washington St.,61,19.07,24,5,Notre Dame,41,,20,1,
420,22-Mar-08,2008,2007-08,2,Midwest,35.21,1,1,Kansas,75,13.71,48,8,UNLV,56,,19,7,
421,22-Mar-08,2008,2007-08,2,Midwest,26.68,5,3,Wisconsin,72,18.9,26,11,Kansas St.,55,,17,8,
422,22-Mar-08,2008,2007-08,2,South,22.75,12,3,Stanford,82,22.16,14,6,Marquette,81,1 OT,1,3,
423,22-Mar-08,2008,2007-08,2,West,29.94,4,1,UCLA,53,19.93,21,9,Texas A&M,49,,4,8,
424,22-Mar-08,2008,2007-08,2,West,22.05,15,3,Xavier,85,18.3,30,6,Purdue,78,,7,3,
425,22-Mar-08,2008,2007-08,2,South,21.15,19,5,Michigan St.,65,19.91,22,4,Pittsburgh,54,,11,-1,
426,23-Mar-08,2008,2007-08,2,Midwest,25.56,7,2,Georgetown,70,23.61,11,10,Davidson,74,,4,-8,10 over 2
427,23-Mar-08,2008,2007-08,2,East,30.22,3,1,North Carolina,108,15.19,40,9,Arkansas,77,,31,8,
428,23-Mar-08,2008,2007-08,2,East,22.17,13,2,Tennessee,76,19.97,20,7,Butler,71,1 OT,5,5,
429,23-Mar-08,2008,2007-08,2,East,25.41,8,3,Louisville,78,14.47,44,6,Oklahoma,48,,30,3,
430,23-Mar-08,2008,2007-08,2,Midwest,14.21,46,12,Villanova,84,7.99,93,13,Siena,72,,12,1,
431,23-Mar-08,2008,2007-08,2,South,31.51,2,1,Memphis,77,16.77,33,8,Mississippi St.,74,,3,7,
432,23-Mar-08,2008,2007-08,2,South,25.09,9,2,Texas,75,15.38,37,7,Miami FL,72,,3,5,
433,23-Mar-08,2008,2007-08,2,West,14.6,43,12,Western Kentucky,72,4.64,120,13,San Diego,63,,9,1,
434,27-Mar-08,2008,2007-08,3,East,30.22,3,1,North Carolina,68,24.32,10,4,Washington St.,47,,21,3,
435,27-Mar-08,2008,2007-08,3,West,29.94,4,1,UCLA,88,14.6,43,12,Western Kentucky,78,,10,11,
436,27-Mar-08,2008,2007-08,3,West,22.05,15,3,Xavier,79,21.29,18,7,West Virginia,75,1 OT,4,4,
437,27-Mar-08,2008,2007-08,3,East,25.41,8,3,Louisville,79,22.17,13,2,Tennessee,60,,19,-1,
438,28-Mar-08,2008,2007-08,3,Midwest,26.68,5,3,Wisconsin,56,23.61,11,10,Davidson,73,,17,-7,10 over 3
439,28-Mar-08,2008,2007-08,3,Midwest,35.21,1,1,Kansas,72,14.21,46,12,Villanova,57,,15,11,
