AMAGX,AMANX,BGAFX,BMGAX,DXQLX,ETGLX,FKDNX,MFEGX,NBGEX,NNLEX,NNTWX,OBCHX,PGRTX,PRMTX,PYVLX,ROGSX,RYOCX,SEEKX,SFLNX,SMPIX,SVAAX,TMFGX,UOPIX,WPSGX,AKREX,AMAGX,BGSAX,BPTRX,DXSLX,FNCMX,GOLDX,INPIX,JAGTX,LDVAX,PGTAX,PYVAX,RMQHX,RYOCX,RYVYX,SFLNX,SWPPX,TEPSX,TMFGX,ULPIX,total,inc
456.2720747419387,526.232594105202,866.1630785687864,1075.098863727171,693.1059604551939,1316.7740464574786,932.466183710643,926.4253792954502,1008.4654555375155,1702.5737974959352,1474.7672511318235,3448.096508749804,1344.8226406264794,988.1170449373553,1128.2060044617997,839.1521288742495,925.7651674135551,659.5320191666133,708.7418737124926,752.301785423298,1382.7846026544116,721.9801556928106,762.5212860251308,966.0866737933038,929.0686515126359,497.65016677958357,843.7452713293818,1117.6964052738047,816.5457731729342,823.8965913630914,2143.439875127611,833.664900450463,908.3697977312647,389.2357565451941,758.5062097890321,561.4860351397979,577.1078911605885,877.4184644819417,691.7434974841048,280.6729345570831,607.4136785793094,714.7716047649701,703.7270461091889,830.707438926685,41513.32056703711,0
460.95459063327064,531.4072310396491,876.407696301103,1085.937305963101,713.2411253941086,1332.5634942880522,941.6703089254863,935.7865382989899,1018.2309232078721,1715.1954074363143,1486.7401596201264,3487.38251846902,1353.848269141272,1001.8654894449086,1135.8462928239953,853.0688920760507,939.1107585089177,666.8290729786117,717.3067894979081,786.2347660756991,1392.6793570845584,728.9455940849674,784.4560882858196,976.2078206877356,940.0720473901721,502.7573274919444,856.1771775783234,1126.5789789817225,834.3492693099537,834.6245769836636,2186.4099454141538,847.5153227576596,920.9312589823747,397.67445058007905,769.0493058728516,564.9755218438504,593.7435427175457,890.0671020184045,711.6002588542777,284.0647759832637,614.0247855228271,732.758353330472,710.5163842176087,848.9178864264628,42088.72476252515,0.013860712359996728
466.94383659305254,538.9052469701869,884.999961664828,1095.9421668281773,739.6154711429459,1347.3661695770575,952.7371449841479,949.4555250829178,1035.3205839363907,1742.4311577560977,1509.1245699613814,3535.7340017396073,1370.896690545858,1010.9749156674649,1140.3031718460668,871.1311407338226,956.6708033455897,676.2997867782638,727.5845801362822,821.0702554437196,1392.6793570845584,741.6650191633987,813.5639788091837,994.2812154674766,947.7538680258469,509.2897221217388,867.7982249618967,1140.5643553927475,856.3772980586792,849.3556028080369,2085.304250046404,871.9184837139505,937.9263063539952,409.27768388612907,782.3774345872739,567.1960234073711,616.0863790242817,906.7100997452179,738.1203432681397,288.13494280454273,622.1200623129704,756.0607925372981,722.9142366628221,871.1320717768017,42662.11493275462,0.027672909563146147
466.29045470489854,540.8061573651438,877.0686702955873,1095.9421668281773,737.6303264812403,1335.195182172885,947.915964926985,948.627127322898,1032.5304687773678,1737.1169696449867,1512.2479625822505,3553.866198476863,1364.879568906065,1006.5888257166093,1143.4863825376344,870.242798533022,955.5001575678717,677.2312584222308,729.2975903693966,825.4021203197395,1397.6266022463233,738.3337113856211,811.4848060473947,993.7993319802085,947.7538680258469,508.57708678065535,860.7715502568444,1150.3919571586073,857.5843204205462,848.2347883217307,2036.0154003932716,866.1710396349764,934.7243374131989,406.3241335900437,777.0063672142394,568.7821806888992,614.3863274047818,905.6005891944945,736.0324729942585,288.81332181231335,622.7946824692386,751.9194684792559,719.6671510419071,872.6818543258252,42573.343701232334,0.02553453011506181
462.91465764606346,538.9052469701869,863.5193147790394,1068.4289146079016,733.94355595907,1302.9584155014113,925.2343749847137,934.8753049584491,1025.9039014296256,1731.1383234092145,1508.6040238362423,3556.8884395388236,1353.848269141272,996.8890881672207,1145.3965870605548,870.5389024653102,952.9246461202634,678.7839425732489,734.4364856885835,831.177952192457,1397.6266022463233,730.4598686274511,807.2226256689339,988.2568003428275,932.8056349150388,504.8951477308165,844.5560752808354,1119.2083819211202,857.5843204205462,846.7136907075202,1980.4072615684456,857.0316195886419,926.5962747729149,399.15122572812174,768.0547037857368,569.7338289236865,611.2291552518443,903.1595799848592,732.1677861665444,290.8484052229528,622.7946824692386,748.6435471945636,711.9923748558248,872.4236026258217,42240.87354303026,0.017525771633186395
461.49906243145415,540.0669138042157,852.2833847667098,1047.5855277551248,730.540475255814,1300.6556631217418,913.0718026366318,921.9518719630578,1024.1600125338252,1721.8383008130083,1503.918934904939,3514.580501166275,1351.842490001479,986.9362258179133,1144.7599184357668,869.6506514763175,950.8175267008794,679.870701565951,738.718921017932,836.051293406591,1407.521620783088,730.7625952483662,803.2722139259625,983.6781850857768,917.2346532434435,503.3511759787843,834.2862671408411,1125.823009615118,857.8860988384273,846.5535289858142,1955.1307421380511,852.8858334482985,918.9609340083902,391.55636101282846,761.2911608714787,569.7338289236865,608.4364020141405,901.1625017294725,728.7472344322566,292.5443170005978,622.9295569749697,747.4691806112813,712.2874479392543,872.6818543258252,42036.98688385178,0.012614416521295512
464.00364618624127,545.1359817494146,860.2146761359505,1053.0048535628027,743.8694217823258,1316.7740464574786,917.783399128805,924.7685334296362,1035.6693875610613,1744.4241101626021,1513.2891127675455,3511.558260104314,1374.9081409356506,991.4909090322252,1150.4899360588568,878.8297821654435,959.7145874311211,684.3731511097159,745.1425740119545,854.822774078476,1417.4163752132351,737.4252428758172,818.242037751809,990.9075579382525,915.573769354271,506.08289372414094,841.8534595088906,1139.8084428973027,870.2579486922166,855.6003221263934,1963.9775175661257,866.0767567596661,926.8426357107945,394.72087918720575,765.8664609492575,572.5888065809982,619.6482229139785,909.5949267537811,742.3404458340344,295.08818466706515,627.5168584780413,762.0563630304515,718.7816504421378,885.2096620605168,42413.744704868004,0.021690005172601383
464.3303427482947,546.4032629007247,866.4935490425047,1058.0072211815132,749.5413369662016,1315.4583384107468,926.6587736486794,933.4669742251599,1039.5058397497805,1747.7454865230354,1520.0565600044563,3538.7562428015694,1378.919591325444,1000.0942223267887,1152.4000743655913,879.4219900300201,963.4607446564473,685.770421687777,745.1425740119545,858.6131445593461,1419.8899977941176,741.6650191633987,824.6873137705553,999.341888518555,924.9163883073478,506.43921752213834,847.528894970364,1144.9112266433572,875.3878165575658,858.2422342269101,1945.0202873074247,874.0855181502138,933.985334960853,399.78415045978505,770.0439079599665,573.2233485806887,624.3434588621616,913.1454465141398,748.1153676223357,295.08818466706515,629.4057894127563,764.5905634894744,722.9142366628221,890.6340501255995,42597.636333415634,0.02611970691738654
463.7858709501112,546.1920455981702,866.1630785687864,1052.5880210014907,744.7201777066668,1305.260998011475,921.1801915620549,931.7272843878626,1037.2388377223688,1744.4241101626021,1516.9331094485703,3568.9764665607845,1380.9252625754436,998.2385688860421,1149.8533998664404,876.7570850433624,960.1827884348639,686.2992380645505,745.5707814435148,849.0469422057587,1412.4691300514703,738.6365662941178,819.3855415097241,998.37794723725915,921.8022390375025,505.84536903529846,843.4749850409256,1137.9184815666852,874.1807333225939,856.320861841786,1903.3141513259864,868.9976579726,931.276114682914,397.4634827017872,768.6514324187432,571.9544952519556,620.4982487237285,910.0386766595165,743.2733495381282,295.25776154811723,629.135944101667,757.8532350846104,719.9623491695503,889.600758007583,42461.75377032517,0.022846478921301924
462.47909593785056,540.5949060665645,866.8240525632705,1053.8386443130823,737.3467221711628,1308.2214855057864,922.275839531052,928.3307486847514,1041.249673262344,1741.102663474255,1514.8509249480135,3547.8223411701965,1382.9309338254438,996.0455239106144,1147.3065929349177,873.499972192128,955.2659615537594,685.6772051000586,743.8578614638376,840.5636203002557,1414.9424885257351,737.4252428758172,810.9651036312989,991.871524120514,918.6880041958868,504.4200860982204,843.7452713293818,1139.6194031630184,868.7492087855734,854.0791660132498,1927.3266090000002,863.815505485728,931.5223952595002,395.14283604057715,764.4739854080342,571.0027811112687,614.1839611462108,905.3786237173701,735.4994125807456,294.579418282128,627.1121386612205,755.5044462889841,718.7816504421378,883.7889988769952,42362.70302994894,0.020460479944990676
