TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
2/3/2020,Dividend,MF,PONAX,0,4.88,0,0,PIMCO INCOME A                PIMCO
2/3/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37189945482;
2/10/2020,Sold,MF,GOLDX,-156.858,2548.94,16.25,0,GABELLI GOLD AAA              GABELLI                       
2/10/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:37633643482;
2/11/2020,Bought,MF,ULPIX,11.777,-1000,84.91,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
2/11/2020,Direct Debit,UNKNOWN, ,0,-577.7,0,0,ACHDEBIT                      CHASE CREDIT CRD              
2/18/2020,Bought,MF,BPTRX,11.355,-1000,88.07,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
2/18/2020,Bought,MF,ROGSX,30.404,-1000,32.89,0,RED OAK TECHNOLOGY SELECT     OAK ASSOCIATES                
2/18/2020,Sold,MF,GABSX,-42.922,2046.95,47.69,0,GABELLI SMALL CAP GROWTH AAA  GABELLI                       
2/18/2020,Sold,MF,OBCHX,-238.196,3091.79,12.98,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
2/18/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:38091222482;
2/19/2020,Bought,MF,BMGAX,34.364,-1000,29.1,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
2/19/2020,Bought,MF,DXSLX,27.595,-1000,36.2388,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
2/19/2020,Bought,MF,FKDNX,10.011,-1000,99.89,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
2/19/2020,Bought,MF,MFEGX,7.613,-1000,131.36,0,MFS GROWTH A                  MFS                           
2/19/2020,Bought,MF,PGTAX,20.387,-1000,49.05,0,PUTNAM GLOBAL TECHNOLOGY A    PUTNAM                        
2/20/2020,Fee,UNKNOWN, ,0,-49.99,0,0,Early Redemption Fee - GABSX
2/21/2020,Bought,MF,BMGAX,3.519,-100,28.42,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
2/21/2020,Bought,MF,BPTRX,1.118,-100,89.47,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
2/21/2020,Bought,MF,DXSLX,2.838,-100,35.2409,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
2/21/2020,Bought,MF,FKDNX,1.029,-100,97.17,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
2/21/2020,Bought,MF,JAGTX,2.397,-100,41.72,0,JANUS HENDERSON GLB TECH AND IJANUS HENDERSON               
2/21/2020,Bought,MF,MFEGX,0.778,-100,128.53,0,MFS GROWTH A                  MFS                           
2/21/2020,Bought,MF,PRMTX,0.735,-100,136.04,0,T. ROWE PRICE COMM & TECH INVET. ROWE PRICE                 
2/21/2020,Bought,MF,ULPIX,1.192,-100,83.91,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
2/24/2020,Bought,MF,BMGAX,3.993,-110.21,27.6,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
2/24/2020,Bought,MF,BPTRX,6.484,-550,84.83,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
2/24/2020,Bought,MF,RMQHX,0.804,-160.79,200.02,0,RYDEX MONTHLY RBL NASDAQ-100????Rydex Funds                 
2/24/2020,Bought,MF,RYOCX,8.445,-390,46.18,0,RYDEX NASDAQ-100?? INV         Rydex Funds                  
2/24/2020,Contribution,EQ, ,0,0,0,0,$ 1000.00 CONTRIBUTION 2020             REFID:38461214482;
2/24/2020,Contribution,UNKNOWN, ,0,1000,0,0,ACH DEPOSIT                   REFID:38461214482;
2/24/2020,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
