GameN,Date,Year,Round,Region,F.Seed,F.Team,F.Conf,F.Score,F.AdjEM,U.Seed,U.Team,U.Conf,U.Score,U.AdjEM,Overtime,W.Team,Result,Score.D
,18-Mar-05,2005,1,South,4,Syracuse,BE,57,20.98,13,Vermont,AE,60,13.53,1 OT,Vermont,U,-3
,18-Mar-05,2005,1,South,1,Duke,ACC,57,27.41,16,Delaware St.,MEAC,46,-4.95,,Duke,F,11
,18-Mar-05,2005,1,South,5,Michigan St.,B10,89,25.67,12,Old Dominion,CAA,81,10.04,,Michigan St.,F,8
,18-Mar-05,2005,1,South,9,Mississippi St.,SEC,93,15.25,8,Stanford,P10,70,10.63,,Mississippi St.,F,23
,17-Mar-05,2005,1,West,1,Washington,P10,88,22.18,16,Montana,BSky,77,-2.73,,Washington,F,11
,17-Mar-05,2005,1,West,2,Wake Forest,ACC,70,24.86,15,Chattanooga,SC,54,0.03,,Wake Forest,F,16
,17-Mar-05,2005,1,West,3,Gonzaga,WCC,74,17.88,14,Winthrop,BSth,64,4.97,,Gonzaga,F,10
,17-Mar-05,2005,1,West,6,Texas Tech,B12,78,15.47,11,UCLA,P10,66,10.74,,Texas Tech,F,12
,17-Mar-05,2005,1,West,7,West Virginia,BE,63,15,10,Creighton,MVC,61,14.33,,West Virginia,F,2
,17-Mar-05,2005,1,West,9,Pittsburgh,BE,71,18.41,8,Pacific,BW,79,14.08,,Pacific,U,-8
,18-Mar-05,2005,1,West,4,Louisville,CUSA,68,25.78,13,Lafayette,Pat,62,-12.19,,Louisville,F,6
,18-Mar-05,2005,1,West,5,Georgia Tech,ACC,80,19.23,12,George Washington,A10,68,14.41,,Georgia Tech,F,12
,20-Mar-05,2005,2,East,2,Connecticut,BE,62,21.94,10,North Carolina St.,ACC,65,18.93,,North Carolina St.,U,-3
,20-Mar-05,2005,2,East,1,North Carolina,ACC,92,32.77,9,Iowa St.,B12,65,13.02,,North Carolina,F,27
,20-Mar-05,2005,2,East,6,Wisconsin,B10,71,20.81,14,Bucknell,Pat,62,6.69,,Wisconsin,F,9
,20-Mar-05,2005,2,East,5,Villanova,BE,76,25.02,4,Florida,SEC,65,23.93,,Villanova,F,11
,19-Mar-05,2005,2,Midwest,4,Boston College,BE,75,18.3,12,Milwaukee,Horz,83,14.69,,Milwaukee,U,-8
,19-Mar-05,2005,2,Midwest,1,Illinois,B10,71,32.68,9,Nevada,WAC,59,12.11,,Illinois,F,12
,19-Mar-05,2005,2,Midwest,3,Arizona,P10,85,22.22,11,UAB,CUSA,63,12.51,,Arizona,F,22
,20-Mar-05,2005,2,Midwest,2,Oklahoma St.,B12,85,25.02,7,Southern Illinois,MVC,77,16.75,,Oklahoma St.,F,8
,19-Mar-05,2005,2,South,2,Kentucky,SEC,69,24.1,7,Cincinnati,CUSA,60,20.43,,Kentucky,F,9
,19-Mar-05,2005,2,South,3,Oklahoma,B12,58,22.55,6,Utah,MWC,67,20.33,,Utah,U,-9
,20-Mar-05,2005,2,South,1,Duke,ACC,63,27.41,9,Mississippi St.,SEC,55,15.25,,Duke,F,8
,20-Mar-05,2005,2,South,5,Michigan St.,B10,72,25.67,13,Vermont,AE,61,13.53,,Michigan St.,F,11
,19-Mar-05,2005,2,West,2,Wake Forest,ACC,105,24.86,7,West Virginia,BE,111,15,2 OT,West Virginia,U,-6
,19-Mar-05,2005,2,West,1,Washington,P10,97,22.18,8,Pacific,BW,79,14.08,,Washington,F,18
,19-Mar-05,2005,2,West,3,Gonzaga,WCC,69,17.88,6,Texas Tech,B12,71,15.47,,Texas Tech,U,-2
,20-Mar-05,2005,2,West,4,Louisville,CUSA,76,25.78,5,Georgia Tech,ACC,54,19.23,,Louisville,F,22
,25-Mar-05,2005,3,East,1,North Carolina,ACC,67,32.77,5,Villanova,BE,66,25.02,,North Carolina,F,1
,25-Mar-05,2005,3,East,6,Wisconsin,B10,65,20.81,10,North Carolina St.,ACC,56,18.93,,Wisconsin,F,9
,24-Mar-05,2005,3,Midwest,1,Illinois,B10,77,32.68,12,Milwaukee,Horz,63,14.69,,Illinois,F,14
,24-Mar-05,2005,3,Midwest,2,Oklahoma St.,B12,78,25.02,3,Arizona,P10,79,22.22,,Arizona,U,-1
,25-Mar-05,2005,3,South,1,Duke,ACC,68,27.41,5,Michigan St.,B10,78,25.67,,Michigan St.,U,-10
,25-Mar-05,2005,3,South,2,Kentucky,SEC,62,24.1,6,Utah,MWC,52,20.33,,Kentucky,F,10
,24-Mar-05,2005,3,West,4,Louisville,CUSA,93,25.78,1,Washington,P10,79,22.18,,Louisville,F,14
,24-Mar-05,2005,3,West,6,Texas Tech,B12,60,15.47,7,West Virginia,BE,65,15,,West Virginia,U,-5
,27-Mar-05,2005,4,East,1,North Carolina,ACC,88,32.77,6,Wisconsin,B10,82,20.81,,North Carolina,F,6
,26-Mar-05,2005,4,Midwest,1,Illinois,B10,90,32.68,3,Arizona,P10,89,22.22,1 OT,Illinois,F,1
,27-Mar-05,2005,4,South,5,Michigan St.,B10,94,25.67,2,Kentucky,SEC,88,24.1,2 OT,Michigan St.,F,6
,26-Mar-05,2005,4,West,4,Louisville,CUSA,93,25.78,7,West Virginia,BE,85,15,1 OT,Louisville,F,8
,02-Apr-05,2005,5,Final Four,1,North Carolina,ACC,87,32.77,5,Michigan St.,B10,71,25.67,,North Carolina,F,16
,02-Apr-05,2005,5,Final Four,1,Illinois,B10,72,32.68,4,Louisville,CUSA,57,25.78,,Illinois,F,15
,04-Apr-05,2005,6,Championship,1,North Carolina,ACC,75,32.77,1,Illinois,B10,70,32.68,,North Carolina,F,5
,15-Mar-05,2005,PI,East,16,Oakland,MCon,79,-1.2,16,Alabama A&M,SWAC,69,-12.49,,Oakland,F,10
,16-Mar-06,2006,1,East,2,Tennessee,SEC,63,19.44,15,Winthrop,BSth,61,10.27,,Tennessee,F,2
,16-Mar-06,2006,1,East,4,Illinois,B10,78,23.2,13,Air Force,MWC,69,14.87,,Illinois,F,9
,16-Mar-06,2006,1,East,5,Washington,P10,75,20.09,12,Utah St.,BW,61,10.86,,Washington,F,14
,16-Mar-06,2006,1,East,7,Wichita St.,MVC,86,16.06,10,Seton Hall,BE,66,9.06,,Wichita St.,F,20
,17-Mar-06,2006,1,East,11,George Mason,CAA,75,18.16,6,Michigan St.,B10,65,16.02,,George Mason,F,10
,17-Mar-06,2006,1,East,1,Connecticut,BE,72,25.44,16,Albany,AE,59,2.63,,Connecticut,F,13
,17-Mar-06,2006,1,East,3,North Carolina,ACC,69,22.16,14,Murray St.,OVC,65,8.56,,North Carolina,F,4
,17-Mar-06,2006,1,East,8,Kentucky,SEC,69,17.13,9,UAB,CUSA,64,12.65,,Kentucky,F,5
,16-Mar-06,2006,1,Midwest,5,Nevada,WAC,79,15.22,12,Montana,BSky,87,8.95,,Montana,U,-8
,16-Mar-06,2006,1,Midwest,6,Oklahoma,B12,74,13.99,11,Milwaukee,Horz,82,11.86,,Milwaukee,U,-8
,16-Mar-06,2006,1,Midwest,3,Florida,SEC,76,28.28,14,South Alabama,SB,50,9.28,,Florida,F,26
,16-Mar-06,2006,1,Midwest,4,Boston College,BE,88,18.65,13,Pacific,BW,76,10.87,2 OT,Boston College,F,12
,17-Mar-06,2006,1,Midwest,1,Villanova,BE,58,24.59,16,Monmouth,NEC,45,-0.68,,Villanova,F,13
,17-Mar-06,2006,1,Midwest,2,Ohio St.,B10,70,20.68,15,Davidson,SC,62,4.86,,Ohio St.,F,8
,17-Mar-06,2006,1,Midwest,7,Georgetown,BE,54,21.29,10,Northern Iowa,MVC,49,15.84,,Georgetown,F,5
,17-Mar-06,2006,1,Midwest,8,Arizona,P10,94,17.23,9,Wisconsin,B10,75,14.94,,Arizona,F,19
,16-Mar-06,2006,1,South,12,Texas A&M,B12,66,15.9,5,Syracuse,BE,58,13.15,,Texas A&M,F,8
,16-Mar-06,2006,1,South,1,Duke,ACC,70,27.54,16,Southern,SWAC,54,-3.4,,Duke,F,16
,16-Mar-06,2006,1,South,4,LSU,SEC,80,22,13,Iona,MAAC,64,11.33,,LSU,F,16
,16-Mar-06,2006,1,South,9,UNC Wilmington,CAA,85,14.77,8,George Washington,A10,88,14.67,1 OT,George Washington,U,-3
,17-Mar-06,2006,1,South,3,Iowa,B10,63,18.22,14,Northwestern St.,Slnd,64,7.51,,Northwestern St.,U,-1
,17-Mar-06,2006,1,South,10,North Carolina St.,ACC,58,15.92,7,California,P10,52,13.68,,North Carolina St.,F,6
,17-Mar-06,2006,1,South,2,Texas,B12,60,25.79,15,Penn,Ivy,52,7.3,,Texas,F,8
,17-Mar-06,2006,1,South,6,West Virginia,BE,64,19.49,11,Southern Illinois,MVC,46,13.6,,West Virginia,F,18
,16-Mar-06,2006,1,West,7,Marquette,CUSA,85,15.36,10,Alabama,SEC,90,12.48,,Alabama,U,-5
,16-Mar-06,2006,1,West,2,UCLA,P10,78,23.4,15,Belmont,ASun,44,-0.73,,UCLA,F,34
,16-Mar-06,2006,1,West,3,Gonzaga,WCC,79,15.64,14,Xavier,A10,75,12.73,,Gonzaga,F,4
,16-Mar-06,2006,1,West,6,Indiana,B10,87,15.53,11,San Diego St.,MWC,83,12.78,,Indiana,F,4
,17-Mar-06,2006,1,West,4,Kansas,B12,73,23.22,13,Bradley,MVC,77,16.5,,Bradley,U,-4
,17-Mar-06,2006,1,West,1,Memphis,CUSA,94,23.54,16,Oral Roberts,MCon,78,5.7,,Memphis,F,16
,17-Mar-06,2006,1,West,5,Pittsburgh,BE,79,21.72,12,Kent St.,MAC,64,10.54,,Pittsburgh,F,15
,17-Mar-06,2006,1,West,8,Arkansas,SEC,55,18.47,9,Bucknell,Pat,59,12.56,,Bucknell,U,-4
,18-Mar-06,2006,2,East,2,Tennessee,SEC,73,19.44,7,Wichita St.,MVC,80,16.06,,Wichita St.,U,-7
,18-Mar-06,2006,2,East,4,Illinois,B10,64,23.2,5,Washington,P10,67,20.09,,Washington,U,-3
,19-Mar-06,2006,2,East,3,North Carolina,ACC,60,22.16,11,George Mason,CAA,65,18.16,,George Mason,U,-5
,19-Mar-06,2006,2,East,1,Connecticut,BE,87,25.44,8,Kentucky,SEC,83,17.13,,Connecticut,F,4
,18-Mar-06,2006,2,Midwest,3,Florida,SEC,82,28.28,11,Milwaukee,Horz,60,11.86,,Florida,F,22
,18-Mar-06,2006,2,Midwest,4,Boston College,BE,69,18.65,12,Montana,BSky,56,8.95,,Boston College,F,13
,19-Mar-06,2006,2,Midwest,7,Georgetown,BE,70,21.29,2,Ohio St.,B10,52,20.68,,Georgetown,F,18
,19-Mar-06,2006,2,Midwest,1,Villanova,BE,82,24.59,8,Arizona,P10,78,17.23,,Villanova,F,4
,18-Mar-06,2006,2,South,1,Duke,ACC,74,27.54,8,George Washington,A10,61,14.67,,Duke,F,13
,18-Mar-06,2006,2,South,4,LSU,SEC,58,22,12,Texas A&M,B12,57,15.9,,LSU,F,1
,19-Mar-06,2006,2,South,2,Texas,B12,75,25.79,10,North Carolina St.,ACC,54,15.92,,Texas,F,21
,19-Mar-06,2006,2,South,6,West Virginia,BE,67,19.49,14,Northwestern St.,Slnd,54,7.51,,West Virginia,F,13
,18-Mar-06,2006,2,West,2,UCLA,P10,62,23.4,10,Alabama,SEC,59,12.48,,UCLA,F,3
,18-Mar-06,2006,2,West,3,Gonzaga,WCC,90,15.64,6,Indiana,B10,80,15.53,,Gonzaga,F,10
,19-Mar-06,2006,2,West,5,Pittsburgh,BE,66,21.72,13,Bradley,MVC,72,16.5,,Bradley,U,-6
,19-Mar-06,2006,2,West,1,Memphis,CUSA,72,23.54,9,Bucknell,Pat,56,12.56,,Memphis,F,16
,24-Mar-06,2006,3,East,11,George Mason,CAA,63,18.16,7,Wichita St.,MVC,55,16.06,,George Mason,F,8
,24-Mar-06,2006,3,East,1,Connecticut,BE,98,25.44,5,Washington,P10,92,20.09,1 OT,Connecticut,F,6
,24-Mar-06,2006,3,Midwest,1,Villanova,BE,60,24.59,4,Boston College,BE,59,18.65,1 OT,Villanova,F,1
,24-Mar-06,2006,3,Midwest,3,Florida,SEC,57,28.28,7,Georgetown,BE,53,21.29,,Florida,F,4
,23-Mar-06,2006,3,South,1,Duke,ACC,54,27.54,4,LSU,SEC,62,22,,LSU,U,-8
,23-Mar-06,2006,3,South,2,Texas,B12,74,25.79,6,West Virginia,BE,71,19.49,,Texas,F,3
,23-Mar-06,2006,3,West,1,Memphis,CUSA,80,23.54,13,Bradley,MVC,64,16.5,,Memphis,F,16
,23-Mar-06,2006,3,West,2,UCLA,P10,73,23.4,3,Gonzaga,WCC,71,15.64,,UCLA,F,2
,26-Mar-06,2006,4,East,1,Connecticut,BE,84,25.44,11,George Mason,CAA,86,18.16,1 OT,George Mason,U,-2
,26-Mar-06,2006,4,Midwest,3,Florida,SEC,75,28.28,1,Villanova,BE,62,24.59,,Florida,F,13
,25-Mar-06,2006,4,South,2,Texas,B12,60,25.79,4,LSU,SEC,70,22,1 OT,LSU,U,-10
,25-Mar-06,2006,4,West,1,Memphis,CUSA,45,23.54,2,UCLA,P10,50,23.4,,UCLA,U,-5
,01-Apr-06,2006,5,Final Four,2,UCLA,P10,59,23.4,4,LSU,SEC,45,22,,UCLA,F,14
,01-Apr-06,2006,5,Final Four,3,Florida,SEC,73,28.28,11,George Mason,CAA,58,18.16,,Florida,F,15
,03-Apr-06,2006,6,Championship,3,Florida,SEC,73,28.28,2,UCLA,P10,57,23.4,,Florida,F,16
,14-Mar-06,2006,PI,Midwest,16,Monmouth,NEC,71,-0.68,16,Hampton,MEAC,49,-10.4,,Monmouth,F,22
,15-Mar-07,2007,1,East,1,North Carolina,ACC,86,31.37,16,Eastern Kentucky,OVC,65,-2.58,,North Carolina,F,21
,15-Mar-07,2007,1,East,2,Georgetown,BE,80,28.48,15,Belmont,ASun,55,4.38,,Georgetown,F,25
,15-Mar-07,2007,1,East,3,Washington St.,P10,70,18.87,14,Oral Roberts,MCon,54,8.36,,Washington St.,F,16
,15-Mar-07,2007,1,East,6,Vanderbilt,SEC,77,16.23,11,George Washington,A10,44,7.28,,Vanderbilt,F,33
,15-Mar-07,2007,1,East,7,Boston College,BE,84,16.18,10,Texas Tech,B12,75,10.98,,Boston College,F,9
,15-Mar-07,2007,1,East,9,Michigan St.,B10,61,20.97,8,Marquette,CUSA,49,17.18,,Michigan St.,F,12
,16-Mar-07,2007,1,East,4,Texas,B12,79,19.24,13,New Mexico St.,SB,67,7.27,,Texas,F,12
,16-Mar-07,2007,1,East,5,USC,P10,77,16.86,12,Arkansas,SEC,60,16.62,,USC,F,17
,15-Mar-07,2007,1,Midwest,4,Maryland,ACC,82,22.42,13,Davidson,SC,70,13.32,,Maryland,F,12
,15-Mar-07,2007,1,Midwest,5,Butler,Horz,57,21.45,12,Old Dominion,CAA,46,12.7,,Butler,F,11
,16-Mar-07,2007,1,Midwest,6,Notre Dame,BE,64,20.02,11,Winthrop,BSth,74,14.81,,Winthrop,U,-10
,16-Mar-07,2007,1,Midwest,1,Florida,SEC,112,30.81,16,Jackson St.,SWAC,69,-9.48,,Florida,F,43
,16-Mar-07,2007,1,Midwest,2,Wisconsin,B10,76,25.45,15,Texas A&M Corpus Chris,ind,63,7.76,,Wisconsin,F,13
,16-Mar-07,2007,1,Midwest,3,Oregon,P10,58,20.76,14,Miami OH,MAC,56,8.38,,Oregon,F,2
,16-Mar-07,2007,1,Midwest,10,Georgia Tech,ACC,63,19.61,7,UNLV,MWC,67,16.83,,UNLV,U,-4
,16-Mar-07,2007,1,Midwest,8,Arizona,P10,63,19.43,9,Purdue,B10,72,18.31,,Purdue,U,-9
,15-Mar-07,2007,1,South,1,Ohio St.,B10,78,29.33,16,Central Connecticut,NEC,57,-2.24,,Ohio St.,F,21
,15-Mar-07,2007,1,South,3,Texas A&M,B12,68,26.97,14,Penn,Ivy,52,7.69,,Texas A&M,F,16
,15-Mar-07,2007,1,South,6,Louisville,CUSA,78,20.35,11,Stanford,P10,58,12.37,,Louisville,F,20
,15-Mar-07,2007,1,South,9,Xavier,A10,79,18.13,8,BYU,MWC,77,16.11,,Xavier,F,2
,16-Mar-07,2007,1,South,2,Memphis,CUSA,73,24.81,15,North Texas,SB,58,-0.98,,Memphis,F,15
,16-Mar-07,2007,1,South,4,Virginia,ACC,84,15.43,13,Albany,AE,57,2.25,,Virginia,F,27
,16-Mar-07,2007,1,South,5,Tennessee,SEC,121,18.29,12,Long Beach St.,BW,86,5.44,,Tennessee,F,35
,16-Mar-07,2007,1,South,10,Creighton,MVC,71,18.53,7,Nevada,WAC,77,16.09,1 OT,Nevada,U,-6
,15-Mar-07,2007,1,West,6,Duke,ACC,77,23.3,11,VCU,CAA,79,14.55,,VCU,U,-2
,15-Mar-07,2007,1,West,2,UCLA,P10,70,27.15,15,Weber St.,BSky,42,-2.71,,UCLA,F,28
,15-Mar-07,2007,1,West,3,Pittsburgh,BE,79,22.9,14,Wright St.,Horz,58,6.66,,Pittsburgh,F,21
,15-Mar-07,2007,1,West,7,Indiana,B10,70,21.58,10,Gonzaga,WCC,57,15.31,,Indiana,F,13
,16-Mar-07,2007,1,West,1,Kansas,B12,107,27.81,16,Niagara,MAAC,67,-2.76,,Kansas,F,40
,16-Mar-07,2007,1,West,4,Southern Illinois,MVC,61,21.03,13,Holy Cross,Pat,51,7.4,,Southern Illinois,F,10
,16-Mar-07,2007,1,West,12,Illinois,B10,52,17.5,5,Virginia Tech,BE,54,17.38,,Virginia Tech,U,-2
,16-Mar-07,2007,1,West,8,Kentucky,SEC,67,21.73,9,Villanova,BE,58,20.11,,Kentucky,F,9
,17-Mar-07,2007,2,East,3,Washington St.,P10,74,18.87,6,Vanderbilt,SEC,78,16.23,2 OT,Vanderbilt,U,-4
,17-Mar-07,2007,2,East,1,North Carolina,ACC,81,31.37,9,Michigan St.,B10,67,20.97,,North Carolina,F,14
,17-Mar-07,2007,2,East,2,Georgetown,BE,62,28.48,7,Boston College,BE,55,16.18,,Georgetown,F,7
,18-Mar-07,2007,2,East,4,Texas,B12,68,19.24,5,USC,P10,87,16.86,,USC,U,-19
,17-Mar-07,2007,2,Midwest,4,Maryland,ACC,59,22.42,5,Butler,Horz,62,21.45,,Butler,U,-3
,18-Mar-07,2007,2,Midwest,2,Wisconsin,B10,68,25.45,7,UNLV,MWC,74,16.83,,UNLV,U,-6
,18-Mar-07,2007,2,Midwest,1,Florida,SEC,74,30.81,9,Purdue,B10,67,18.31,,Florida,F,7
,18-Mar-07,2007,2,Midwest,3,Oregon,P10,75,20.76,11,Winthrop,BSth,61,14.81,,Oregon,F,14
,17-Mar-07,2007,2,South,1,Ohio St.,B10,78,29.33,9,Xavier,A10,71,18.13,1 OT,Ohio St.,F,7
,17-Mar-07,2007,2,South,3,Texas A&M,B12,72,26.97,6,Louisville,CUSA,69,20.35,,Texas A&M,F,3
,18-Mar-07,2007,2,South,2,Memphis,CUSA,78,24.81,7,Nevada,WAC,62,16.09,,Memphis,F,16
,18-Mar-07,2007,2,South,5,Tennessee,SEC,77,18.29,4,Virginia,ACC,74,15.43,,Tennessee,F,3
,17-Mar-07,2007,2,West,2,UCLA,P10,54,27.15,7,Indiana,B10,49,21.58,,UCLA,F,5
,17-Mar-07,2007,2,West,3,Pittsburgh,BE,84,22.9,11,VCU,CAA,79,14.55,1 OT,Pittsburgh,F,5
,18-Mar-07,2007,2,West,1,Kansas,B12,88,27.81,8,Kentucky,SEC,76,21.73,,Kansas,F,12
,18-Mar-07,2007,2,West,4,Southern Illinois,MVC,63,21.03,5,Virginia Tech,BE,48,17.38,,Southern Illinois,F,15
,23-Mar-07,2007,3,East,1,North Carolina,ACC,74,31.37,5,USC,P10,64,16.86,,North Carolina,F,10
,23-Mar-07,2007,3,East,2,Georgetown,BE,66,28.48,6,Vanderbilt,SEC,65,16.23,,Georgetown,F,1
,23-Mar-07,2007,3,Midwest,1,Florida,SEC,65,30.81,5,Butler,Horz,57,21.45,,Florida,F,8
,23-Mar-07,2007,3,Midwest,3,Oregon,P10,76,20.76,7,UNLV,MWC,72,16.83,,Oregon,F,4
,22-Mar-07,2007,3,South,1,Ohio St.,B10,85,29.33,5,Tennessee,SEC,84,18.29,,Ohio St.,F,1
,22-Mar-07,2007,3,South,3,Texas A&M,B12,64,26.97,2,Memphis,CUSA,65,24.81,,Memphis,U,-1
,22-Mar-07,2007,3,West,1,Kansas,B12,61,27.81,4,Southern Illinois,MVC,58,21.03,,Kansas,F,3
,22-Mar-07,2007,3,West,2,UCLA,P10,64,27.15,3,Pittsburgh,BE,55,22.9,,UCLA,F,9
,25-Mar-07,2007,4,East,1,North Carolina,ACC,84,31.37,2,Georgetown,BE,96,28.48,1 OT,Georgetown,U,-12
,25-Mar-07,2007,4,Midwest,1,Florida,SEC,85,30.81,3,Oregon,P10,77,20.76,,Florida,F,8
,24-Mar-07,2007,4,South,1,Ohio St.,B10,92,29.33,2,Memphis,CUSA,76,24.81,,Ohio St.,F,16
,24-Mar-07,2007,4,West,1,Kansas,B12,55,27.81,2,UCLA,P10,68,27.15,,UCLA,U,-13
,31-Mar-07,2007,5,Final Four,1,Florida,SEC,76,30.81,2,UCLA,P10,66,27.15,,Florida,F,10
,31-Mar-07,2007,5,Final Four,1,Ohio St.,B10,67,29.33,2,Georgetown,BE,60,28.48,,Ohio St.,F,7
,02-Apr-07,2007,6,Championship,1,Florida,SEC,84,30.81,1,Ohio St.,B10,75,29.33,,Florida,F,9
,13-Mar-07,2007,PI,West,16,Niagara,MAAC,77,-2.76,16,Florida A&M,MEAC,69,-9.57,,Niagara,F,8
,20-Mar-08,2008,1,East,4,Washington St.,P10,71,24.32,13,Winthrop,BSth,40,6.38,,Washington St.,F,31
,20-Mar-08,2008,1,East,5,Notre Dame,BE,68,19.07,12,George Mason,CAA,50,9.68,,Notre Dame,F,18
,21-Mar-08,2008,1,East,1,North Carolina,ACC,113,30.22,16,Mount St. Mary's,NEC,74,-1.32,,North Carolina,F,39
,21-Mar-08,2008,1,East,2,Tennessee,SEC,72,22.17,15,American,Pat,57,1.67,,Tennessee,F,15
,21-Mar-08,2008,1,East,3,Louisville,CUSA,79,25.41,14,Boise St.,WAC,61,3.89,,Louisville,F,18
,21-Mar-08,2008,1,East,6,Oklahoma,B12,72,14.47,11,Saint Joseph's,A10,64,14.32,,Oklahoma,F,8
,21-Mar-08,2008,1,East,7,Butler,Horz,81,19.97,10,South Alabama,SB,61,11.8,,Butler,F,20
,21-Mar-08,2008,1,East,8,Indiana,B10,72,18.43,9,Arkansas,SEC,86,15.19,,Arkansas,U,-14
,20-Mar-08,2008,1,Midwest,11,Kansas St.,B12,80,18.9,6,USC,P10,67,18.67,,Kansas St.,F,13
,20-Mar-08,2008,1,Midwest,1,Kansas,B12,85,35.21,16,Portland St.,BSky,61,5.4,,Kansas,F,24
,20-Mar-08,2008,1,Midwest,3,Wisconsin,B10,71,26.68,14,Cal St. Fullerton,BW,56,8.47,,Wisconsin,F,15
,20-Mar-08,2008,1,Midwest,8,UNLV,MWC,71,13.71,9,Kent St.,MAC,58,13.04,,UNLV,F,13
,21-Mar-08,2008,1,Midwest,4,Vanderbilt,SEC,62,12.65,13,Siena,MAAC,83,7.99,,Siena,U,-21
,21-Mar-08,2008,1,Midwest,5,Clemson,ACC,69,22.03,12,Villanova,BE,75,14.21,,Villanova,U,-6
,21-Mar-08,2008,1,Midwest,10,Davidson,SC,82,23.61,7,Gonzaga,WCC,76,19.05,,Davidson,F,6
,21-Mar-08,2008,1,Midwest,2,Georgetown,BE,66,25.56,15,UMBC,NEC,47,3.86,,Georgetown,F,19
,20-Mar-08,2008,1,South,3,Stanford,P10,77,22.75,14,Cornell,Ivy,53,4.41,,Stanford,F,24
,20-Mar-08,2008,1,South,4,Pittsburgh,BE,82,19.91,13,Oral Roberts,MCon,63,10.27,,Pittsburgh,F,19
,20-Mar-08,2008,1,South,5,Michigan St.,B10,72,21.15,12,Temple,A10,61,12.37,,Michigan St.,F,11
,20-Mar-08,2008,1,South,6,Marquette,CUSA,74,22.16,11,Kentucky,SEC,66,10.01,,Marquette,F,8
,21-Mar-08,2008,1,South,1,Memphis,CUSA,87,31.51,16,UT Arlington,Slnd,63,-2.31,,Memphis,F,24
,21-Mar-08,2008,1,South,2,Texas,B12,74,25.09,15,Austin Peay,OVC,54,-0.3,,Texas,F,20
,21-Mar-08,2008,1,South,7,Miami FL,BE,78,15.38,10,Saint Mary's,WCC,64,14.66,,Miami FL,F,14
,21-Mar-08,2008,1,South,8,Mississippi St.,SEC,76,16.77,9,Oregon,P10,69,15.66,,Mississippi St.,F,7
,20-Mar-08,2008,1,West,1,UCLA,P10,70,29.94,16,Mississippi Valley St.,SWAC,29,-15.21,,UCLA,F,41
,20-Mar-08,2008,1,West,2,Duke,ACC,71,26.4,15,Belmont,ASun,70,3.53,,Duke,F,1
,20-Mar-08,2008,1,West,3,Xavier,A10,73,22.05,14,Georgia,SEC,61,8.08,,Xavier,F,12
,20-Mar-08,2008,1,West,6,Purdue,B10,90,18.3,11,Baylor,B12,79,14.82,,Purdue,F,11
,20-Mar-08,2008,1,West,7,West Virginia,BE,75,21.29,10,Arizona,P10,65,19.14,,West Virginia,F,10
,20-Mar-08,2008,1,West,9,Texas A&M,B12,67,19.93,8,BYU,MWC,62,15.76,,Texas A&M,F,5
,21-Mar-08,2008,1,West,4,Connecticut,BE,69,18.9,13,San Diego,WCC,70,4.64,1 OT,San Diego,U,-1
,21-Mar-08,2008,1,West,5,Drake,MVC,99,21.46,12,Western Kentucky,SB,101,14.6,1 OT,Western Kentucky,U,-2
,22-Mar-08,2008,2,East,4,Washington St.,P10,61,24.32,5,Notre Dame,BE,41,19.07,,Washington St.,F,20
,23-Mar-08,2008,2,East,1,North Carolina,ACC,108,30.22,9,Arkansas,SEC,77,15.19,,North Carolina,F,31
,23-Mar-08,2008,2,East,2,Tennessee,SEC,76,22.17,7,Butler,Horz,71,19.97,1 OT,Tennessee,F,5
,23-Mar-08,2008,2,East,3,Louisville,CUSA,78,25.41,6,Oklahoma,B12,48,14.47,,Louisville,F,30
,22-Mar-08,2008,2,Midwest,1,Kansas,B12,75,35.21,8,UNLV,MWC,56,13.71,,Kansas,F,19
,22-Mar-08,2008,2,Midwest,3,Wisconsin,B10,72,26.68,11,Kansas St.,B12,55,18.9,,Wisconsin,F,17
,23-Mar-08,2008,2,Midwest,2,Georgetown,BE,70,25.56,10,Davidson,SC,74,23.61,,Davidson,U,-4
,23-Mar-08,2008,2,Midwest,12,Villanova,BE,84,14.21,13,Siena,MAAC,72,7.99,,Villanova,F,12
,22-Mar-08,2008,2,South,3,Stanford,P10,82,22.75,6,Marquette,CUSA,81,22.16,1 OT,Stanford,F,1
,22-Mar-08,2008,2,South,5,Michigan St.,B10,65,21.15,4,Pittsburgh,BE,54,19.91,,Michigan St.,F,11
,23-Mar-08,2008,2,South,1,Memphis,CUSA,77,31.51,8,Mississippi St.,SEC,74,16.77,,Memphis,F,3
,23-Mar-08,2008,2,South,2,Texas,B12,75,25.09,7,Miami FL,BE,72,15.38,,Texas,F,3
,22-Mar-08,2008,2,West,2,Duke,ACC,67,26.4,7,West Virginia,BE,73,21.29,,West Virginia,U,-6
,22-Mar-08,2008,2,West,1,UCLA,P10,53,29.94,9,Texas A&M,B12,49,19.93,,UCLA,F,4
,22-Mar-08,2008,2,West,3,Xavier,A10,85,22.05,6,Purdue,B10,78,18.3,,Xavier,F,7
,23-Mar-08,2008,2,West,12,Western Kentucky,SB,72,14.6,13,San Diego,WCC,63,4.64,,Western Kentucky,F,9
,27-Mar-08,2008,3,East,1,North Carolina,ACC,68,30.22,4,Washington St.,P10,47,24.32,,North Carolina,F,21
