GameN,Date,Year,Round,Region,F.Seed,F.Team,F.Conf,F.Score,F.AdjEM,U.Seed,U.Team,U.Conf,U.Score,U.AdjEM,Overtime,W.Team,Result,Score.D
,22-Mar-02,2002,3,East,2,Connecticut,BE,71,19.36,11,Southern Illinois,MVC,59,13.45,,Connecticut,F,12
,22-Mar-02,2002,3,Midwest,1,Kansas,B12,73,28.99,4,Illinois,B10,69,23.21,,Kansas,F,4
,22-Mar-02,2002,3,Midwest,2,Oregon,P10,72,22.97,6,Texas,B12,70,17.69,,Oregon,F,2
,21-Mar-02,2002,3,South,10,Kent St.,MAC,78,20.39,3,Pittsburgh,BE,73,19.94,,Kent St.,F,5
,21-Mar-02,2002,3,South,1,Duke,ACC,73,34.19,5,Indiana,B10,74,24.8,,Indiana,U,-1
,21-Mar-02,2002,3,West,12,Missouri,B12,82,17.49,8,UCLA,P10,73,16.34,,Missouri,F,9
,21-Mar-02,2002,3,West,2,Oklahoma,B12,88,26.04,3,Arizona,P10,67,20.54,,Oklahoma,F,21
,24-Mar-02,2002,4,East,1,Maryland,ACC,90,29.25,2,Connecticut,BE,82,19.36,,Maryland,F,8
,24-Mar-02,2002,4,Midwest,1,Kansas,B12,104,28.99,2,Oregon,P10,86,22.97,,Kansas,F,18
,23-Mar-02,2002,4,South,5,Indiana,B10,81,24.8,10,Kent St.,MAC,69,20.39,,Indiana,F,12
,23-Mar-02,2002,4,West,2,Oklahoma,B12,81,26.04,12,Missouri,B12,75,17.49,,Oklahoma,F,6
,30-Mar-02,2002,5,Final Four,1,Maryland,ACC,97,29.25,1,Kansas,B12,88,28.99,,Maryland,F,9
,30-Mar-02,2002,5,Final Four,2,Oklahoma,B12,64,26.04,5,Indiana,B10,73,24.8,,Indiana,U,-9
,01-Apr-02,2002,6,Championship,1,Maryland,ACC,64,29.25,5,Indiana,B10,52,24.8,,Maryland,F,12
,12-Mar-02,2002,PI,East,16,Siena,MAAC,81,-1.21,16,Alcorn St.,SWAC,77,-8.71,,Siena,F,4
,20-Mar-03,2003,1,East,1,Oklahoma,B12,71,23.01,16,South Carolina St.,MEAC,54,-8.59,,Oklahoma,F,17
,20-Mar-03,2003,1,East,8,California,P10,76,13.59,9,North Carolina St.,ACC,74,13.18,1 OT,California,F,2
,21-Mar-03,2003,1,East,5,Mississippi St.,SEC,46,21.53,12,Butler,Horz,47,16.09,,Butler,U,-1
,21-Mar-03,2003,1,East,2,Wake Forest,ACC,76,19.87,15,East Tennessee St.,SC,73,1.75,,Wake Forest,F,3
,21-Mar-03,2003,1,East,3,Syracuse,BE,76,23.28,14,Manhattan,MAAC,65,10.04,,Syracuse,F,11
,21-Mar-03,2003,1,East,4,Louisville,CUSA,86,22.75,13,Austin Peay,OVC,64,2.65,,Louisville,F,22
,21-Mar-03,2003,1,East,6,Oklahoma St.,B12,77,17.67,11,Penn,Ivy,63,13.35,,Oklahoma St.,F,14
,21-Mar-03,2003,1,East,7,Saint Joseph's,A10,63,20.75,10,Auburn,SEC,65,13.63,1 OT,Auburn,U,-2
,20-Mar-03,2003,1,Midwest,4,Dayton,A10,71,14.53,13,Tulsa,WAC,84,13.04,,Tulsa,U,-13
,20-Mar-03,2003,1,Midwest,3,Marquette,CUSA,72,21.3,14,Holy Cross,Pat,68,10.4,,Marquette,F,4
,20-Mar-03,2003,1,Midwest,5,Wisconsin,B10,81,22.07,12,Weber St.,BSky,74,8.88,,Wisconsin,F,7
,20-Mar-03,2003,1,Midwest,6,Missouri,B12,72,17.32,11,Southern Illinois,MVC,71,11.76,,Missouri,F,1
,21-Mar-03,2003,1,Midwest,1,Kentucky,SEC,95,29.18,16,IUPUI,MCon,64,0.46,,Kentucky,F,31
,21-Mar-03,2003,1,Midwest,2,Pittsburgh,BE,87,28.61,15,Wagner,NEC,61,-1.16,,Pittsburgh,F,26
,21-Mar-03,2003,1,Midwest,10,Alabama,SEC,62,14.6,7,Indiana,B10,67,14.48,,Indiana,U,-5
