TEAM,PAKE,PASE,Check Name
Weber St.,-0.7,-0.6,1
Saint Louis,-0.7,-1.1,1
Seton Hall,-0.7,-0.9,1
Winthrop,-0.8,-0.5,1
Albany,-0.8,-0.5,1
Oral Roberts,-0.8,-0.4,1
Air Force,-0.8,-0.9,1
Akron,-0.8,-0.8,1
Western Michigan,-0.8,-0.8,1
Virginia Tech,-0.8,-0.9,1
Oklahoma,-0.9,-2.7,1
Mississippi,-0.9,-1.3,1
East Tennessee St.,-0.9,-0.6,1
Long Beach St.,-0.9,-1,1
Holy Cross,-0.9,-0.5,1
TCU,-0.9,-1.1,1
Princeton,-0.9,-1,1
Boston College,-0.9,-2.4,1
Louisiana Lafayette,-1,-0.8,0
Charlotte,-1,-1.7,1
Davidson,-1.1,0.3,1
Arizona St.,-1.2,-0.9,1
South Dakota St.,-1.2,-1.4,1
Wofford,-1.2,-0.9,1
Iona,-1.3,-1.1,1
St. Bonaventure,-1.3,-1.3,1
Old Dominion,-1.3,-1.4,1
George Washington,-1.3,-1.4,1
Drake,-1.3,-1.1,1
Vanderbilt,-1.5,-3.1,1
Utah,-1.5,-1.6,1
Iowa,-1.5,-1.8,1
UNLV,-1.5,-2.8,1
Valparaiso,-1.5,-0.7,1
UNC Wilmington,-1.6,-1.3,1
UTEP,-1.6,-1.4,1
Colorado,-1.6,-2.2,1
Saint Joseph's,-1.7,-1.8,1
Duke,-1.8,-5.1,1
Illinois,-2,-0.1,1
St. John's,-2,-3.6,1
Minnesota,-2.1,-2.3,1
Penn,-2.3,-1.9,1
San Diego St.,-2.3,-2.7,1
Temple,-2.5,-2.5,1
Georgia,-2.5,-3,1
Oklahoma St.,-2.6,-2.7,1
SMU,-2.6,-2.2,1
California,-2.6,-3,1
Belmont,-2.6,-1.9,1
Georgetown,-2.7,-4,1
Saint Mary's,-2.7,-1.9,1
Iowa St.,-2.7,-3.1,1
New Mexico St.,-2.7,-2.8,1
New Mexico,-3.1,-4.3,1
