"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"551","21-Mar-93",1993,"2","East",6,"Virginia","ACC",71,NA,3,"Massachusetts","A10",56,NA,""
"552","21-Mar-93",1993,"2","Southeast",5,"Wake Forest","ACC",84,NA,4,"Iowa","B10",78,NA,""
"553","25-Mar-93",1993,"3","Midwest",1,"Indiana","B10",82,NA,4,"Louisville","CUSA",69,NA,""
"554","25-Mar-93",1993,"3","Midwest",2,"Kansas","B12",93,NA,6,"California","P10",76,NA,""
"555","25-Mar-93",1993,"3","Southeast",1,"Kentucky","SEC",103,NA,5,"Wake Forest","ACC",69,NA,""
"556","25-Mar-93",1993,"3","Southeast",3,"Florida St.","ACC",81,NA,7,"Western Kentucky","SB",78,NA,"1 OT"
"557","26-Mar-93",1993,"3","East",1,"North Carolina","ACC",80,NA,4,"Arkansas","SEC",74,NA,""
"558","26-Mar-93",1993,"3","East",2,"Cincinnati","CUSA",71,NA,6,"Virginia","ACC",54,NA,""
"559","26-Mar-93",1993,"3","West",1,"Michigan","B10",72,NA,12,"George Washington","A10",64,NA,""
"560","26-Mar-93",1993,"3","West",7,"Temple","A10",67,NA,3,"Vanderbilt","SEC",59,NA,""
"561","27-Mar-93",1993,"4","Southeast",1,"Kentucky","SEC",106,NA,3,"Florida St.","ACC",81,NA,""
"562","27-Mar-93",1993,"4","Midwest",2,"Kansas","B12",83,NA,1,"Indiana","B10",77,NA,""
"563","28-Mar-93",1993,"4","East",1,"North Carolina","ACC",75,NA,2,"Cincinnati","CUSA",68,NA,"1 OT"
"564","28-Mar-93",1993,"4","West",1,"Michigan","B10",77,NA,7,"Temple","A10",72,NA,""
"565","3-Apr-93",1993,"5","Final Four",1,"North Carolina","ACC",78,NA,2,"Kansas","B12",68,NA,""
"566","3-Apr-93",1993,"5","Final Four",1,"Michigan","B10",81,NA,1,"Kentucky","SEC",78,NA,"1 OT"
"567","5-Apr-93",1993,"6","Championship",1,"North Carolina","ACC",77,NA,1,"Michigan","B10",71,NA,""
"568","17-Mar-94",1994,"1","West",12,"Green Bay","Horz",61,NA,5,"California","P10",57,NA,""
"569","17-Mar-94",1994,"1","East",2,"Connecticut","BE",64,NA,15,"Rider","MAAC",46,NA,""
"570","17-Mar-94",1994,"1","East",3,"Florida","SEC",64,NA,14,"James Madison","CAA",62,NA,""
"571","17-Mar-94",1994,"1","Midwest",2,"Massachusetts","A10",78,NA,15,"Texas St.","Slnd",60,NA,""
"572","17-Mar-94",1994,"1","Midwest",3,"Michigan","B10",78,NA,14,"Pepperdine","WCC",74,NA,"1 OT"
"573","17-Mar-94",1994,"1","Midwest",6,"Texas","B12",91,NA,11,"Western Kentucky","SB",77,NA,""
"574","17-Mar-94",1994,"1","Southeast",1,"Purdue","B10",98,NA,16,"UCF","ASun",67,NA,""
"575","17-Mar-94",1994,"1","Southeast",4,"Kansas","B12",102,NA,13,"Chattanooga","SC",73,NA,""
"576","17-Mar-94",1994,"1","Southeast",5,"Wake Forest","ACC",68,NA,12,"Charleston Southern","BSth",58,NA,""
"577","17-Mar-94",1994,"1","West",1,"Missouri","B12",76,NA,16,"Navy","Pat",53,NA,""
"578","17-Mar-94",1994,"1","West",4,"Syracuse","BE",92,NA,13,"Hawaii","WAC",78,NA,""
"579","17-Mar-94",1994,"1","East",11,"Penn","Ivy",90,NA,6,"Nebraska","B12",80,NA,""
"580","17-Mar-94",1994,"1","East",10,"George Washington","A10",51,NA,7,"UAB","CUSA",46,NA,""
"581","17-Mar-94",1994,"1","Midwest",10,"Maryland","ACC",74,NA,7,"Saint Louis","CUSA",66,NA,""
"582","17-Mar-94",1994,"1","Southeast",9,"Alabama","SEC",76,NA,8,"Providence","BE",70,NA,""
"583","17-Mar-94",1994,"1","West",9,"Wisconsin","B10",80,NA,8,"Cincinnati","CUSA",72,NA,""
"584","18-Mar-94",1994,"1","Midwest",12,"Tulsa","WAC",112,NA,5,"UCLA","P10",102,NA,""
"585","18-Mar-94",1994,"1","East",1,"North Carolina","ACC",71,NA,16,"Liberty","BSth",51,NA,""
"586","18-Mar-94",1994,"1","East",4,"Temple","A10",61,NA,13,"Drexel","CAA",39,NA,""
"587","18-Mar-94",1994,"1","East",5,"Indiana","B10",84,NA,12,"Ohio","MAC",72,NA,""
"588","18-Mar-94",1994,"1","Midwest",1,"Arkansas","SEC",94,NA,16,"North Carolina A&T","MEAC",79,NA,""
"589","18-Mar-94",1994,"1","Midwest",4,"Oklahoma St.","B12",65,NA,13,"New Mexico St.","SB",55,NA,""
"590","18-Mar-94",1994,"1","Southeast",2,"Duke","ACC",82,NA,15,"Texas Southern","SWAC",70,NA,""
"591","18-Mar-94",1994,"1","Southeast",3,"Kentucky","SEC",83,NA,14,"Tennessee St.","OVC",70,NA,""
"592","18-Mar-94",1994,"1","Southeast",6,"Marquette","CUSA",81,NA,11,"Lafayette","Pat",59,NA,""
"593","18-Mar-94",1994,"1","Southeast",7,"Michigan St.","B10",84,NA,10,"Seton Hall","BE",73,NA,""
"594","18-Mar-94",1994,"1","West",2,"Arizona","P10",81,NA,15,"Loyola MD","MAAC",55,NA,""
"595","18-Mar-94",1994,"1","West",3,"Louisville","CUSA",67,NA,14,"Boise St.","WAC",58,NA,""
"596","18-Mar-94",1994,"1","West",6,"Minnesota","B10",74,NA,11,"Southern Illinois","MVC",60,NA,""
"597","18-Mar-94",1994,"1","West",7,"Virginia","ACC",57,NA,10,"New Mexico","MWC",54,NA,""
"598","18-Mar-94",1994,"1","East",9,"Boston College","BE",67,NA,8,"Washington St.","P10",64,NA,""
"599","18-Mar-94",1994,"1","Midwest",9,"Georgetown","BE",84,NA,8,"Illinois","B10",77,NA,""
"600","19-Mar-94",1994,"2","Midwest",10,"Maryland","ACC",95,NA,2,"Massachusetts","A10",87,NA,""
"601","19-Mar-94",1994,"2","East",2,"Connecticut","BE",75,NA,10,"George Washington","A10",63,NA,""
"602","19-Mar-94",1994,"2","East",3,"Florida","SEC",70,NA,11,"Penn","Ivy",58,NA,""
"603","19-Mar-94",1994,"2","Midwest",3,"Michigan","B10",84,NA,6,"Texas","B12",79,NA,""
"604","19-Mar-94",1994,"2","Southeast",1,"Purdue","B10",83,NA,9,"Alabama","SEC",73,NA,""
"605","19-Mar-94",1994,"2","Southeast",4,"Kansas","B12",69,NA,5,"Wake Forest","ACC",58,NA,""
"606","19-Mar-94",1994,"2","West",1,"Missouri","B12",109,NA,9,"Wisconsin","B10",96,NA,""
"607","19-Mar-94",1994,"2","West",4,"Syracuse","BE",64,NA,12,"Green Bay","Horz",59,NA,""
"608","20-Mar-94",1994,"2","East",9,"Boston College","BE",75,NA,1,"North Carolina","ACC",72,NA,""
"609","20-Mar-94",1994,"2","Midwest",12,"Tulsa","WAC",82,NA,4,"Oklahoma St.","B12",80,NA,""
"610","20-Mar-94",1994,"2","Midwest",1,"Arkansas","SEC",85,NA,9,"Georgetown","BE",73,NA,""
"611","20-Mar-94",1994,"2","Southeast",2,"Duke","ACC",85,NA,7,"Michigan St.","B10",74,NA,""
"612","20-Mar-94",1994,"2","West",2,"Arizona","P10",71,NA,7,"Virginia","ACC",58,NA,""
"613","20-Mar-94",1994,"2","West",3,"Louisville","CUSA",60,NA,6,"Minnesota","B10",55,NA,""
"614","20-Mar-94",1994,"2","Southeast",6,"Marquette","CUSA",75,NA,3,"Kentucky","SEC",63,NA,""
"615","20-Mar-94",1994,"2","East",5,"Indiana","B10",67,NA,4,"Temple","A10",58,NA,""
"616","24-Mar-94",1994,"3","Southeast",1,"Purdue","B10",83,NA,4,"Kansas","B12",78,NA,""
"617","24-Mar-94",1994,"3","Southeast",2,"Duke","ACC",59,NA,6,"Marquette","CUSA",49,NA,""
"618","24-Mar-94",1994,"3","West",1,"Missouri","B12",98,NA,4,"Syracuse","BE",88,NA,"1 OT"
"619","24-Mar-94",1994,"3","West",2,"Arizona","P10",82,NA,3,"Louisville","CUSA",70,NA,""
"620","25-Mar-94",1994,"3","Midwest",1,"Arkansas","SEC",103,NA,12,"Tulsa","WAC",84,NA,""
"621","25-Mar-94",1994,"3","Midwest",3,"Michigan","B10",78,NA,10,"Maryland","ACC",71,NA,""
"622","25-Mar-94",1994,"3","East",9,"Boston College","BE",77,NA,5,"Indiana","B10",68,NA,""
"623","25-Mar-94",1994,"3","East",3,"Florida","SEC",69,NA,2,"Connecticut","BE",60,NA,"1 OT"
"624","26-Mar-94",1994,"4","Southeast",2,"Duke","ACC",69,NA,1,"Purdue","B10",60,NA,""
"625","26-Mar-94",1994,"4","West",2,"Arizona","P10",92,NA,1,"Missouri","B12",72,NA,""
"626","27-Mar-94",1994,"4","East",3,"Florida","SEC",74,NA,9,"Boston College","BE",66,NA,""
"627","27-Mar-94",1994,"4","Midwest",1,"Arkansas","SEC",76,NA,3,"Michigan","B10",68,NA,""
"628","2-Apr-94",1994,"5","Final Four",1,"Arkansas","SEC",91,NA,2,"Arizona","P10",82,NA,""
"629","2-Apr-94",1994,"5","Final Four",2,"Duke","ACC",70,NA,3,"Florida","SEC",65,NA,""
"630","4-Apr-94",1994,"6","Championship",1,"Arkansas","SEC",76,NA,2,"Duke","ACC",72,NA,""
"631","16-Mar-95",1995,"1","Southeast",13,"Manhattan","MAAC",77,NA,4,"Oklahoma","B12",67,NA,""
"632","16-Mar-95",1995,"1","Midwest",12,"Miami OH","MAC",71,NA,5,"Arizona","P10",62,NA,""
"633","16-Mar-95",1995,"1","East",1,"Wake Forest","ACC",79,NA,16,"North Carolina A&T","MEAC",47,NA,""
"634","16-Mar-95",1995,"1","East",4,"Oklahoma St.","B12",73,NA,13,"Drexel","CAA",49,NA,""
"635","16-Mar-95",1995,"1","East",5,"Alabama","SEC",91,NA,12,"Penn","Ivy",85,NA,"1 OT"
"636","16-Mar-95",1995,"1","Midwest",1,"Kansas","B12",82,NA,16,"Colgate","Pat",68,NA,""
"637","16-Mar-95",1995,"1","Midwest",4,"Virginia","ACC",96,NA,13,"Nicholls St.","Slnd",72,NA,""
"638","16-Mar-95",1995,"1","Midwest",8,"Western Kentucky","SB",82,NA,9,"Michigan","B10",76,NA,"1 OT"
"639","16-Mar-95",1995,"1","Southeast",1,"Kentucky","SEC",113,NA,16,"Mount St. Mary's","NEC",67,NA,""
"640","16-Mar-95",1995,"1","Southeast",5,"Arizona St.","P10",81,NA,12,"Ball St.","MAC",66,NA,""
"641","16-Mar-95",1995,"1","West",2,"Connecticut","BE",100,NA,15,"Chattanooga","SC",71,NA,""
"642","16-Mar-95",1995,"1","West",3,"Maryland","ACC",87,NA,14,"Gonzaga","WCC",63,NA,""
"643","16-Mar-95",1995,"1","West",7,"Cincinnati","CUSA",77,NA,10,"Temple","A10",71,NA,""
"644","16-Mar-95",1995,"1","West",11,"Texas","B12",90,NA,6,"Oregon","P10",73,NA,""
"645","16-Mar-95",1995,"1","East",9,"Saint Louis","CUSA",64,NA,8,"Minnesota","B10",61,NA,"1 OT"
"646","16-Mar-95",1995,"1","Southeast",9,"Tulane","CUSA",76,NA,8,"BYU","MWC",70,NA,""
"647","17-Mar-95",1995,"1","East",14,"Old Dominion","CAA",89,NA,3,"Villanova","BE",81,NA,"3 OT"
"648","17-Mar-95",1995,"1","Southeast",14,"Weber St.","BSky",79,NA,3,"Michigan St.","B10",72,NA,""
"649","17-Mar-95",1995,"1","East",2,"Massachusetts","A10",68,NA,15,"Saint Peter's","MAAC",51,NA,""
"650","17-Mar-95",1995,"1","East",6,"Tulsa","WAC",68,NA,11,"Illinois","B10",62,NA,""
"651","17-Mar-95",1995,"1","Midwest",2,"Arkansas","SEC",79,NA,15,"Texas Southern","SWAC",78,NA,""
"652","17-Mar-95",1995,"1","Midwest",3,"Purdue","B10",49,NA,14,"Green Bay","Horz",48,NA,""
"653","17-Mar-95",1995,"1","Midwest",6,"Memphis","CUSA",77,NA,11,"Louisville","CUSA",56,NA,""
"654","17-Mar-95",1995,"1","Midwest",7,"Syracuse","BE",96,NA,10,"Southern Illinois","MVC",92,NA,""
"655","17-Mar-95",1995,"1","Southeast",2,"North Carolina","ACC",80,NA,15,"Murray St.","OVC",70,NA,""
"656","17-Mar-95",1995,"1","Southeast",6,"Georgetown","BE",68,NA,11,"Xavier","A10",63,NA,""
"657","17-Mar-95",1995,"1","Southeast",7,"Iowa St.","B12",64,NA,10,"Florida","SEC",61,NA,""
"658","17-Mar-95",1995,"1","West",1,"UCLA","P10",92,NA,16,"FIU","SB",56,NA,""
"659","17-Mar-95",1995,"1","West",4,"Utah","MWC",76,NA,13,"Long Beach St.","BW",64,NA,""
"660","17-Mar-95",1995,"1","West",5,"Mississippi St.","SEC",75,NA,12,"Santa Clara","WCC",67,NA,""
"661","17-Mar-95",1995,"1","West",8,"Missouri","B12",65,NA,9,"Indiana","B10",60,NA,""
"662","17-Mar-95",1995,"1","East",10,"Stanford","P10",70,NA,7,"Charlotte","CUSA",68,NA,""
"663","18-Mar-95",1995,"2","East",1,"Wake Forest","ACC",64,NA,9,"Saint Louis","CUSA",59,NA,""
"664","18-Mar-95",1995,"2","East",4,"Oklahoma St.","B12",66,NA,5,"Alabama","SEC",52,NA,""
"665","18-Mar-95",1995,"2","Midwest",1,"Kansas","B12",75,NA,8,"Western Kentucky","SB",70,NA,""
"666","18-Mar-95",1995,"2","Midwest",4,"Virginia","ACC",60,NA,12,"Miami OH","MAC",54,NA,"1 OT"
"667","18-Mar-95",1995,"2","Southeast",1,"Kentucky","SEC",82,NA,9,"Tulane","CUSA",60,NA,""
"668","18-Mar-95",1995,"2","Southeast",5,"Arizona St.","P10",64,NA,13,"Manhattan","MAAC",54,NA,""
"669","18-Mar-95",1995,"2","West",2,"Connecticut","BE",96,NA,7,"Cincinnati","CUSA",91,NA,""
"670","18-Mar-95",1995,"2","West",3,"Maryland","ACC",82,NA,11,"Texas","B12",68,NA,""
"671","19-Mar-95",1995,"2","East",2,"Massachusetts","A10",75,NA,10,"Stanford","P10",53,NA,""
"672","19-Mar-95",1995,"2","East",6,"Tulsa","WAC",64,NA,14,"Old Dominion","CAA",52,NA,""
"673","19-Mar-95",1995,"2","Midwest",2,"Arkansas","SEC",96,NA,7,"Syracuse","BE",94,NA,"1 OT"
"674","19-Mar-95",1995,"2","Southeast",2,"North Carolina","ACC",73,NA,7,"Iowa St.","B12",51,NA,""
"675","19-Mar-95",1995,"2","Southeast",6,"Georgetown","BE",53,NA,14,"Weber St.","BSky",51,NA,""
"676","19-Mar-95",1995,"2","West",1,"UCLA","P10",75,NA,8,"Missouri","B12",74,NA,""
"677","19-Mar-95",1995,"2","Midwest",6,"Memphis","CUSA",75,NA,3,"Purdue","B10",73,NA,""
"678","19-Mar-95",1995,"2","West",5,"Mississippi St.","SEC",78,NA,4,"Utah","MWC",64,NA,""
"679","23-Mar-95",1995,"3","Southeast",1,"Kentucky","SEC",97,NA,5,"Arizona St.","P10",73,NA,""
"680","23-Mar-95",1995,"3","Southeast",2,"North Carolina","ACC",74,NA,6,"Georgetown","BE",64,NA,""
"681","23-Mar-95",1995,"3","West",1,"UCLA","P10",86,NA,5,"Mississippi St.","SEC",67,NA,""
"682","23-Mar-95",1995,"3","West",2,"Connecticut","BE",99,NA,3,"Maryland","ACC",89,NA,""
"683","24-Mar-95",1995,"3","East",2,"Massachusetts","A10",76,NA,6,"Tulsa","WAC",51,NA,""
"684","24-Mar-95",1995,"3","Midwest",2,"Arkansas","SEC",96,NA,6,"Memphis","CUSA",91,NA,"1 OT"
"685","24-Mar-95",1995,"3","East",4,"Oklahoma St.","B12",71,NA,1,"Wake Forest","ACC",66,NA,""
"686","24-Mar-95",1995,"3","Midwest",4,"Virginia","ACC",67,NA,1,"Kansas","B12",58,NA,""
"687","25-Mar-95",1995,"4","West",1,"UCLA","P10",102,NA,2,"Connecticut","BE",96,NA,""
"688","25-Mar-95",1995,"4","Southeast",2,"North Carolina","ACC",74,NA,1,"Kentucky","SEC",61,NA,""
"689","26-Mar-95",1995,"4","Midwest",2,"Arkansas","SEC",68,NA,4,"Virginia","ACC",61,NA,""
"690","26-Mar-95",1995,"4","East",4,"Oklahoma St.","B12",68,NA,2,"Massachusetts","A10",54,NA,""
"691","1-Apr-95",1995,"5","Final Four",1,"UCLA","P10",74,NA,4,"Oklahoma St.","B12",61,NA,""
"692","1-Apr-95",1995,"5","Final Four",2,"Arkansas","SEC",75,NA,2,"North Carolina","ACC",68,NA,""
"693","3-Apr-95",1995,"6","Championship",1,"UCLA","P10",89,NA,2,"Arkansas","SEC",78,NA,""
"694","14-Mar-96",1996,"1","Southeast",13,"Princeton","Ivy",43,NA,4,"UCLA","P10",41,NA,""
"695","14-Mar-96",1996,"1","East",12,"Arkansas","SEC",86,NA,5,"Penn St.","B10",80,NA,""
"696","14-Mar-96",1996,"1","West",12,"Drexel","CAA",75,NA,5,"Memphis","CUSA",63,NA,""
"697","14-Mar-96",1996,"1","East",1,"Massachusetts","A10",92,NA,16,"UCF","ASun",70,NA,""
"698","14-Mar-96",1996,"1","East",4,"Marquette","CUSA",68,NA,13,"Monmouth","NEC",44,NA,""
"699","14-Mar-96",1996,"1","Midwest",1,"Kentucky","SEC",110,NA,16,"San Jose St.","WAC",72,NA,""
"700","14-Mar-96",1996,"1","Midwest",4,"Utah","MWC",72,NA,13,"Canisius","MAAC",43,NA,""
"701","14-Mar-96",1996,"1","Midwest",5,"Iowa St.","B12",74,NA,12,"California","P10",64,NA,""
"702","14-Mar-96",1996,"1","Southeast",1,"Connecticut","BE",68,NA,16,"Colgate","Pat",59,NA,""
"703","14-Mar-96",1996,"1","Southeast",5,"Mississippi St.","SEC",58,NA,12,"VCU","CAA",51,NA,""
"704","14-Mar-96",1996,"1","West",1,"Purdue","B10",73,NA,16,"Western Carolina","SC",71,NA,""
"705","14-Mar-96",1996,"1","West",4,"Syracuse","BE",88,NA,13,"Montana St.","BSky",55,NA,""
"706","14-Mar-96",1996,"1","West",8,"Georgia","SEC",81,NA,9,"Clemson","ACC",74,NA,""
"707","14-Mar-96",1996,"1","East",9,"Stanford","P10",66,NA,8,"Bradley","MVC",58,NA,""
"708","14-Mar-96",1996,"1","Midwest",9,"Virginia Tech","BE",61,NA,8,"Green Bay","Horz",48,NA,""
"709","14-Mar-96",1996,"1","Southeast",9,"Eastern Michigan","MAC",75,NA,8,"Duke","ACC",60,NA,""
"710","15-Mar-96",1996,"1","East",2,"Georgetown","BE",93,NA,15,"Mississippi Valley St.","SWAC",56,NA,""
"711","15-Mar-96",1996,"1","East",3,"Texas Tech","B12",74,NA,14,"Northern Illinois","MAC",73,NA,""
"712","15-Mar-96",1996,"1","East",6,"North Carolina","ACC",83,NA,11,"New Orleans","SB",62,NA,""
"713","15-Mar-96",1996,"1","East",7,"New Mexico","MWC",69,NA,10,"Kansas St.","B12",48,NA,""
"714","15-Mar-96",1996,"1","Midwest",2,"Wake Forest","ACC",62,NA,15,"Louisiana Monroe","Slnd",50,NA,""
"715","15-Mar-96",1996,"1","Midwest",3,"Villanova","BE",92,NA,14,"Portland","WCC",58,NA,""
"716","15-Mar-96",1996,"1","Midwest",6,"Louisville","CUSA",82,NA,11,"Tulsa","WAC",80,NA,"1 OT"
"717","15-Mar-96",1996,"1","Southeast",2,"Cincinnati","CUSA",66,NA,15,"UNC Greensboro","SC",61,NA,""
"718","15-Mar-96",1996,"1","Southeast",3,"Georgia Tech","ACC",90,NA,14,"Austin Peay","OVC",79,NA,""
"719","15-Mar-96",1996,"1","Southeast",7,"Temple","A10",61,NA,10,"Oklahoma","B12",43,NA,""
"720","15-Mar-96",1996,"1","West",2,"Kansas","B12",92,NA,15,"South Carolina St.","MEAC",54,NA,""
"721","15-Mar-96",1996,"1","West",3,"Arizona","P10",90,NA,14,"Valparaiso","MCon",51,NA,""
"722","15-Mar-96",1996,"1","West",6,"Iowa","B10",81,NA,11,"George Washington","A10",79,NA,""
"723","15-Mar-96",1996,"1","Southeast",11,"Boston College","BE",64,NA,6,"Indiana","B10",51,NA,""
"724","15-Mar-96",1996,"1","Midwest",10,"Texas","B12",80,NA,7,"Michigan","B10",76,NA,""
"725","15-Mar-96",1996,"1","West",10,"Santa Clara","WCC",91,NA,7,"Maryland","ACC",79,NA,""
"726","16-Mar-96",1996,"2","East",12,"Arkansas","SEC",65,NA,4,"Marquette","CUSA",56,NA,""
"727","16-Mar-96",1996,"2","West",8,"Georgia","SEC",76,NA,1,"Purdue","B10",69,NA,""
"728","16-Mar-96",1996,"2","East",1,"Massachusetts","A10",79,NA,9,"Stanford","P10",74,NA,""
"729","16-Mar-96",1996,"2","Midwest",1,"Kentucky","SEC",84,NA,9,"Virginia Tech","BE",60,NA,""
"730","16-Mar-96",1996,"2","Midwest",4,"Utah","MWC",73,NA,5,"Iowa St.","B12",67,NA,""
"731","16-Mar-96",1996,"2","Southeast",1,"Connecticut","BE",95,NA,9,"Eastern Michigan","MAC",81,NA,""
"732","16-Mar-96",1996,"2","Southeast",5,"Mississippi St.","SEC",63,NA,13,"Princeton","Ivy",41,NA,""
"733","16-Mar-96",1996,"2","West",4,"Syracuse","BE",69,NA,12,"Drexel","CAA",58,NA,""
"734","17-Mar-96",1996,"2","East",2,"Georgetown","BE",73,NA,7,"New Mexico","MWC",62,NA,""
"735","17-Mar-96",1996,"2","East",3,"Texas Tech","B12",92,NA,6,"North Carolina","ACC",73,NA,""
"736","17-Mar-96",1996,"2","Midwest",2,"Wake Forest","ACC",65,NA,10,"Texas","B12",62,NA,""
"737","17-Mar-96",1996,"2","Southeast",2,"Cincinnati","CUSA",78,NA,7,"Temple","A10",65,NA,""
"738","17-Mar-96",1996,"2","Southeast",3,"Georgia Tech","ACC",103,NA,11,"Boston College","BE",89,NA,""
"739","17-Mar-96",1996,"2","West",2,"Kansas","B12",76,NA,10,"Santa Clara","WCC",51,NA,""
"740","17-Mar-96",1996,"2","West",3,"Arizona","P10",87,NA,6,"Iowa","B10",73,NA,""
"741","17-Mar-96",1996,"2","Midwest",6,"Louisville","CUSA",68,NA,3,"Villanova","BE",64,NA,""
"742","21-Mar-96",1996,"3","East",1,"Massachusetts","A10",79,NA,12,"Arkansas","SEC",63,NA,""
"743","21-Mar-96",1996,"3","East",2,"Georgetown","BE",98,NA,3,"Texas Tech","B12",90,NA,""
"744","21-Mar-96",1996,"3","Midwest",1,"Kentucky","SEC",101,NA,4,"Utah","MWC",70,NA,""
"745","21-Mar-96",1996,"3","Midwest",2,"Wake Forest","ACC",60,NA,6,"Louisville","CUSA",59,NA,""
"746","22-Mar-96",1996,"3","Southeast",2,"Cincinnati","CUSA",87,NA,3,"Georgia Tech","ACC",70,NA,""
"747","22-Mar-96",1996,"3","West",2,"Kansas","B12",83,NA,3,"Arizona","P10",80,NA,""
"748","22-Mar-96",1996,"3","West",4,"Syracuse","BE",83,NA,8,"Georgia","SEC",81,NA,"1 OT"
"749","22-Mar-96",1996,"3","Southeast",5,"Mississippi St.","SEC",60,NA,1,"Connecticut","BE",55,NA,""
"750","23-Mar-96",1996,"4","East",1,"Massachusetts","A10",86,NA,2,"Georgetown","BE",62,NA,""
"751","23-Mar-96",1996,"4","Midwest",1,"Kentucky","SEC",83,NA,2,"Wake Forest","ACC",63,NA,""
"752","24-Mar-96",1996,"4","Southeast",5,"Mississippi St.","SEC",73,NA,2,"Cincinnati","CUSA",63,NA,""
"753","24-Mar-96",1996,"4","West",4,"Syracuse","BE",60,NA,2,"Kansas","B12",57,NA,""
"754","30-Mar-96",1996,"5","Final Four",1,"Kentucky","SEC",81,NA,1,"Massachusetts","A10",74,NA,""
"755","30-Mar-96",1996,"5","Final Four",4,"Syracuse","BE",77,NA,5,"Mississippi St.","SEC",69,NA,""
"756","1-Apr-96",1996,"6","Championship",1,"Kentucky","SEC",76,NA,4,"Syracuse","BE",67,NA,""
"757","13-Mar-97",1997,"1","Southeast",12,"Charleston Southern","BSth",75,NA,5,"Maryland","ACC",66,NA,""
"758","13-Mar-97",1997,"1","East",1,"North Carolina","ACC",82,NA,16,"Fairfield","MAAC",74,NA,""
"759","13-Mar-97",1997,"1","East",4,"Villanova","BE",101,NA,13,"LIU Brooklyn","NEC",91,NA,""
"760","13-Mar-97",1997,"1","East",5,"California","P10",55,NA,12,"Princeton","Ivy",52,NA,""
"761","13-Mar-97",1997,"1","Midwest",2,"UCLA","P10",109,NA,15,"Charleston Southern","BSth",75,NA,""
"762","13-Mar-97",1997,"1","Midwest",3,"Cincinnati","CUSA",86,NA,14,"Butler","Horz",69,NA,""
"763","13-Mar-97",1997,"1","Midwest",6,"Iowa St.","B12",69,NA,11,"Illinois St.","MVC",57,NA,""
"764","13-Mar-97",1997,"1","Midwest",7,"Xavier","A10",80,NA,10,"Vanderbilt","SEC",68,NA,""
"765","13-Mar-97",1997,"1","Southeast",1,"Kansas","B12",78,NA,16,"Jackson St.","SWAC",64,NA,""
"766","13-Mar-97",1997,"1","Southeast",4,"Arizona","P10",65,NA,13,"South Alabama","SB",57,NA,""
"767","13-Mar-97",1997,"1","Southeast",8,"Purdue","B10",83,NA,9,"Rhode Island","A10",76,NA,"1 OT"
"768","13-Mar-97",1997,"1","West",1,"Kentucky","SEC",92,NA,16,"Montana","BSky",54,NA,""
"769","13-Mar-97",1997,"1","West",4,"Saint Joseph's","A10",75,NA,13,"Pacific","BW",65,NA,""
"770","13-Mar-97",1997,"1","West",5,"Boston College","BE",73,NA,12,"Valparaiso","MCon",66,NA,""
"771","13-Mar-97",1997,"1","West",8,"Iowa","B10",73,NA,9,"Virginia","ACC",60,NA,""
"772","13-Mar-97",1997,"1","East",9,"Colorado","B12",80,NA,8,"Indiana","B10",62,NA,""
"773","14-Mar-97",1997,"1","East",15,"Coppin St.","MEAC",78,NA,2,"South Carolina","SEC",65,NA,""
"774","14-Mar-97",1997,"1","Southeast",14,"Chattanooga","SC",73,NA,3,"Georgia","SEC",70,NA,""
"775","14-Mar-97",1997,"1","East",3,"New Mexico","MWC",59,NA,14,"Old Dominion","CAA",55,NA,""
"776","14-Mar-97",1997,"1","East",6,"Louisville","CUSA",65,NA,11,"Massachusetts","A10",57,NA,""
"777","14-Mar-97",1997,"1","Midwest",1,"Minnesota","B10",78,NA,16,"Texas St.","Slnd",46,NA,""
"778","14-Mar-97",1997,"1","Midwest",4,"Clemson","ACC",68,NA,13,"Miami OH","MAC",56,NA,""
"779","14-Mar-97",1997,"1","Midwest",5,"Tulsa","WAC",81,NA,12,"Boston University","AE",52,NA,""
"780","14-Mar-97",1997,"1","Southeast",2,"Duke","ACC",81,NA,15,"Murray St.","OVC",78,NA,""
"781","14-Mar-97",1997,"1","Southeast",6,"Illinois","B10",90,NA,11,"USC","P10",77,NA,""
"782","14-Mar-97",1997,"1","West",2,"Utah","MWC",75,NA,15,"Navy","Pat",61,NA,""
"783","14-Mar-97",1997,"1","West",3,"Wake Forest","ACC",68,NA,14,"Saint Mary's","WCC",46,NA,""
"784","14-Mar-97",1997,"1","West",6,"Stanford","P10",80,NA,11,"Oklahoma","B12",67,NA,""
"785","14-Mar-97",1997,"1","West",7,"Charlotte","CUSA",79,NA,10,"Georgetown","BE",67,NA,""
"786","14-Mar-97",1997,"1","East",10,"Texas","B12",71,NA,7,"Wisconsin","B10",58,NA,""
"787","14-Mar-97",1997,"1","Southeast",10,"Providence","BE",81,NA,7,"Marquette","CUSA",59,NA,""
"788","14-Mar-97",1997,"1","Midwest",9,"Temple","A10",62,NA,8,"Mississippi","SEC",40,NA,""
"789","15-Mar-97",1997,"2","East",1,"North Carolina","ACC",73,NA,9,"Colorado","B12",56,NA,""
"790","15-Mar-97",1997,"2","Midwest",2,"UCLA","P10",96,NA,7,"Xavier","A10",83,NA,""
