"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"55","22-Mar-85",1985,"3","West",3,"North Carolina St.","ACC",61,NA,7,"Alabama","SEC",55,NA,""
"56","22-Mar-85",1985,"3","Southeast",8,"Villanova","BE",46,NA,5,"Maryland","ACC",43,NA,""
"57","23-Mar-85",1985,"4","East",1,"Georgetown","BE",60,NA,2,"Georgia Tech","ACC",54,NA,""
"58","23-Mar-85",1985,"4","Midwest",2,"Memphis","CUSA",63,NA,1,"Oklahoma","B12",61,NA,""
"59","24-Mar-85",1985,"4","West",1,"St. John's","BE",69,NA,3,"North Carolina St.","ACC",60,NA,""
"60","24-Mar-85",1985,"4","Southeast",8,"Villanova","BE",56,NA,2,"North Carolina","ACC",44,NA,""
"61","30-Mar-85",1985,"5","Final Four",1,"Georgetown","BE",77,NA,1,"St. John's","BE",59,NA,""
"62","30-Mar-85",1985,"5","Final Four",8,"Villanova","BE",52,NA,2,"Memphis","CUSA",45,NA,""
"63","1-Apr-85",1985,"6","Championship",8,"Villanova","BE",66,NA,1,"Georgetown","BE",64,NA,""
"64","13-Mar-86",1986,"1","East",1,"Duke","ACC",85,NA,16,"Mississippi Valley St.","SWAC",78,NA,""
"65","13-Mar-86",1986,"1","East",4,"Oklahoma","B12",80,NA,13,"Northeastern","AE",74,NA,""
"66","13-Mar-86",1986,"1","East",8,"Old Dominion","CAA",72,NA,9,"West Virginia","BE",64,NA,""
"67","13-Mar-86",1986,"1","Midwest",1,"Kansas","B12",71,NA,16,"North Carolina A&T","MEAC",46,NA,""
"68","13-Mar-86",1986,"1","Midwest",4,"Georgetown","BE",70,NA,13,"Texas Tech","B12",64,NA,""
"69","13-Mar-86",1986,"1","Midwest",5,"Michigan St.","B10",72,NA,12,"Washington","P10",70,NA,""
"70","13-Mar-86",1986,"1","Southeast",2,"Georgia Tech","ACC",68,NA,15,"Marist","MAAC",53,NA,""
"71","13-Mar-86",1986,"1","Southeast",3,"Memphis","CUSA",95,NA,14,"Ball St.","MAC",63,NA,""
"72","13-Mar-86",1986,"1","West",2,"Louisville","CUSA",93,NA,15,"Drexel","CAA",73,NA,""
"73","13-Mar-86",1986,"1","West",3,"North Carolina","ACC",84,NA,14,"Utah","MWC",72,NA,""
"74","13-Mar-86",1986,"1","West",6,"UAB","CUSA",66,NA,11,"Missouri","B12",64,NA,""
"75","13-Mar-86",1986,"1","West",7,"Bradley","MVC",83,NA,10,"UTEP","WAC",65,NA,""
"76","13-Mar-86",1986,"1","East",12,"DePaul","CUSA",72,NA,5,"Virginia","ACC",68,NA,""
"77","13-Mar-86",1986,"1","Southeast",11,"LSU","SEC",94,NA,6,"Purdue","B10",87,NA,"2 OT"
"78","13-Mar-86",1986,"1","Southeast",10,"Villanova","BE",71,NA,7,"Virginia Tech","BE",62,NA,""
"79","13-Mar-86",1986,"1","Midwest",9,"Temple","A10",61,NA,8,"Jacksonville","ASun",50,NA,"1 OT"
"80","14-Mar-86",1986,"1","East",14,"Cleveland St.","Horz",83,NA,3,"Indiana","B10",79,NA,""
