Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
21-Mar-85,1985,3,East,1,Georgetown,BE,65,4,Loyola Chicago,Horz,53,,12,3,,1.535714286,2,0.464285714
21-Mar-85,1985,3,East,2,Georgia Tech,ACC,61,3,Illinois,B10,53,,8,1,,1.864285714,2,0.135714286
21-Mar-85,1985,3,Midwest,1,Oklahoma,B12,86,5,Louisiana Tech,WAC,84,1 OT,2,4,,1.107142857,2,0.892857143
21-Mar-85,1985,3,Midwest,2,Memphis,CUSA,59,11,Boston College,BE,57,,2,9,,0.614285714,2,1.385714286
22-Mar-85,1985,3,Southeast,2,North Carolina,ACC,62,11,Auburn,SEC,56,,6,9,,0.614285714,2,1.385714286
22-Mar-85,1985,3,West,1,St. John's,BE,86,12,Kentucky,SEC,70,,16,11,,0.514285714,2,1.485714286
22-Mar-85,1985,3,West,3,North Carolina St.,ACC,61,7,Alabama,SEC,55,,6,4,,0.9,2,1.1
22-Mar-85,1985,3,Southeast,8,Villanova,BE,46,5,Maryland,ACC,43,,3,-3,8 over 5,1.107142857,2,0.892857143
23-Mar-85,1985,4,East,1,Georgetown,BE,60,2,Georgia Tech,ACC,54,,6,1,,2.371428571,3,0.628571429
23-Mar-85,1985,4,Midwest,2,Memphis,CUSA,63,1,Oklahoma,B12,61,,2,-1,,3.357142857,3,-0.357142857
24-Mar-85,1985,4,West,1,St. John's,BE,69,3,North Carolina St.,ACC,60,,9,2,,1.864285714,3,1.135714286
24-Mar-85,1985,4,Southeast,8,Villanova,BE,56,2,North Carolina,ACC,44,,12,-6,8 over 2,2.371428571,3,0.628571429
30-Mar-85,1985,5,Final Four,1,Georgetown,BE,77,1,St. John's,BE,59,,18,0,,3.357142857,4,0.642857143
30-Mar-85,1985,5,Final Four,8,Villanova,BE,52,2,Memphis,CUSA,45,,7,-6,8 over 2,2.371428571,4,1.628571429
1-Apr-85,1985,6,Championship,8,Villanova,BE,66,1,Georgetown,BE,64,,2,-7,8 over 1,3.357142857,5,1.642857143
