Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
22-Mar-92,1992,2,West,1,UCLA,P10,85,8,Louisville,CUSA,69,,16,7,,0.7,1,0.3
22-Mar-92,1992,2,West,12,New Mexico St.,SB,81,13,Lafayette,Pat,73,,8,1,,0.25,1,0.75
26-Mar-92,1992,3,East,1,Duke,ACC,81,4,Seton Hall,BE,69,,12,3,,1.535714286,2,0.464285714
26-Mar-92,1992,3,East,2,Kentucky,SEC,87,3,Massachusetts,A10,77,,10,1,,1.864285714,2,0.135714286
26-Mar-92,1992,3,West,1,UCLA,P10,85,12,New Mexico St.,SB,78,,7,11,,0.514285714,2,1.485714286
26-Mar-92,1992,3,West,2,Indiana,B10,85,3,Florida St.,ACC,74,,11,1,,1.864285714,2,0.135714286
27-Mar-92,1992,3,Midwest,4,Cincinnati,CUSA,69,9,UTEP,WAC,67,,2,5,,0.6,2,1.4
27-Mar-92,1992,3,Midwest,6,Memphis,CUSA,83,7,Georgia Tech,ACC,79,1 OT,4,1,,0.9,2,1.1
27-Mar-92,1992,3,Southeast,1,Ohio St.,B10,80,4,North Carolina,ACC,73,,7,3,,1.535714286,2,0.464285714
27-Mar-92,1992,3,Southeast,6,Michigan,B10,75,2,Oklahoma St.,B12,72,,3,-4,6 over 2,2.371428571,2,-0.371428571
28-Mar-92,1992,4,East,1,Duke,ACC,104,2,Kentucky,SEC,103,1 OT,1,1,,2.371428571,3,0.628571429
28-Mar-92,1992,4,West,2,Indiana,B10,106,1,UCLA,P10,79,,27,-1,,3.357142857,3,-0.357142857
29-Mar-92,1992,4,Midwest,4,Cincinnati,CUSA,88,6,Memphis,CUSA,57,,31,2,,1.078571429,3,1.921428571
29-Mar-92,1992,4,Southeast,6,Michigan,B10,75,1,Ohio St.,B10,71,1 OT,4,-5,6 over 1,3.357142857,3,-0.357142857
4-Apr-92,1992,5,Final Four,1,Duke,ACC,81,2,Indiana,B10,78,,3,1,,2.371428571,4,1.628571429
4-Apr-92,1992,5,Final Four,6,Michigan,B10,76,4,Cincinnati,CUSA,72,,4,-2,,1.535714286,4,2.464285714
6-Apr-92,1992,6,Championship,1,Duke,ACC,71,6,Michigan,B10,51,,20,5,,1.078571429,5,3.921428571
18-Mar-93,1993,1,West,15,Santa Clara,WCC,64,2,Arizona,P10,61,,3,-13,15 over 2,2.371428571,0,-2.371428571
18-Mar-93,1993,1,East,1,North Carolina,ACC,85,16,East Carolina,CUSA,65,,20,15,,0.007142857,0,-0.007142857
18-Mar-93,1993,1,East,4,Arkansas,SEC,94,13,Holy Cross,Pat,64,,30,9,,0.25,0,-0.25
18-Mar-93,1993,1,East,5,St. John's,BE,85,12,Texas Tech,B12,67,,18,7,,0.514285714,0,-0.514285714
18-Mar-93,1993,1,East,8,Rhode Island,A10,74,9,Purdue,B10,68,,6,1,,0.6,0,-0.6
18-Mar-93,1993,1,Midwest,2,Kansas,B12,94,15,Ball St.,MAC,72,,22,13,,0.064285714,0,-0.064285714
18-Mar-93,1993,1,Midwest,3,Duke,ACC,105,14,Southern Illinois,MVC,70,,35,11,,0.164285714,0,-0.164285714
18-Mar-93,1993,1,Midwest,6,California,P10,66,11,LSU,SEC,64,,2,5,,0.614285714,0,-0.614285714
18-Mar-93,1993,1,Midwest,7,BYU,MWC,80,10,SMU,WAC,71,,9,3,,0.621428571,0,-0.621428571
18-Mar-93,1993,1,Southeast,2,Seton Hall,BE,81,15,Tennessee St.,OVC,59,,22,13,,0.064285714,0,-0.064285714
18-Mar-93,1993,1,Southeast,3,Florida St.,ACC,82,14,Evansville,MVC,70,,12,11,,0.164285714,0,-0.164285714
18-Mar-93,1993,1,Southeast,7,Western Kentucky,SB,55,10,Memphis,CUSA,52,,3,3,,0.621428571,0,-0.621428571
18-Mar-93,1993,1,West,3,Vanderbilt,SEC,92,14,Boise St.,WAC,72,,20,11,,0.164285714,0,-0.164285714
18-Mar-93,1993,1,West,6,Illinois,B10,75,11,Long Beach St.,BW,72,,3,5,,0.614285714,0,-0.614285714
18-Mar-93,1993,1,West,7,Temple,A10,75,10,Missouri,B12,61,,14,3,,0.621428571,0,-0.621428571
18-Mar-93,1993,1,Southeast,11,Tulane,CUSA,55,6,Kansas St.,B12,53,,2,-5,11 over 6,1.078571429,0,-1.078571429
19-Mar-93,1993,1,West,13,Southern,SWAC,93,4,Georgia Tech,ACC,78,,15,-9,13 over 4,1.535714286,0,-1.535714286
19-Mar-93,1993,1,West,12,George Washington,A10,82,5,New Mexico,MWC,68,,14,-7,12 over 5,1.107142857,0,-1.107142857
19-Mar-93,1993,1,East,2,Cincinnati,CUSA,93,15,Coppin St.,MEAC,66,,27,13,,0.064285714,0,-0.064285714
19-Mar-93,1993,1,East,3,Massachusetts,A10,54,14,Penn,Ivy,50,,4,11,,0.164285714,0,-0.164285714
19-Mar-93,1993,1,East,6,Virginia,ACC,78,11,Manhattan,MAAC,66,,12,5,,0.614285714,0,-0.614285714
19-Mar-93,1993,1,East,7,New Mexico St.,SB,93,10,Nebraska,B12,79,,14,3,,0.621428571,0,-0.621428571
19-Mar-93,1993,1,Midwest,1,Indiana,B10,97,16,Wright St.,Horz,54,,43,15,,0.007142857,0,-0.007142857
19-Mar-93,1993,1,Midwest,4,Louisville,CUSA,76,13,Delaware,CAA,70,,6,9,,0.25,0,-0.25
19-Mar-93,1993,1,Midwest,5,Oklahoma St.,B12,74,12,Marquette,CUSA,62,,12,7,,0.514285714,0,-0.514285714
19-Mar-93,1993,1,Southeast,1,Kentucky,SEC,96,16,Rider,MAAC,52,,44,15,,0.007142857,0,-0.007142857
19-Mar-93,1993,1,Southeast,4,Iowa,B10,82,13,Louisiana Monroe,Slnd,69,,13,9,,0.25,0,-0.25
19-Mar-93,1993,1,Southeast,5,Wake Forest,ACC,81,12,Chattanooga,SC,58,,23,7,,0.514285714,0,-0.514285714
19-Mar-93,1993,1,Southeast,8,Utah,MWC,86,9,Pittsburgh,BE,85,,1,1,,0.6,0,-0.6
19-Mar-93,1993,1,West,1,Michigan,B10,84,16,Coastal Carolina,BSth,53,,31,15,,0.007142857,0,-0.007142857
19-Mar-93,1993,1,Midwest,9,Xavier,A10,73,8,New Orleans,SB,55,,18,-1,,0.7,0,-0.7
19-Mar-93,1993,1,West,9,UCLA,P10,81,8,Iowa St.,B12,70,,11,-1,,0.7,0,-0.7
20-Mar-93,1993,2,East,1,North Carolina,ACC,112,8,Rhode Island,A10,67,,45,7,,0.7,1,0.3
20-Mar-93,1993,2,East,4,Arkansas,SEC,80,5,St. John's,BE,74,,6,1,,1.107142857,1,-0.107142857
20-Mar-93,1993,2,Midwest,2,Kansas,B12,90,7,BYU,MWC,76,,14,5,,0.9,1,0.1
20-Mar-93,1993,2,Southeast,3,Florida St.,ACC,94,11,Tulane,CUSA,63,,31,8,,0.614285714,1,0.385714286
20-Mar-93,1993,2,West,3,Vanderbilt,SEC,85,6,Illinois,B10,68,,17,3,,1.078571429,1,-0.078571429
20-Mar-93,1993,2,West,7,Temple,A10,68,15,Santa Clara,WCC,57,,11,8,,0.064285714,1,0.935714286
20-Mar-93,1993,2,Southeast,7,Western Kentucky,SB,72,2,Seton Hall,BE,68,,4,-5,7 over 2,2.371428571,1,-1.371428571
20-Mar-93,1993,2,Midwest,6,California,P10,82,3,Duke,ACC,77,,5,-3,6 over 3,1.864285714,1,-0.864285714
21-Mar-93,1993,2,East,2,Cincinnati,CUSA,92,7,New Mexico St.,SB,55,,37,5,,0.9,1,0.1
21-Mar-93,1993,2,Midwest,1,Indiana,B10,73,9,Xavier,A10,70,,3,8,,0.6,1,0.4
21-Mar-93,1993,2,Midwest,4,Louisville,CUSA,78,5,Oklahoma St.,B12,63,,15,1,,1.107142857,1,-0.107142857
21-Mar-93,1993,2,Southeast,1,Kentucky,SEC,83,8,Utah,MWC,62,,21,7,,0.7,1,0.3
21-Mar-93,1993,2,West,1,Michigan,B10,86,9,UCLA,P10,84,1 OT,2,8,,0.6,1,0.4
21-Mar-93,1993,2,West,12,George Washington,A10,90,13,Southern,SWAC,80,,10,1,,0.25,1,0.75
21-Mar-93,1993,2,East,6,Virginia,ACC,71,3,Massachusetts,A10,56,,15,-3,6 over 3,1.864285714,1,-0.864285714
21-Mar-93,1993,2,Southeast,5,Wake Forest,ACC,84,4,Iowa,B10,78,,6,-1,,1.535714286,1,-0.535714286
25-Mar-93,1993,3,Midwest,1,Indiana,B10,82,4,Louisville,CUSA,69,,13,3,,1.535714286,2,0.464285714
25-Mar-93,1993,3,Midwest,2,Kansas,B12,93,6,California,P10,76,,17,4,,1.078571429,2,0.921428571
25-Mar-93,1993,3,Southeast,1,Kentucky,SEC,103,5,Wake Forest,ACC,69,,34,4,,1.107142857,2,0.892857143
25-Mar-93,1993,3,Southeast,3,Florida St.,ACC,81,7,Western Kentucky,SB,78,1 OT,3,4,,0.9,2,1.1
26-Mar-93,1993,3,East,1,North Carolina,ACC,80,4,Arkansas,SEC,74,,6,3,,1.535714286,2,0.464285714
26-Mar-93,1993,3,East,2,Cincinnati,CUSA,71,6,Virginia,ACC,54,,17,4,,1.078571429,2,0.921428571
26-Mar-93,1993,3,West,1,Michigan,B10,72,12,George Washington,A10,64,,8,11,,0.514285714,2,1.485714286
26-Mar-93,1993,3,West,7,Temple,A10,67,3,Vanderbilt,SEC,59,,8,-4,7 over 3,1.864285714,2,0.135714286
27-Mar-93,1993,4,Southeast,1,Kentucky,SEC,106,3,Florida St.,ACC,81,,25,2,,1.864285714,3,1.135714286
27-Mar-93,1993,4,Midwest,2,Kansas,B12,83,1,Indiana,B10,77,,6,-1,,3.357142857,3,-0.357142857
28-Mar-93,1993,4,East,1,North Carolina,ACC,75,2,Cincinnati,CUSA,68,1 OT,7,1,,2.371428571,3,0.628571429
28-Mar-93,1993,4,West,1,Michigan,B10,77,7,Temple,A10,72,,5,6,,0.9,3,2.1
3-Apr-93,1993,5,Final Four,1,North Carolina,ACC,78,2,Kansas,B12,68,,10,1,,2.371428571,4,1.628571429
3-Apr-93,1993,5,Final Four,1,Michigan,B10,81,1,Kentucky,SEC,78,1 OT,3,0,,3.357142857,4,0.642857143
5-Apr-93,1993,6,Championship,1,North Carolina,ACC,77,1,Michigan,B10,71,,6,0,,3.357142857,5,1.642857143
17-Mar-94,1994,1,West,12,Green Bay,Horz,61,5,California,P10,57,,4,-7,12 over 5,1.107142857,0,-1.107142857
17-Mar-94,1994,1,East,2,Connecticut,BE,64,15,Rider,MAAC,46,,18,13,,0.064285714,0,-0.064285714
17-Mar-94,1994,1,East,3,Florida,SEC,64,14,James Madison,CAA,62,,2,11,,0.164285714,0,-0.164285714
17-Mar-94,1994,1,Midwest,2,Massachusetts,A10,78,15,Texas St.,Slnd,60,,18,13,,0.064285714,0,-0.064285714
17-Mar-94,1994,1,Midwest,3,Michigan,B10,78,14,Pepperdine,WCC,74,1 OT,4,11,,0.164285714,0,-0.164285714
17-Mar-94,1994,1,Midwest,6,Texas,B12,91,11,Western Kentucky,SB,77,,14,5,,0.614285714,0,-0.614285714
17-Mar-94,1994,1,Southeast,1,Purdue,B10,98,16,UCF,ASun,67,,31,15,,0.007142857,0,-0.007142857
17-Mar-94,1994,1,Southeast,4,Kansas,B12,102,13,Chattanooga,SC,73,,29,9,,0.25,0,-0.25
17-Mar-94,1994,1,Southeast,5,Wake Forest,ACC,68,12,Charleston Southern,BSth,58,,10,7,,0.514285714,0,-0.514285714
17-Mar-94,1994,1,West,1,Missouri,B12,76,16,Navy,Pat,53,,23,15,,0.007142857,0,-0.007142857
17-Mar-94,1994,1,West,4,Syracuse,BE,92,13,Hawaii,WAC,78,,14,9,,0.25,0,-0.25
17-Mar-94,1994,1,East,11,Penn,Ivy,90,6,Nebraska,B12,80,,10,-5,11 over 6,1.078571429,0,-1.078571429
17-Mar-94,1994,1,East,10,George Washington,A10,51,7,UAB,CUSA,46,,5,-3,10 over 7,0.9,0,-0.9
17-Mar-94,1994,1,Midwest,10,Maryland,ACC,74,7,Saint Louis,CUSA,66,,8,-3,10 over 7,0.9,0,-0.9
17-Mar-94,1994,1,Southeast,9,Alabama,SEC,76,8,Providence,BE,70,,6,-1,,0.7,0,-0.7
17-Mar-94,1994,1,West,9,Wisconsin,B10,80,8,Cincinnati,CUSA,72,,8,-1,,0.7,0,-0.7
18-Mar-94,1994,1,Midwest,12,Tulsa,WAC,112,5,UCLA,P10,102,,10,-7,12 over 5,1.107142857,0,-1.107142857
18-Mar-94,1994,1,East,1,North Carolina,ACC,71,16,Liberty,BSth,51,,20,15,,0.007142857,0,-0.007142857
18-Mar-94,1994,1,East,4,Temple,A10,61,13,Drexel,CAA,39,,22,9,,0.25,0,-0.25
18-Mar-94,1994,1,East,5,Indiana,B10,84,12,Ohio,MAC,72,,12,7,,0.514285714,0,-0.514285714
18-Mar-94,1994,1,Midwest,1,Arkansas,SEC,94,16,North Carolina A&T,MEAC,79,,15,15,,0.007142857,0,-0.007142857
18-Mar-94,1994,1,Midwest,4,Oklahoma St.,B12,65,13,New Mexico St.,SB,55,,10,9,,0.25,0,-0.25
18-Mar-94,1994,1,Southeast,2,Duke,ACC,82,15,Texas Southern,SWAC,70,,12,13,,0.064285714,0,-0.064285714
18-Mar-94,1994,1,Southeast,3,Kentucky,SEC,83,14,Tennessee St.,OVC,70,,13,11,,0.164285714,0,-0.164285714
18-Mar-94,1994,1,Southeast,6,Marquette,CUSA,81,11,Lafayette,Pat,59,,22,5,,0.614285714,0,-0.614285714
18-Mar-94,1994,1,Southeast,7,Michigan St.,B10,84,10,Seton Hall,BE,73,,11,3,,0.621428571,0,-0.621428571
18-Mar-94,1994,1,West,2,Arizona,P10,81,15,Loyola MD,MAAC,55,,26,13,,0.064285714,0,-0.064285714
18-Mar-94,1994,1,West,3,Louisville,CUSA,67,14,Boise St.,WAC,58,,9,11,,0.164285714,0,-0.164285714
18-Mar-94,1994,1,West,6,Minnesota,B10,74,11,Southern Illinois,MVC,60,,14,5,,0.614285714,0,-0.614285714
18-Mar-94,1994,1,West,7,Virginia,ACC,57,10,New Mexico,MWC,54,,3,3,,0.621428571,0,-0.621428571
18-Mar-94,1994,1,East,9,Boston College,BE,67,8,Washington St.,P10,64,,3,-1,,0.7,0,-0.7
18-Mar-94,1994,1,Midwest,9,Georgetown,BE,84,8,Illinois,B10,77,,7,-1,,0.7,0,-0.7
19-Mar-94,1994,2,Midwest,10,Maryland,ACC,95,2,Massachusetts,A10,87,,8,-8,10 over 2,2.371428571,1,-1.371428571
19-Mar-94,1994,2,East,2,Connecticut,BE,75,10,George Washington,A10,63,,12,8,,0.621428571,1,0.378571429
19-Mar-94,1994,2,East,3,Florida,SEC,70,11,Penn,Ivy,58,,12,8,,0.614285714,1,0.385714286
19-Mar-94,1994,2,Midwest,3,Michigan,B10,84,6,Texas,B12,79,,5,3,,1.078571429,1,-0.078571429
19-Mar-94,1994,2,Southeast,1,Purdue,B10,83,9,Alabama,SEC,73,,10,8,,0.6,1,0.4
19-Mar-94,1994,2,Southeast,4,Kansas,B12,69,5,Wake Forest,ACC,58,,11,1,,1.107142857,1,-0.107142857
19-Mar-94,1994,2,West,1,Missouri,B12,109,9,Wisconsin,B10,96,,13,8,,0.6,1,0.4
19-Mar-94,1994,2,West,4,Syracuse,BE,64,12,Green Bay,Horz,59,,5,8,,0.514285714,1,0.485714286
20-Mar-94,1994,2,East,9,Boston College,BE,75,1,North Carolina,ACC,72,,3,-8,9 over 1,3.357142857,1,-2.357142857
20-Mar-94,1994,2,Midwest,12,Tulsa,WAC,82,4,Oklahoma St.,B12,80,,2,-8,12 over 4,1.535714286,1,-0.535714286
20-Mar-94,1994,2,Midwest,1,Arkansas,SEC,85,9,Georgetown,BE,73,,12,8,,0.6,1,0.4
20-Mar-94,1994,2,Southeast,2,Duke,ACC,85,7,Michigan St.,B10,74,,11,5,,0.9,1,0.1
20-Mar-94,1994,2,West,2,Arizona,P10,71,7,Virginia,ACC,58,,13,5,,0.9,1,0.1
20-Mar-94,1994,2,West,3,Louisville,CUSA,60,6,Minnesota,B10,55,,5,3,,1.078571429,1,-0.078571429
20-Mar-94,1994,2,Southeast,6,Marquette,CUSA,75,3,Kentucky,SEC,63,,12,-3,6 over 3,1.864285714,1,-0.864285714
20-Mar-94,1994,2,East,5,Indiana,B10,67,4,Temple,A10,58,,9,-1,,1.535714286,1,-0.535714286
24-Mar-94,1994,3,Southeast,1,Purdue,B10,83,4,Kansas,B12,78,,5,3,,1.535714286,2,0.464285714
24-Mar-94,1994,3,Southeast,2,Duke,ACC,59,6,Marquette,CUSA,49,,10,4,,1.078571429,2,0.921428571
24-Mar-94,1994,3,West,1,Missouri,B12,98,4,Syracuse,BE,88,1 OT,10,3,,1.535714286,2,0.464285714
24-Mar-94,1994,3,West,2,Arizona,P10,82,3,Louisville,CUSA,70,,12,1,,1.864285714,2,0.135714286
25-Mar-94,1994,3,Midwest,1,Arkansas,SEC,103,12,Tulsa,WAC,84,,19,11,,0.514285714,2,1.485714286
25-Mar-94,1994,3,Midwest,3,Michigan,B10,78,10,Maryland,ACC,71,,7,7,,0.621428571,2,1.378571429
25-Mar-94,1994,3,East,9,Boston College,BE,77,5,Indiana,B10,68,,9,-4,9 over 5,1.107142857,2,0.892857143
25-Mar-94,1994,3,East,3,Florida,SEC,69,2,Connecticut,BE,60,1 OT,9,-1,,2.371428571,2,-0.371428571
26-Mar-94,1994,4,Southeast,2,Duke,ACC,69,1,Purdue,B10,60,,9,-1,,3.357142857,3,-0.357142857
26-Mar-94,1994,4,West,2,Arizona,P10,92,1,Missouri,B12,72,,20,-1,,3.357142857,3,-0.357142857
27-Mar-94,1994,4,East,3,Florida,SEC,74,9,Boston College,BE,66,,8,6,,0.6,3,2.4
27-Mar-94,1994,4,Midwest,1,Arkansas,SEC,76,3,Michigan,B10,68,,8,2,,1.864285714,3,1.135714286
2-Apr-94,1994,5,Final Four,1,Arkansas,SEC,91,2,Arizona,P10,82,,9,1,,2.371428571,4,1.628571429
2-Apr-94,1994,5,Final Four,2,Duke,ACC,70,3,Florida,SEC,65,,5,1,,1.864285714,4,2.135714286
4-Apr-94,1994,6,Championship,1,Arkansas,SEC,76,2,Duke,ACC,72,,4,1,,2.371428571,5,2.628571429
16-Mar-95,1995,1,Southeast,13,Manhattan,MAAC,77,4,Oklahoma,B12,67,,10,-9,13 over 4,1.535714286,0,-1.535714286
16-Mar-95,1995,1,Midwest,12,Miami OH,MAC,71,5,Arizona,P10,62,,9,-7,12 over 5,1.107142857,0,-1.107142857
16-Mar-95,1995,1,East,1,Wake Forest,ACC,79,16,North Carolina A&T,MEAC,47,,32,15,,0.007142857,0,-0.007142857
16-Mar-95,1995,1,East,4,Oklahoma St.,B12,73,13,Drexel,CAA,49,,24,9,,0.25,0,-0.25
16-Mar-95,1995,1,East,5,Alabama,SEC,91,12,Penn,Ivy,85,1 OT,6,7,,0.514285714,0,-0.514285714
16-Mar-95,1995,1,Midwest,1,Kansas,B12,82,16,Colgate,Pat,68,,14,15,,0.007142857,0,-0.007142857
16-Mar-95,1995,1,Midwest,4,Virginia,ACC,96,13,Nicholls St.,Slnd,72,,24,9,,0.25,0,-0.25
16-Mar-95,1995,1,Midwest,8,Western Kentucky,SB,82,9,Michigan,B10,76,1 OT,6,1,,0.6,0,-0.6
16-Mar-95,1995,1,Southeast,1,Kentucky,SEC,113,16,Mount St. Mary's,NEC,67,,46,15,,0.007142857,0,-0.007142857
16-Mar-95,1995,1,Southeast,5,Arizona St.,P10,81,12,Ball St.,MAC,66,,15,7,,0.514285714,0,-0.514285714
16-Mar-95,1995,1,West,2,Connecticut,BE,100,15,Chattanooga,SC,71,,29,13,,0.064285714,0,-0.064285714
16-Mar-95,1995,1,West,3,Maryland,ACC,87,14,Gonzaga,WCC,63,,24,11,,0.164285714,0,-0.164285714
16-Mar-95,1995,1,West,7,Cincinnati,CUSA,77,10,Temple,A10,71,,6,3,,0.621428571,0,-0.621428571
16-Mar-95,1995,1,West,11,Texas,B12,90,6,Oregon,P10,73,,17,-5,11 over 6,1.078571429,0,-1.078571429
16-Mar-95,1995,1,East,9,Saint Louis,CUSA,64,8,Minnesota,B10,61,1 OT,3,-1,,0.7,0,-0.7
16-Mar-95,1995,1,Southeast,9,Tulane,CUSA,76,8,BYU,MWC,70,,6,-1,,0.7,0,-0.7
17-Mar-95,1995,1,East,14,Old Dominion,CAA,89,3,Villanova,BE,81,3 OT,8,-11,14 over 3,1.864285714,0,-1.864285714
17-Mar-95,1995,1,Southeast,14,Weber St.,BSky,79,3,Michigan St.,B10,72,,7,-11,14 over 3,1.864285714,0,-1.864285714
17-Mar-95,1995,1,East,2,Massachusetts,A10,68,15,Saint Peter's,MAAC,51,,17,13,,0.064285714,0,-0.064285714
17-Mar-95,1995,1,East,6,Tulsa,WAC,68,11,Illinois,B10,62,,6,5,,0.614285714,0,-0.614285714
17-Mar-95,1995,1,Midwest,2,Arkansas,SEC,79,15,Texas Southern,SWAC,78,,1,13,,0.064285714,0,-0.064285714
17-Mar-95,1995,1,Midwest,3,Purdue,B10,49,14,Green Bay,Horz,48,,1,11,,0.164285714,0,-0.164285714
17-Mar-95,1995,1,Midwest,6,Memphis,CUSA,77,11,Louisville,CUSA,56,,21,5,,0.614285714,0,-0.614285714
17-Mar-95,1995,1,Midwest,7,Syracuse,BE,96,10,Southern Illinois,MVC,92,,4,3,,0.621428571,0,-0.621428571
17-Mar-95,1995,1,Southeast,2,North Carolina,ACC,80,15,Murray St.,OVC,70,,10,13,,0.064285714,0,-0.064285714
17-Mar-95,1995,1,Southeast,6,Georgetown,BE,68,11,Xavier,A10,63,,5,5,,0.614285714,0,-0.614285714
17-Mar-95,1995,1,Southeast,7,Iowa St.,B12,64,10,Florida,SEC,61,,3,3,,0.621428571,0,-0.621428571
17-Mar-95,1995,1,West,1,UCLA,P10,92,16,FIU,SB,56,,36,15,,0.007142857,0,-0.007142857
17-Mar-95,1995,1,West,4,Utah,MWC,76,13,Long Beach St.,BW,64,,12,9,,0.25,0,-0.25
17-Mar-95,1995,1,West,5,Mississippi St.,SEC,75,12,Santa Clara,WCC,67,,8,7,,0.514285714,0,-0.514285714
17-Mar-95,1995,1,West,8,Missouri,B12,65,9,Indiana,B10,60,,5,1,,0.6,0,-0.6
17-Mar-95,1995,1,East,10,Stanford,P10,70,7,Charlotte,CUSA,68,,2,-3,10 over 7,0.9,0,-0.9
18-Mar-95,1995,2,East,1,Wake Forest,ACC,64,9,Saint Louis,CUSA,59,,5,8,,0.6,1,0.4
18-Mar-95,1995,2,East,4,Oklahoma St.,B12,66,5,Alabama,SEC,52,,14,1,,1.107142857,1,-0.107142857
18-Mar-95,1995,2,Midwest,1,Kansas,B12,75,8,Western Kentucky,SB,70,,5,7,,0.7,1,0.3
18-Mar-95,1995,2,Midwest,4,Virginia,ACC,60,12,Miami OH,MAC,54,1 OT,6,8,,0.514285714,1,0.485714286
18-Mar-95,1995,2,Southeast,1,Kentucky,SEC,82,9,Tulane,CUSA,60,,22,8,,0.6,1,0.4
18-Mar-95,1995,2,Southeast,5,Arizona St.,P10,64,13,Manhattan,MAAC,54,,10,8,,0.25,1,0.75
18-Mar-95,1995,2,West,2,Connecticut,BE,96,7,Cincinnati,CUSA,91,,5,5,,0.9,1,0.1
18-Mar-95,1995,2,West,3,Maryland,ACC,82,11,Texas,B12,68,,14,8,,0.614285714,1,0.385714286
19-Mar-95,1995,2,East,2,Massachusetts,A10,75,10,Stanford,P10,53,,22,8,,0.621428571,1,0.378571429
19-Mar-95,1995,2,East,6,Tulsa,WAC,64,14,Old Dominion,CAA,52,,12,8,,0.164285714,1,0.835714286
19-Mar-95,1995,2,Midwest,2,Arkansas,SEC,96,7,Syracuse,BE,94,1 OT,2,5,,0.9,1,0.1
19-Mar-95,1995,2,Southeast,2,North Carolina,ACC,73,7,Iowa St.,B12,51,,22,5,,0.9,1,0.1
19-Mar-95,1995,2,Southeast,6,Georgetown,BE,53,14,Weber St.,BSky,51,,2,8,,0.164285714,1,0.835714286
19-Mar-95,1995,2,West,1,UCLA,P10,75,8,Missouri,B12,74,,1,7,,0.7,1,0.3
19-Mar-95,1995,2,Midwest,6,Memphis,CUSA,75,3,Purdue,B10,73,,2,-3,6 over 3,1.864285714,1,-0.864285714
19-Mar-95,1995,2,West,5,Mississippi St.,SEC,78,4,Utah,MWC,64,,14,-1,,1.535714286,1,-0.535714286
23-Mar-95,1995,3,Southeast,1,Kentucky,SEC,97,5,Arizona St.,P10,73,,24,4,,1.107142857,2,0.892857143
23-Mar-95,1995,3,Southeast,2,North Carolina,ACC,74,6,Georgetown,BE,64,,10,4,,1.078571429,2,0.921428571
23-Mar-95,1995,3,West,1,UCLA,P10,86,5,Mississippi St.,SEC,67,,19,4,,1.107142857,2,0.892857143
23-Mar-95,1995,3,West,2,Connecticut,BE,99,3,Maryland,ACC,89,,10,1,,1.864285714,2,0.135714286
24-Mar-95,1995,3,East,2,Massachusetts,A10,76,6,Tulsa,WAC,51,,25,4,,1.078571429,2,0.921428571
24-Mar-95,1995,3,Midwest,2,Arkansas,SEC,96,6,Memphis,CUSA,91,1 OT,5,4,,1.078571429,2,0.921428571
24-Mar-95,1995,3,East,4,Oklahoma St.,B12,71,1,Wake Forest,ACC,66,,5,-3,4 over 1,3.357142857,2,-1.357142857
24-Mar-95,1995,3,Midwest,4,Virginia,ACC,67,1,Kansas,B12,58,,9,-3,4 over 1,3.357142857,2,-1.357142857
25-Mar-95,1995,4,West,1,UCLA,P10,102,2,Connecticut,BE,96,,6,1,,2.371428571,3,0.628571429
25-Mar-95,1995,4,Southeast,2,North Carolina,ACC,74,1,Kentucky,SEC,61,,13,-1,,3.357142857,3,-0.357142857
26-Mar-95,1995,4,Midwest,2,Arkansas,SEC,68,4,Virginia,ACC,61,,7,2,,1.535714286,3,1.464285714
26-Mar-95,1995,4,East,4,Oklahoma St.,B12,68,2,Massachusetts,A10,54,,14,-2,,2.371428571,3,0.628571429
1-Apr-95,1995,5,Final Four,1,UCLA,P10,74,4,Oklahoma St.,B12,61,,13,3,,1.535714286,4,2.464285714
1-Apr-95,1995,5,Final Four,2,Arkansas,SEC,75,2,North Carolina,ACC,68,,7,0,,2.371428571,4,1.628571429
3-Apr-95,1995,6,Championship,1,UCLA,P10,89,2,Arkansas,SEC,78,,11,1,,2.371428571,5,2.628571429
14-Mar-96,1996,1,Southeast,13,Princeton,Ivy,43,4,UCLA,P10,41,,2,-9,13 over 4,1.535714286,0,-1.535714286
14-Mar-96,1996,1,East,12,Arkansas,SEC,86,5,Penn St.,B10,80,,6,-7,12 over 5,1.107142857,0,-1.107142857
14-Mar-96,1996,1,West,12,Drexel,CAA,75,5,Memphis,CUSA,63,,12,-7,12 over 5,1.107142857,0,-1.107142857
14-Mar-96,1996,1,East,1,Massachusetts,A10,92,16,UCF,ASun,70,,22,15,,0.007142857,0,-0.007142857
14-Mar-96,1996,1,East,4,Marquette,CUSA,68,13,Monmouth,NEC,44,,24,9,,0.25,0,-0.25
14-Mar-96,1996,1,Midwest,1,Kentucky,SEC,110,16,San Jose St.,WAC,72,,38,15,,0.007142857,0,-0.007142857
14-Mar-96,1996,1,Midwest,4,Utah,MWC,72,13,Canisius,MAAC,43,,29,9,,0.25,0,-0.25
14-Mar-96,1996,1,Midwest,5,Iowa St.,B12,74,12,California,P10,64,,10,7,,0.514285714,0,-0.514285714
14-Mar-96,1996,1,Southeast,1,Connecticut,BE,68,16,Colgate,Pat,59,,9,15,,0.007142857,0,-0.007142857
14-Mar-96,1996,1,Southeast,5,Mississippi St.,SEC,58,12,VCU,CAA,51,,7,7,,0.514285714,0,-0.514285714
