"Year","Round","Fseed","Favored","Fscore","Useed","Underdog","Uscore","Winner","PAKE.x","PASE.x","Season.x","NCAA.x","G.x","W.x","L.x","W.L..x","SRS.x","SOS.x","CW.x","CL.x","HW.x","HL.x","CW2.x","CL3.x","TmP.x","OppP.x","MP.x","FG.x","FGA.x","FG..x","X3P.x","X3PA.x","X3P..x","FT.x","FTA.x","FT..x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","PAKE.y","PASE.y","Season.y","NCAA.y","G.y","W.y","L.y","W.L..y","SRS.y","SOS.y","CW.y","CL.y","HW.y","HL.y","CW2.y","CL3.y","TmP.y","OppP.y","MP.y","FG.y","FGA.y","FG..y","X3P.y","X3PA.y","X3P..y","FT.y","FTA.y","FT..y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2002,"1",1,"Duke",84,16,"Winthrop",37,"Duke",-1.8,-5.1,"2001-02","NCAAT",35,31,4,0.886,28.91,9.16,13,3,13,0,7,3,3112,2421,NA,1093,2209,0.495,301,830,0.363,625,906,0.69,428,1303,625,351,113,501,NA,34.19,121,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,-0.8,-0.5,"2001-02","NCAAT",31,19,12,0.613,-6.54,-8.21,10,4,9,4,7,5,2092,2018,1250,725,1735,0.418,194,630,0.308,448,684,0.655,405,1178,359,236,129,459,NA,-5.31,97.3,102.6,65.9,0.038,-10.73,97,107.7,-0.98
2002,"1",2,"Alabama",86,15,"Florida Atlantic",78,"Alabama",-0.2,-0.6,"2001-02","NCAAT",35,27,8,0.771,16.93,7.67,12,4,17,0,4,4,2658,2334,NA,910,2071,0.439,217,703,0.309,621,844,0.736,509,1369,460,257,113,490,NA,18.73,114,95.3,68,0.076,8.59,107.1,98.5,-1.56,-0.1,-0.1,"2001-02","NCAAT",31,19,12,0.613,-3.95,-5.33,13,7,10,3,6,8,2303,2235,NA,859,2011,0.427,178,527,0.338,407,611,0.666,505,1212,483,294,108,474,NA,-2.5,99.6,102.1,70.2,0.06,-4.94,101.9,106.9,-4.52
2002,"1",5,"Indiana",75,12,"Utah",56,"Indiana",0,0.1,"2001-02","NCAAT",37,25,12,0.676,19.19,12.08,11,5,10,1,6,5,2607,2316,NA,916,1990,0.46,270,659,0.41,505,726,0.696,406,1303,546,254,192,508,NA,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,-1.5,-1.6,"2001-02","NCAAT",30,21,9,0.7,10.68,5.18,10,4,14,2,6,6,2018,1839,NA,688,1467,0.469,236,582,0.405,406,603,0.673,263,917,439,180,82,397,NA,14.08,111.4,97.3,62.1,0.01,5.38,106.2,100.8,1.57
2002,"1",8,"Notre Dame",82,9,"Charlotte",63,"Notre Dame",-0.4,-1.4,"2001-02","NCAAT",33,22,11,0.667,15.7,6.17,10,6,9,4,7,4,2601,2256,NA,934,2037,0.459,244,644,0.379,489,690,0.709,436,1351,629,259,163,435,NA,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55,-1,-1.7,"2001-02","NCAAT",30,18,12,0.6,13.61,8.68,11,5,11,3,6,7,2205,2057,1205,761,1730,0.44,247,676,0.365,436,616,0.708,377,1136,416,203,72,408,NA,15.73,114.2,98.5,66.8,-0.008,9.23,107.3,98.1,6.48
2002,"1",3,"Arizona",86,14,"UC Santa Barbara",81,"Arizona",2.7,1.2,"2001-02","NCAAT",34,24,10,0.706,16.93,12.49,12,6,13,4,6,5,2793,2642,NA,935,2039,0.459,258,686,0.376,665,910,0.731,430,1286,527,207,103,478,NA,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56,-0.6,-0.3,"2001-02","NCAAT",31,20,11,0.645,5.55,-0.05,11,7,11,2,5,8,2066,1889,NA,693,1544,0.449,201,499,0.403,479,634,0.756,301,1078,454,171,87,423,NA,8.87,108.2,99.3,63.4,-0.058,0.45,103.1,102.6,3.37
2002,"1",4,"Ohio St.",69,13,"Davidson",64,"Ohio St.",-3.2,-2.8,"2001-02","NCAAT",32,24,8,0.75,16.14,7.26,11,5,15,2,5,5,2362,2078,NA,825,1702,0.485,175,466,0.376,537,795,0.675,351,1052,483,193,75,421,NA,19.76,116.4,96.6,66.8,0.005,7.51,106.6,99.1,-1.26,-1.1,0.3,"2001-02","NCAAT",31,21,10,0.677,0.6,0.71,11,5,11,2,7,6,2192,2046,NA,776,1778,0.436,249,705,0.353,391,574,0.681,369,1193,484,210,116,486,NA,3.7,101.5,97.8,65.1,0.142,1.8,104.2,102.4,9.42
2002,"1",10,"Kent St.",69,7,"Oklahoma St.",61,"Kent St.",1.3,1.9,"2001-02","NCAAT",36,30,6,0.833,13.67,2.1,17,1,12,0,10,3,2732,2305,1450,986,2102,0.469,224,614,0.365,536,736,0.728,474,1322,483,229,72,391,NA,20.39,116.7,96.4,64.7,0.008,3.11,106,102.9,2.99,-2.6,-2.7,"2001-02","NCAAT",32,23,9,0.719,14.39,6.8,10,6,13,2,5,5,2293,2050,NA,835,1863,0.448,167,510,0.327,456,708,0.644,481,1279,460,247,110,486,NA,15.8,107.9,92.1,66,0.047,7.11,107.8,100.7,0.53
2002,"1",5,"Florida",82,12,"Creighton",83,"Creighton",8.6,11.3,"2001-02","NCAAT",31,22,9,0.71,22.27,8.37,10,6,13,2,6,4,2495,2064,NA,892,1899,0.47,232,658,0.353,479,687,0.697,430,1203,519,307,141,463,NA,24.72,115.1,90.4,69.6,-0.073,9.11,108.1,99,-0.56,-5,-5.3,"2001-02","NCAAT",32,23,9,0.719,8.38,1.38,14,4,12,3,7,5,2421,2197,1310,849,1829,0.464,230,619,0.372,493,675,0.73,384,1142,488,261,125,458,NA,11.82,111.3,99.5,66.9,0.029,1.39,104.8,103.4,0.94
2002,"1",6,"Texas Tech",68,11,"Southern Illinois",76,"Southern Illinois",2.3,3.1,"2001-02","NCAAT",32,23,9,0.719,14.72,7.22,10,6,15,2,6,5,2532,2292,NA,931,1999,0.466,146,388,0.376,524,768,0.682,419,1230,588,243,134,397,NA,17.24,114.6,97.4,69.8,0.061,6.69,106.8,100.2,-0.13,-0.2,0.1,"2001-02","NCAAT",36,28,8,0.778,9.79,1.67,14,4,13,0,9,5,2717,2425,NA,976,2115,0.461,220,601,0.366,545,880,0.619,483,1396,547,262,171,493,NA,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16
2002,"1",1,"Maryland",85,16,"Siena",70,"Maryland",2.7,2.8,"2001-02","NCAAT",36,32,4,0.889,23.5,9.38,15,1,15,0,7,2,3060,2552,1440,1083,2248,0.482,217,580,0.374,677,933,0.726,473,1479,714,302,216,495,NA,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,0.4,0.9,"2001-02","NCAAT",36,17,19,0.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,1480,853,2044,0.417,250,722,0.346,561,754,0.744,402,1361,465,199,149,550,NA,-1.21,100.8,102,66.5,-0.07,-4.14,100.1,104.2,-0.42
2002,"1",2,"Connecticut",78,15,"Hampton",67,"Connecticut",11.7,11.5,"2001-02","NCAAT",34,27,7,0.794,16.02,7.43,13,3,13,1,7,3,2646,2354,NA,972,2012,0.483,154,391,0.394,548,787,0.696,464,1381,494,256,236,545,NA,19.36,112.2,92.8,68.7,0.063,8.18,107.3,99.1,1.72,0.6,0.9,"2001-02","NCAAT",33,26,7,0.788,-0.4,-8.9,17,1,10,0,11,4,2623,2344,NA,933,1940,0.481,218,615,0.354,539,805,0.67,457,1241,470,265,115,489,NA,3.99,109.9,105.9,69.1,0.013,-8.67,98.3,107,0.87
2002,"1",3,"Georgia",85,14,"Murray St.",68,"Georgia",-2.5,-3,"2001-02","NCAAT",32,22,10,0.688,14.68,9.24,10,6,12,2,6,6,2444,2271,1290,871,1947,0.447,189,588,0.321,513,696,0.737,468,1226,495,281,114,455,NA,18.44,116.7,98.3,69.2,-0.021,9.87,108.1,98.2,3.3,-0.5,-0.2,"2001-02","NCAAT",32,19,13,0.594,0.65,-1.94,10,6,11,4,5,8,2514,2349,NA,941,2093,0.45,210,652,0.322,422,584,0.723,510,1281,465,258,158,456,NA,1.35,106.8,105.5,69.2,0.017,-1.74,103.2,104.9,3.98
