"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2002,"1",2,"Oklahoma",71,15,"Illinois Chicago",63,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45,3.85,108.9,105,67.5,0.04,1.84,104.1,102.2,0.66
2002,"1",7,"Xavier",70,10,"Hawaii",58,18.6,111.2,92.6,67,0.051,5.09,106.7,101.6,5.37,13.15,110.3,97.2,65.6,0.007,-0.72,102.8,103.5,-9.7
2002,"1",8,"UCLA",80,9,"Mississippi",58,16.34,113.7,97.3,68.1,0.048,12,110.1,98.1,8.58,16.68,113.3,96.7,64.7,-0.04,7.32,105.9,98.6,-6.23
2002,"2",10,"Kent St.",71,2,"Alabama",58,20.39,116.7,96.4,64.7,0.008,3.11,106,102.9,2.99,18.73,114,95.3,68,0.076,8.59,107.1,98.5,-1.56
2002,"2",12,"Missouri",83,4,"Ohio St.",67,17.49,116.2,98.7,70.1,-0.01,7.92,108,100,-0.39,19.76,116.4,96.6,66.8,0.005,7.51,106.6,99.1,-1.26
2002,"2",4,"Kentucky",87,12,"Tulsa",82,22.21,113.4,91.2,68,-0.029,12.97,110.1,97.1,6.75,15.59,116,100.4,69.5,0.001,2.03,103.7,101.7,-1.44
2002,"2",1,"Kansas",86,8,"Stanford",63,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11
2002,"2",2,"Oregon",92,7,"Wake Forest",87,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85
2002,"2",1,"Duke",84,8,"Notre Dame",77,34.19,121,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55
2002,"2",5,"Indiana",76,13,"UNC Wilmington",67,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,11.32,107.4,96.1,63.9,-0.003,0.83,103.2,102.4,4.56
2002,"2",3,"Arizona",68,11,"Wyoming",60,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56,11.01,107.8,96.7,69,0.032,3.51,105.5,102,-5.47
2002,"2",11,"Southern Illinois",77,3,"Georgia",75,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16,18.44,116.7,98.3,69.2,-0.021,9.87,108.1,98.2,3.3
2002,"2",8,"UCLA",105,1,"Cincinnati",101,16.34,113.7,97.3,68.1,0.048,12,110.1,98.1,8.58,30.19,118.1,87.9,67.4,0.002,6.58,106.3,99.7,3.48
2002,"2",1,"Maryland",87,8,"Wisconsin",57,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,13.22,110.7,97.5,63.3,0.049,10.57,108.9,98.3,8.49
2002,"2",2,"Connecticut",77,7,"North Carolina St.",74,19.36,112.2,92.8,68.7,0.063,8.18,107.3,99.1,1.72,19.15,113.2,94,67.5,0.012,8.27,108.6,100.4,-5.56
2002,"2",4,"Illinois",72,12,"Creighton",60,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78,11.82,111.3,99.5,66.9,0.029,1.39,104.8,103.4,0.94
2002,"2",3,"Pittsburgh",63,6,"California",50,19.94,112.1,92.2,63.8,0,3.12,103.7,100.6,-12.06,16.03,109.8,93.7,66.6,0.088,7.89,107.9,100,-5.85
2002,"2",2,"Oklahoma",78,7,"Xavier",65,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45,18.6,111.2,92.6,67,0.051,5.09,106.7,101.6,5.37
2002,"2",6,"Texas",68,3,"Mississippi St.",64,17.69,116,98.3,68.5,-0.021,10.18,109.1,98.9,5.3,18.25,111.4,93.1,67.9,0.107,8.93,106.7,97.7,-0.96
2002,"3",10,"Kent St.",78,3,"Pittsburgh",73,20.39,116.7,96.4,64.7,0.008,3.11,106,102.9,2.99,19.94,112.1,92.2,63.8,0,3.12,103.7,100.6,-12.06
2002,"3",5,"Indiana",74,1,"Duke",73,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,34.19,121,86.8,74.5,-0.027,9.87,109.1,99.2,6.66
2002,"3",12,"Missouri",82,8,"UCLA",73,17.49,116.2,98.7,70.1,-0.01,7.92,108,100,-0.39,16.34,113.7,97.3,68.1,0.048,12,110.1,98.1,8.58
2002,"3",2,"Oklahoma",88,3,"Arizona",67,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56
2002,"3",1,"Maryland",78,4,"Kentucky",68,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,22.21,113.4,91.2,68,-0.029,12.97,110.1,97.1,6.75
2002,"3",2,"Connecticut",71,11,"Southern Illinois",59,19.36,112.2,92.8,68.7,0.063,8.18,107.3,99.1,1.72,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16
2002,"3",1,"Kansas",73,4,"Illinois",69,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78
2002,"3",2,"Oregon",72,6,"Texas",70,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,17.69,116,98.3,68.5,-0.021,10.18,109.1,98.9,5.3
2002,"4",5,"Indiana",81,10,"Kent St.",69,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,20.39,116.7,96.4,64.7,0.008,3.11,106,102.9,2.99
2002,"4",2,"Oklahoma",81,12,"Missouri",75,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45,17.49,116.2,98.7,70.1,-0.01,7.92,108,100,-0.39
2002,"4",1,"Maryland",90,2,"Connecticut",82,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,19.36,112.2,92.8,68.7,0.063,8.18,107.3,99.1,1.72
2002,"4",1,"Kansas",104,2,"Oregon",86,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3
2002,"5",1,"Maryland",97,1,"Kansas",88,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32
2002,"5",5,"Indiana",73,2,"Oklahoma",64,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,26.04,114.9,88.9,66.5,0.043,8.77,109,100.2,-0.45
2002,"6",1,"Maryland",64,5,"Indiana",52,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,24.8,114,89.2,65.6,-0.049,14.11,110.8,96.7,13.53
2003,"PI",16,"UNC Asheville",92,16,"Texas Southern",84,-12.35,101.2,113.5,68,0.119,-6.45,98.3,104.7,11.61,-10.45,98.3,108.7,68.4,0.037,-12.96,94.4,107.4,-8.09
2003,"1",13,"Tulsa",84,4,"Dayton",71,13.04,107.9,94.9,67.4,-0.061,1.05,102.7,101.7,4.16,14.53,116.4,101.9,64.4,0.084,4.91,104.4,99.5,5.51
2003,"1",11,"Central Michigan",79,6,"Creighton",73,10.01,109.5,99.4,71.7,0.137,2.06,104.3,102.3,2.86,17.54,112.4,94.9,68.4,0.026,-0.19,102.5,102.7,-0.51
2003,"1",1,"Oklahoma",71,16,"South Carolina St.",54,23.01,112.1,89.1,62.7,0.034,9.01,106.7,97.7,-2.32,-8.59,96.4,105,71.7,0.115,-12.27,95.2,107.5,-0.55
2003,"1",8,"California",76,9,"North Carolina St.",74,13.59,109.9,96.3,65.9,0.061,7.06,106.7,99.6,0.3,13.18,111.2,98.1,65,-0.023,8.48,106.9,98.4,-6.48
2003,"1",3,"Marquette",72,14,"Holy Cross",68,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45,10.4,105.5,95.1,65.1,0.065,-5.57,99,104.5,-0.64
2003,"1",5,"Wisconsin",81,12,"Weber St.",74,22.07,114.4,92.4,61.9,-0.024,6.46,106.1,99.6,-1.01,8.88,111.4,102.5,66.5,0.073,-1.73,100.5,102.2,1.29
2003,"1",6,"Missouri",72,11,"Southern Illinois",71,17.32,111.5,94.2,66.9,0.043,11.14,107.1,95.9,2.97,11.76,110.3,98.6,67.8,0.063,1.97,103.5,101.5,3.35
2003,"1",4,"Stanford",77,13,"San Diego",69,14.57,109.8,95.2,65.6,0.066,7.26,106.2,98.9,3.75,8.32,104.7,96.4,70.9,0.003,3.37,104.8,101.4,6.03
2003,"1",5,"Connecticut",58,12,"BYU",53,19.54,111.6,92,71.2,0.005,8.75,107.3,98.6,-3.48,17.68,109.4,91.7,65.5,-0.031,5.49,107.3,101.8,5.2
2003,"1",1,"Arizona",80,16,"Vermont",51,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19,1.57,101.1,99.5,64.4,0.019,-5.14,99.3,104.4,-2.29
