Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner,PAKE.d,PASE.d,G.d,W.d,L.d,W.L..d,SRS.d,SOS.d,CW.d,CL.d,HW.d,HL.d,CW2.d,CL3.d,TmP.d,OppP.d,MP.d,FG.d,FGA.d,FG..d,X3P.d,X3PA.d,X3P..d,FT.d,FTA.d,FT..d,ORB.d,TRB.d,AST.d,STL.d,BLK.d,TOV.d,PF.d,AdjEM.d,AdjO.d,AdjD.d,AdjT.d,Luck.d,SoS.AdjEM.d,OppO.d,OppD.d,NCSOS.AdjEM.d
2002,1,6,Texas Tech,68,11,Southern Illinois,76,Southern Illinois,2.5,3,-4,-5,1,-0.059,4.93,5.55,-4,2,2,2,-3,0,-185,-133,,-45,-116,0.005,-74,-213,0.01,-21,-112,0.063,-64,-166,41,-19,-37,-96,,3.79,5.4,1.7,-0.8,0.027,4.58,1.6,-2.9,-3.29
2002,1,1,Maryland,85,16,Siena,70,Maryland,2.3,1.9,0,15,-15,0.417,26.24,13.09,6,-8,3,-5,4,-9,543,70,-40,230,204,0.065,-33,-142,0.028,116,179,-0.018,71,118,249,103,67,-55,,30.46,18.4,-12.1,7.2,0.095,14.02,9,-4.9,2.04
2002,1,2,Connecticut,78,15,Hampton,67,Connecticut,11.1,10.6,1,1,0,0.006,16.42,16.33,-4,2,3,1,-4,-1,23,10,,39,72,0.002,-64,-224,0.04,9,-18,0.026,7,140,24,-9,121,56,,15.37,2.3,-13.1,-0.4,0.05,16.85,9,-7.9,0.85
2002,1,3,Georgia,85,14,Murray St.,68,Georgia,-2,-2.8,0,3,-3,0.094,14.03,11.18,0,0,1,-2,1,-2,-70,-78,,-70,-146,-0.003,-21,-64,-0.001,91,112,0.014,-42,-55,30,23,-44,-1,,17.09,9.9,-7.2,0,-0.038,11.61,4.9,-6.7,-0.68
2002,1,7,North Carolina St.,69,10,Michigan St.,58,North Carolina St.,-11.6,-12.7,3,4,-1,0.063,0.95,-1.43,-1,1,-1,2,2,0,415,326,120,99,256,-0.01,98,315,-0.033,119,170,-0.016,-23,-44,109,114,-21,-9,,2.29,0.2,-2.2,4.2,0.038,-1.49,0.1,1.7,-7.07
2002,1,8,Wisconsin,80,9,St. John's,70,Wisconsin,5.9,11.3,0,-1,1,-0.031,2.29,2.92,2,-2,-2,-1,3,1,-106,-101,,-53,-278,0.035,72,109,0.069,-72,-156,0.049,-170,-174,39,-135,-60,-70,,4.16,8,3.9,-5.8,-0.04,4.17,2.4,-1.8,9.28
2002,1,3,Mississippi St.,70,14,McNeese St.,58,Mississippi St.,-3.6,-3.8,5,6,-1,0.071,15.01,13.13,-7,3,1,1,-1,-3,480,425,,200,278,0.04,21,85,-0.019,59,91,0,51,220,179,34,-30,103,,12.86,8.2,-4.7,1.7,0.084,13.53,7.1,-6.5,-13.77
2002,1,4,Illinois,93,13,San Diego St.,64,Illinois,0.3,2.6,2,5,-3,0.107,11.51,3.92,4,-2,1,-2,-1,-2,253,30,,2,30,-0.006,107,283,0.008,142,110,0.08,-8,45,118,33,18,3,,13.92,8.8,-5.1,-1.5,-0.039,4.96,3,-2,6.11
2002,1,6,Texas,70,11,Boston College,57,Texas,-3.2,-1,2,2,0,0.022,5.36,4.07,2,-2,-1,0,2,-1,303,232,,148,183,0.034,-12,-85,0.031,19,38,-0.009,72,164,85,-48,25,17,,7.72,6.6,-1.1,-0.6,-0.061,3.77,3.8,0,8.07
2002,1,3,Pittsburgh,71,14,Central Connecticut,54,Pittsburgh,-6.4,-5.5,3,2,1,-0.015,15.79,13.84,-6,2,3,-1,-4,0,250,115,,114,197,0.012,81,285,-0.027,-59,54,-0.131,46,98,164,20,49,18,,19.01,11.5,-7.5,-0.2,-0.137,15.07,6.3,-8.7,-7.07
2002,1,6,California,82,11,Penn,75,California,-0.3,-1.1,0,-2,2,-0.062,5.12,8.96,1,3,5,-2,-6,5,-32,91,,20,148,-0.027,-79,-73,-0.084,7,60,-0.055,100,52,-74,45,24,2,,3.8,-0.4,-4.3,1,0.107,10.27,6,-4.3,-6.84
2002,1,1,Cincinnati,90,16,Boston University,52,Cincinnati,-7.2,-7.5,3,9,-6,0.198,29.06,14.39,1,-1,7,-2,-2,-3,591,68,,219,304,0.044,6,10,0.004,147,188,0.021,69,196,81,-25,70,1,,32.93,16.8,-16.1,2.9,-0.1,15.76,8.8,-6.9,3.23
2002,1,2,Oklahoma,71,15,Illinois Chicago,63,Oklahoma,-0.4,-2.4,2,11,-9,0.273,19.59,6.28,5,-5,5,-2,4,-6,304,-73,,149,328,0.002,-15,55,-0.055,21,-86,0.109,120,259,55,130,86,-8,,22.19,6,-16.1,-1,0.003,6.93,4.9,-2,-1.11
2002,1,7,Xavier,70,10,Hawaii,58,Xavier,4.5,3.8,-1,-1,0,-0.005,4.09,2.94,-1,-1,-3,0,2,1,-50,-78,,-41,-86,-0.001,-44,-82,-0.023,76,69,0.037,51,85,-146,-15,27,28,,5.45,0.9,-4.6,1.4,0.044,5.81,3.9,-1.9,15.07
2002,1,9,Mississippi,58,8,UCLA,80,UCLA,-9.2,-9.2,-2,-1,-1,0.009,0.47,-3.92,-2,0,2,-3,-1,1,-244,-405,,-157,-294,-0.012,12,46,-0.01,58,38,0.046,-59,-178,-48,44,-36,-20,,0.34,-0.4,-0.6,-3.4,-0.088,-4.68,-4.2,0.5,-14.81
2002,2,10,Kent St.,71,2,Alabama,58,Kent St.,1.5,2.5,1,3,-2,0.062,-3.26,-5.57,5,-3,-5,0,6,-1,74,-29,,76,31,0.03,7,-89,0.056,-85,-108,-0.008,-35,-47,23,-28,-41,-99,,1.66,2.7,1.1,-3.3,-0.068,-5.48,-1.1,4.4,4.55
2002,2,4,Ohio St.,67,12,Missouri,83,Missouri,-2.5,-2.2,-4,0,-4,0.083,1.92,0.45,2,-2,1,-1,1,-1,-515,-532,,-206,-551,0.027,-151,-368,-0.015,48,86,-0.015,-184,-363,-56,-71,-79,-90,,2.27,0.2,-2.1,-3.3,0.015,-0.41,-1.4,-0.9,-0.87
2002,2,4,Kentucky,87,12,Tulsa,82,Kentucky,6.8,6.1,-2,-5,3,-0.106,6.49,9.69,-5,3,-1,0,-5,2,-266,-180,,-56,5,-0.029,-40,53,-0.089,-114,-86,-0.077,119,69,-115,-17,0,24,,6.62,-2.6,-9.2,-1.5,-0.03,10.94,6.4,-4.6,8.19
2002,2,1,Kansas,86,8,Stanford,63,Kansas,8.1,4.9,7,13,-6,0.225,7.35,0.32,4,-6,3,-3,4,-4,945,585,,437,664,0.055,17,-72,0.078,54,54,0.019,111,384,287,205,80,193,,8.67,2.1,-6.6,7.8,0.042,0.33,0.1,-0.2,6.21
2002,2,2,Oregon,92,7,Wake Forest,87,Oregon,10,9.9,1,5,-4,0.125,4.42,-3.35,5,-3,4,-3,0,0,205,-82,,13,-12,0.009,64,66,0.056,115,120,0.031,-54,-29,27,41,-26,-15,,5.62,0.6,-5,1.6,-0.047,-3.09,-1,2,-9.15
2002,2,1,Duke,84,8,Notre Dame,77,Duke,-1.4,-3.7,2,9,-7,0.219,13.21,2.99,3,-3,4,-4,0,-1,511,165,,159,172,0.036,57,186,-0.016,136,216,-0.019,-8,-48,-4,92,-50,66,,14.92,4.9,-10,5.9,0.06,2.54,3.7,1.1,8.21
2002,2,5,Indiana,76,13,UNC Wilmington,67,Indiana,1.6,1.4,4,2,2,-0.021,13.04,12.17,-3,1,-1,-1,-3,-2,367,282,,132,187,0.025,49,67,0.037,54,71,0.007,32,167,93,-20,88,105,,13.48,6.6,-6.9,1.7,-0.046,13.28,7.6,-5.7,8.97
2002,2,3,Arizona,68,11,Wyoming,60,Arizona,2.3,1.3,3,2,1,-0.004,8.31,9.77,1,3,-1,3,0,-1,469,513,,140,294,0.003,126,246,0.076,63,48,0.033,36,41,109,-5,-33,29,,9.53,11.5,2.1,2.1,0.047,10.71,5.8,-4.9,23.03
2002,2,3,Georgia,75,11,Southern Illinois,77,Southern Illinois,-2.3,-3.1,-4,-6,2,-0.09,4.89,7.57,-4,2,-1,2,-3,1,-273,-154,,-105,-168,-0.014,-31,-13,-0.045,-32,-184,0.118,-15,-170,-52,19,-57,-38,,4.99,7.5,2.6,-1.4,-0.055,7.76,2.9,-4.9,0.14
2002,2,1,Cincinnati,101,8,UCLA,105,UCLA,-15.7,-15.4,2,10,-8,0.25,11.24,-4.19,3,-5,7,-4,2,-3,262,-283,,65,159,-0.005,-14,5,-0.028,146,190,0.017,69,187,5,-15,61,-80,,13.85,4.4,-9.4,-0.7,-0.046,-5.42,-3.8,1.6,-5.1
2002,2,1,Maryland,87,8,Wisconsin,57,Maryland,-1.2,-4.9,4,13,-9,0.295,13.41,0.16,4,-4,3,-1,1,-6,916,451,,352,573,0.046,6,-13,0.018,206,278,0.007,145,447,307,114,156,81,,16.03,8.5,-7.6,10.4,-0.024,-0.69,0.2,1,-6.87
2002,2,2,Connecticut,77,7,North Carolina St.,74,Connecticut,12.1,10.2,0,4,-4,0.118,0.17,-0.74,4,-4,-1,-3,1,-2,81,50,,109,102,0.031,-124,-382,0.034,-13,44,-0.059,110,262,-53,-13,164,93,,0.21,-1,-1.2,1.2,0.051,-0.09,-1.3,-1.3,7.28
2002,2,4,Illinois,72,12,Creighton,60,Illinois,3,5.2,3,3,0,0.024,10.82,8.56,-3,1,1,-2,-2,1,287,172,,59,103,0.006,24,73,-0.005,145,187,0.01,8,122,102,-3,16,53,,11.39,4.4,-7,1.6,-0.013,9.21,4.9,-4.3,5.84
2002,2,3,Pittsburgh,63,6,California,50,Pittsburgh,-4.1,-2.7,3,6,-3,0.11,1.61,-2.9,1,-3,-2,0,3,-5,220,3,,93,125,0.018,33,87,0.009,1,82,-0.072,99,258,103,-19,24,75,,3.91,2.3,-1.5,-2.8,-0.088,-4.77,-4.2,0.6,-6.21
2002,2,2,Oklahoma,78,7,Xavier,65,Oklahoma,-4.9,-6.1,4,5,-1,0.048,7.14,3.61,-1,1,3,-1,-2,0,490,324,170,234,549,-0.006,39,122,-0.007,-17,-69,0.046,154,251,117,110,-9,-8,,7.44,3.7,-3.7,-0.5,-0.008,3.68,2.3,-1.4,-5.82
2002,2,3,Mississippi St.,64,6,Texas,68,Texas,0.2,-0.6,1,5,-4,0.124,0.11,-2.65,0,0,4,-4,0,2,-75,-155,,-6,-131,0.027,-8,7,-0.02,-55,-42,-0.034,-67,3,50,83,-8,117,,0.56,-4.6,-5.2,-0.6,0.128,-1.25,-2.4,-1.2,-6.26
2002,3,10,Kent St.,78,3,Pittsburgh,73,Kent St.,8,7.6,1,1,0,0.004,-1.02,-2.45,4,-2,-4,-1,3,1,202,172,,58,128,-0.001,4,-68,0.042,82,-15,0.123,10,-23,-107,-6,-84,-107,,0.45,4.6,4.2,0.9,0.008,-0.01,2.3,2.3,15.05
2002,3,1,Duke,73,5,Indiana,74,Indiana,-1.8,-5.2,-2,6,-8,0.21,9.72,-2.92,2,-2,3,-1,1,-2,505,105,,177,219,0.035,31,171,-0.047,120,180,-0.006,22,0,79,97,-79,-7,,9.39,7,-2.4,8.9,0.022,-4.24,-1.7,2.5,-6.87
2002,3,12,Missouri,82,8,UCLA,73,Missouri,-9,-8.5,3,3,0,0.031,1.08,-3.96,-2,0,3,-1,-1,0,401,212,,129,341,-0.014,103,262,0.001,40,60,-0.002,142,206,64,82,61,15,,1.15,2.5,1.4,2,-0.058,-4.08,-2.1,1.9,-8.97
